table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributeda
12315,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['149,584', '  ']","['544', 'i ']","['1,623', '  ']","['271', 'i ']","['1,649', '  ']","['1,858', 'i ']","['2,718', '  ']","['13,052', '  ']","['566', '  ']","['18,266', '  ']","['39', '  ']","['5,293', '  ']","['1,233', '  ']","['266', '  ']","['4,003', '  ']","['1,972', '  ']","['3,276', '  ']","['386', '  ']","['1,001', 'i ']","['10,025', '  ']","['404', '  ']","['344', 'i ']","['288', '  ']","['410', 'i ']"
12315,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['84,419', '  ']","['222', '  ']","['1,049', '  ']","['170', 'i ']","['1,111', '  ']","['1,550', 'i ']","['1,305', '  ']","['9,207', '  ']","['351', '  ']","['8,420', '  ']","['22', '  ']","['3,299', '  ']","['1,127', '  ']","['137', '  ']","['2,581', '  ']","['1,348', '  ']","['2,070', '  ']","['338', '  ']","['579', 'i ']","['5,772', '  ']","['229', '  ']","['75', '  ']","['182', '  ']","['261', 'i ']"
12315,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,463', '  ']","['26', '  ']","['122', '  ']","['12', '  ']","['68', '  ']","['88', '  ']","['46', '  ']","['118', '  ']","['2', '  ']","['50', '  ']","['6', '  ']","['6', '  ']","['5', '  ']","['6', '  ']","['22', '  ']","['3', '  ']","['1', '  ']","['20', '  ']","['18', '  ']","['*', '  ']","['6', '  ']","['20', '  ']","['12', '  ']","['D', '&nbsp;']"
12315,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['630', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['36', '  ']","['9', '  ']","['1', '  ']","['2', '  ']","['20', '  ']","['0', '  ']","['*', '  ']","['21', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['113', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['2', '  ']","['12', '  ']","['11', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['1', 'i ']","['1', '  ']","['*', '  ']","['*', '  ']","['15', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['D', '&nbsp;']"
12315,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', 'i ']"
12315,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['81', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['6', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['32', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
12315,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['247', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['33', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['25,061', '  ']","['163', '  ']","['375', '  ']","['143', 'i ']","['188', '  ']","['287', '  ']","['537', '  ']","['2,153', '  ']","['83', '  ']","['433', '  ']","['8', '  ']","['1,722', '  ']","['20', '  ']","['15', '  ']","['377', '  ']","['257', '  ']","['176', 'i ']","['32', '  ']","['48', '  ']","['337', '  ']","['123', '  ']","['45', '  ']","['22', '  ']","['50', 'i ']"
12315,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['956', '  ']","['3', '  ']","['26', '  ']","['1', '  ']","['10', '  ']","['3', '  ']","['4', '  ']","['103', 'i ']","['1', '  ']","['9', '  ']","['2', '  ']","['12', '  ']","['1', '  ']","['2', '  ']","['49', '  ']","['2', '  ']","['3', '  ']","['1', '  ']","['1', '  ']","['5', '  ']","['15', '  ']","['4', '  ']","['1', '  ']","['8', 'i ']"
