table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_total
9812,r001,All states,All states,,1,"['8,733,945', '  ']"
9812,r002,All states -> Alabama,All states,Alabama,2,"['21,119', '  ']"
9812,r003,All states -> Alaska,All states,Alaska,2,"['8,128', '  ']"
9812,r004,All states -> Arizona,All states,Arizona,2,"['14,214', '  ']"
9812,r005,All states -> Arkansas,All states,Arkansas,2,"['0', '  ']"
9812,r006,All states -> California,All states,California,2,"['799,355', '  ']"
9812,r007,All states -> Colorado,All states,Colorado,2,"['107,064', '  ']"
9812,r008,All states -> Connecticut,All states,Connecticut,2,"['65,101', '  ']"
9812,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']"
9812,r010,All states -> District of Columbia,All states,District of Columbia,2,"['336,003', '  ']"
9812,r011,All states -> Florida,All states,Florida,2,"['59,661', '  ']"
9812,r012,All states -> Georgia,All states,Georgia,2,"['169,995', '  ']"
9812,r013,All states -> Hawaii,All states,Hawaii,2,"['7,773', '  ']"
9812,r014,All states -> Idaho,All states,Idaho,2,"['3,773', '  ']"
9812,r015,All states -> Illinois,All states,Illinois,2,"['304,328', '  ']"
9812,r016,All states -> Indiana,All states,Indiana,2,"['7,956', '  ']"
9812,r017,All states -> Iowa,All states,Iowa,2,"['2,275', '  ']"
9812,r018,All states -> Kansas,All states,Kansas,2,"['589', '  ']"
9812,r019,All states -> Kentucky,All states,Kentucky,2,"['12,420', '  ']"
9812,r020,All states -> Louisiana,All states,Louisiana,2,"['10,294', '  ']"
9812,r021,All states -> Maine,All states,Maine,2,"['16,603', '  ']"
9812,r022,All states -> Maryland,All states,Maryland,2,"['465,979', '  ']"
9812,r023,All states -> Massachusetts,All states,Massachusetts,2,"['537,889', '  ']"
9812,r024,All states -> Michigan,All states,Michigan,2,"['69,744', '  ']"
9812,r025,All states -> Minnesota,All states,Minnesota,2,"['33,168', '  ']"
9812,r026,All states -> Mississippi,All states,Mississippi,2,"['425', '  ']"
9812,r027,All states -> Missouri,All states,Missouri,2,"['189,366', '  ']"
9812,r028,All states -> Montana,All states,Montana,2,"['1,408', '  ']"
9812,r029,All states -> Nebraska,All states,Nebraska,2,"['18,917', '  ']"
9812,r030,All states -> Nevada,All states,Nevada,2,"['5,547', '  ']"
9812,r031,All states -> New Hampshire,All states,New Hampshire,2,"['S', '  ']"
9812,r032,All states -> New Jersey,All states,New Jersey,2,"['142,631', '  ']"
9812,r033,All states -> New Mexico,All states,New Mexico,2,"['4,311', '  ']"
9812,r034,All states -> New York,All states,New York,2,"['1,615,896', '  ']"
9812,r035,All states -> North Carolina,All states,North Carolina,2,"['225,524', '  ']"
9812,r036,All states -> North Dakota,All states,North Dakota,2,"['S', '  ']"
9812,r037,All states -> Ohio,All states,Ohio,2,"['81,884', '  ']"
9812,r038,All states -> Oklahoma,All states,Oklahoma,2,"['71,121', '  ']"
9812,r039,All states -> Oregon,All states,Oregon,2,"['40,121', '  ']"
9812,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['249,592', '  ']"
9812,r041,All states -> Rhode Island,All states,Rhode Island,2,"['30,380', '  ']"
9812,r042,All states -> South Carolina,All states,South Carolina,2,"['10,502', '  ']"
9812,r043,All states -> South Dakota,All states,South Dakota,2,"['1,749', '  ']"
9812,r044,All states -> Tennessee,All states,Tennessee,2,"['49,616', '  ']"
9812,r045,All states -> Texas,All states,Texas,2,"['335,854', '  ']"
9812,r046,All states -> Utah,All states,Utah,2,"['1,919', '  ']"
9812,r047,All states -> Vermont,All states,Vermont,2,"['213', '  ']"
9812,r048,All states -> Virginia,All states,Virginia,2,"['269,528', '  ']"
9812,r049,All states -> Washington,All states,Washington,2,"['2,270,338', '  ']"
9812,r050,All states -> West Virginia,All states,West Virginia,2,"['1,315', '  ']"
9812,r051,All states -> Wisconsin,All states,Wisconsin,2,"['61,690', '  ']"
9812,r052,All states -> Wyoming,All states,Wyoming,2,"['618', '  ']"
