table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012
10320,r001,All fields,All fields,,,1,23668,24751,26121,27140,26585,26866,27154,32879,31795,29314,30959
10320,r002,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,999,1120,1239,1228,1208,1294,1407,1861,1663,1788,1795
10320,r003,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,637,730,712,658,671,708,734,978,874,936,922
10320,r004,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,326,360,479,543,519,561,645,804,717,741,806
10320,r005,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,36,30,48,28,19,24,29,79,73,111,66
10320,r006,All fields -> Engineering,All fields,Engineering,,2,1865,1913,2272,2300,2365,2630,2736,3406,3491,3168,3459
10320,r007,All fields -> Engineering -> Aeronautical engineering,All fields,Engineering,Aeronautical engineering,3,330,256,304,318,243,195,150,185,151,153,402
10320,r008,All fields -> Engineering -> Astronautical engineering,All fields,Engineering,Astronautical engineering,3,68,59,67,73,58,44,32,35,32,33,79
10320,r009,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,62,72,69,67,68,109,112,168,143,183,94
10320,r010,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,47,51,56,62,67,124,126,186,155,149,35
10320,r011,All fields -> Engineering -> Electrical engineering,All fields,Engineering,Electrical engineering,3,213,226,200,213,205,246,221,297,295,281,299
10320,r012,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,89,96,90,77,70,78,66,84,80,82,156
10320,r013,All fields -> Engineering -> Metallurgy and materials engineering,All fields,Engineering,Metallurgy and materials engineering,3,508,581,592,666,811,960,993,1113,1091,1077,1186
10320,r014,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,548,572,895,826,842,875,1036,1338,1544,1209,1207
10320,r015,All fields -> Environmental sciences,All fields,Environmental sciences,,2,1833,1900,2023,1966,1849,1728,1593,2143,1787,1796,2259
10320,r016,All fields -> Environmental sciences -> Atmospheric sciences,All fields,Environmental sciences,Atmospheric sciences,3,684,668,727,744,666,584,523,650,597,612,952
10320,r017,All fields -> Environmental sciences -> Geological sciences,All fields,Environmental sciences,Geological sciences,3,426,462,482,470,445,427,303,430,333,396,502
10320,r018,All fields -> Environmental sciences -> Oceanography,All fields,Environmental sciences,Oceanography,3,427,442,453,431,416,437,434,549,472,483,494
10320,r019,All fields -> Environmental sciences -> Other environmental sciences,All fields,Environmental sciences,Other environmental sciences,3,296,327,362,321,322,280,333,514,386,305,310
10320,r020,All fields -> Life sciences,All fields,Life sciences,,2,14024,14765,14490,15248,14934,15643,15557,17587,17748,15373,16016
10320,r021,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,531,528,504,511,514,533,495,531,571,547,480
10320,r022,All fields -> Life sciences -> Biological sciences (excluding environmental biology),All fields,Life sciences,Biological sciences (excluding environmental biology),3,8380,10471,7223,7608,7700,8076,8259,9600,9417,8277,8317
10320,r023,All fields -> Life sciences -> Environmental biology,All fields,Life sciences,Environmental biology,3,335,324,329,339,344,351,368,467,435,435,407
10320,r024,All fields -> Life sciences -> Medical sciences,All fields,Life sciences,Medical sciences,3,3361,2919,5477,5703,5454,5504,5314,5748,5787,5086,5528
10320,r025,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1418,522,957,1087,922,1180,1122,1241,1537,1029,1283
10320,r026,All fields -> Physical sciences,All fields,Physical sciences,,2,3406,3454,3663,3739,3516,3544,3403,4121,3984,3815,4557
10320,r027,All fields -> Physical sciences -> Astronomy,All fields,Physical sciences,Astronomy,3,603,696,765,778,687,593,483,618,504,499,925
10320,r028,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,749,749,776,764,721,733,726,835,828,774,776
10320,r029,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,1862,1821,1905,1996,1911,2012,1987,2370,2377,2275,2568
10320,r030,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,192,189,217,200,197,207,208,298,275,267,287
10320,r031,All fields -> Psychology,All fields,Psychology,,2,465,544,979,1040,945,979,936,1100,1129,979,1088
10320,r032,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,8,11,1,0.05,1,1,1,2,10,13,13
10320,r033,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,5,4,5,4,5,5,7,19,18,17,13
10320,r034,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,452,529,973,1035,939,972,929,1080,1101,949,1061
10320,r035,All fields -> Social sciences,All fields,Social sciences,,2,362,353,419,391,381,361,330,432,359,371,381
10320,r036,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,15,13,13,15,14,15,15,28,24,26,27
10320,r037,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,45,48,48,51,46,52,44,52,44,54,55
10320,r038,All fields -> Social sciences -> Political science,All fields,Social sciences,Political science,3,6,6,7,11,11,9,16,13,10,9,10
10320,r039,All fields -> Social sciences -> Sociology,All fields,Social sciences,Sociology,3,19,49,49,18,19,41,14,33,30,36,39
10320,r040,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,276,237,303,296,290,244,241,306,251,246,251
10320,r041,All fields -> Other sciences nec,All fields,Other sciences nec,,2,715,703,1036,1228,1386,686,1191,2228,1633,2023,1405
