table_id,row_id,sex_occupation_and_age_full_path,sex_occupation_and_age_level_1,sex_occupation_and_age_level_2,sex_occupation_and_age_level_3,sex_occupation_and_age_level_4,sex_occupation_and_age_level_5,sex_occupation_and_age_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_u_s_citizen,field_non_u_s_citizen
7777,r001,"Both sexes, all occupations","Both sexes, all occupations",,,,,1,77000,68000,59000,95000,63000,84000,79000,75000,78000,70000,76000,87000
7777,r002,"Both sexes, all occupations -> 29 and younger","Both sexes, all occupations",29 and younger,,,,2,55000,50000,S,67000,46000,52000,55000,59000,56000,48000,55000,70000
7777,r003,"Both sexes, all occupations -> 30&#8211;39","Both sexes, all occupations",30&#8211;39,,,,2,75000,67000,56000,95000,60000,S,75000,85000,75000,65000,74000,92000
7777,r004,"Both sexes, all occupations -> 40&#8211;49","Both sexes, all occupations",40&#8211;49,,,,2,85000,80000,81000,110000,70000,84000,86000,80000,88000,75000,85000,100000
7777,r005,"Both sexes, all occupations -> 50&#8211;75","Both sexes, all occupations",50&#8211;75,,,,2,89000,78000,61000,100000,71000,111000,90000,94000,90000,80000,89000,70000
7777,r006,"Both sexes, all occupations -> S&E occupations","Both sexes, all occupations",S&E occupations,,,,2,99000,85000,71000,110000,87000,89000,98000,93000,100000,94000,97000,106000
7777,r007,"Both sexes, all occupations -> S&E occupations -> 29 and younger","Both sexes, all occupations",S&E occupations,29 and younger,,,3,73000,64000,S,84000,66000,,72000,69000,73000,65000,72000,85000
7777,r008,"Both sexes, all occupations -> S&E occupations -> 30&#8211;39","Both sexes, all occupations",S&E occupations,30&#8211;39,,,3,96000,88000,73000,107000,85000,116000,95000,94000,97000,83000,94000,108000
7777,r009,"Both sexes, all occupations -> S&E occupations -> 40&#8211;49","Both sexes, all occupations",S&E occupations,40&#8211;49,,,3,110000,102000,105000,120000,89000,114000,107000,116000,110000,100000,109000,116000
7777,r010,"Both sexes, all occupations -> S&E occupations -> 50&#8211;75","Both sexes, all occupations",S&E occupations,50&#8211;75,,,3,115000,100000,100000,125000,100000,84000,115000,130000,117000,106000,115000,110000
7777,r011,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,,3,72000,63000,,83000,65000,S,72000,36000,73000,65000,75000,60000
