table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12575,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2972,2967,2872,-0.2,-3.2
12575,r002,R&D and R&D plant -> Agricultural research and services (352),R&D and R&D plant,Agricultural research and services (352),,,,2,2972,2967,2872,-0.2,-3.2
12575,r003,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,,,3,2972,2967,2872,-0.2,-3.2
12575,r004,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Agricultural Research Service,,4,1895,1893,1801,-0.1,-4.9
12575,r005,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,,4,48,49,49,2.1,0.0
12575,r006,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Economic Research Service,,4,93,93,98,0.0,5.4
12575,r007,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,,4,11,11,11,0.0,0.0
12575,r008,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture,,4,925,921,913,-0.4,-0.9
12575,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,2654,2645,2667,-0.3,0.8
12575,r010,R&D and R&D plant -> R&D -> Agricultural research and services (352),R&D and R&D plant,R&D,Agricultural research and services (352),,,3,2654,2645,2667,-0.3,0.8
12575,r011,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,,4,2654,2645,2667,-0.3,0.8
12575,r012,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Agricultural Research Service,5,1577,1571,1596,-0.4,1.6
12575,r013,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,5,48,49,49,2.1,0.0
12575,r014,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Economic Research Service,5,93,93,98,0.0,5.4
12575,r015,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,5,11,11,11,0.0,0.0
12575,r016,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture,5,925,921,913,-0.4,-0.9
