table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materialsandsupplies,field_lease_andrental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
1391,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['317,731', '  ']","['180,885', '  ']","['21,068', '  ']","['14,836', '  ']","['5,160', '  ']","['21,595', '  ']","['5,107', '  ']","['12,520', '  ']","['1,872', '  ']","['7,285', '  ']","['47,402', ' ']"
1391,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['211,660', '  ']","['113,845', '  ']","['9,293', '  ']","['8,745', '  ']","['3,510', '  ']","['19,021', '  ']","['2,935', '  ']","['9,337', '  ']","['1,617', '  ']","['5,314', '  ']","['38,042', ' ']"
1391,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,611', '  ']","['2,809', 'i ']","['93', 'i ']","['123', 'i ']","['30', 'i ']","['389', 'i ']","['51', 'i ']","['218', 'i ']","['166', 'i ']","['245', 'i ']","['486', 'i']"
1391,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['987', '  ']","['502', '  ']","['16', '  ']","['45', '  ']","['3', '  ']","['72', '  ']","['7', '  ']","['46', '  ']","['0', '  ']","['6', 'i ']","['291', 'i']"
1391,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['1,156', 'i ']","['766', 'i ']","['29', 'i ']","['53', 'i ']","['2', 'i ']","['117', 'i ']","['3', 'i ']","['23', 'i ']","['1', 'i ']","['55', 'i ']","['106', 'i']"
1391,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['181', '  ']","['132', '  ']","['*', '  ']","['11', '  ']","['2', '  ']","['23', '  ']","['1', '  ']","['2', '  ']","['0', '  ']","['1', '  ']","['8', ' ']"
1391,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['851', '  ']","['393', 'i ']","['0', '  ']","['10', 'i ']","['35', 'i ']","['346', 'i ']","['3', 'i ']","['7', 'i ']","['1', 'i ']","['1', 'i ']","['54', 'i']"
1391,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['219', 'i ']","['149', 'i ']","['5', 'i ']","['8', 'i ']","['10', '  ']","['13', '  ']","['10', 'i ']","['10', 'i ']","['*', '  ']","['*', '  ']","['13', 'i']"
1391,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['367', '  ']","['242', '  ']","['*', '  ']","['8', '  ']","['1', '  ']","['13', '  ']","['2', '  ']","['34', '  ']","['1', '  ']","['10', '  ']","['57', ' ']"
1391,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['64,165', '  ']","['28,511', '  ']","['3,098', '  ']","['4,166', '  ']","['383', '  ']","['5,878', '  ']","['897', '  ']","['3,371', '  ']","['806', 'i ']","['1,236', '  ']","['15,818', ' ']"
1391,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,284', '  ']","['1,402', '  ']","['5', '  ']","['54', '  ']","['35', '  ']","['209', '  ']","['32', '  ']","['133', '  ']","['1', '  ']","['100', '  ']","['311', ' ']"
1391,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['693', '  ']","['422', '  ']","['D', '  ']","['42', '  ']","['4', '  ']","['45', '  ']","['15', '  ']","['35', '  ']","['1', '  ']","['D', '  ']","['D', ' ']"
1391,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['1,061', 'i ']","['469', 'i ']","['D', '&nbsp;']","['51', 'i ']","['3', '  ']","['85', 'i ']","['39', 'i ']","['134', 'i ']","['8', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
1391,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['55,983', '  ']","['23,686', '  ']","['3,064', '  ']","['3,885', '  ']","['320', '  ']","['5,303', '  ']","['751', '  ']","['2,927', '  ']","['795', 'i ']","['1,015', '  ']","['14,239', ' ']"
1391,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['2,660', '  ']","['1,533', '  ']","['14', '  ']","['115', '  ']","['6', '  ']","['153', '  ']","['14', '  ']","['91', '  ']","['*', '  ']","['11', '  ']","['723', ' ']"
1391,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals ",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals ",,4,"3255, 3259","['1,484', '  ']","['999', '  ']","['4', '  ']","['19', '  ']","['16', '  ']","['83', '  ']","['46', '  ']","['51', '  ']","['1', '  ']","['15', '  ']","['249', ' ']"
1391,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,584', '  ']","['2,086', '  ']","['54', '  ']","['85', '  ']","['61', '  ']","['485', '  ']","['40', '  ']","['189', '  ']","['1', '  ']","['190', '  ']","['393', ' ']"
1391,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,274', '  ']","['791', '  ']","['1', '  ']","['46', '  ']","['6', '  ']","['89', '  ']","['9', '  ']","['76', '  ']","['1', '  ']","['13', '  ']","['242', ' ']"
1391,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['583', '  ']","['333', '  ']","['3', 'i ']","['8', '  ']","['1', '  ']","['111', '  ']","['3', 'i ']","['19', '  ']","['5', '  ']","['8', '  ']","['91', 'i']"
1391,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,127', '  ']","['1,366', '  ']","['20', '  ']","['39', '  ']","['31', '  ']","['277', '  ']","['18', '  ']","['38', '  ']","['10', '  ']","['30', '  ']","['299', ' ']"
1391,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['11,699', '  ']","['6,793', '  ']","['137', '  ']","['692', '  ']","['105', '  ']","['1,480', '  ']","['72', '  ']","['506', '  ']","['21', '  ']","['201', '  ']","['1,693', ' ']"
1391,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['1,552', '  ']","['865', '  ']","['*', '  ']","['116', '  ']","['15', '  ']","['252', '  ']","['6', '  ']","['45', '  ']","['2', '  ']","['7', '  ']","['243', ' ']"
1391,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['3,028', '  ']","['1,347', '  ']","['80', '  ']","['107', '  ']","['11', '  ']","['425', '  ']","['3', '  ']","['227', '  ']","['3', '  ']","['82', '  ']","['743', ' ']"
1391,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['1,901', '  ']","['1,159', '  ']","['1', '  ']","['295', '  ']","['*', '  ']","['204', 'i ']","['1', '  ']","['91', '  ']","['6', '  ']","['9', '  ']","['135', 'i']"
1391,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['5,218', '  ']","['3,422', '  ']","['56', 'i ']","['174', 'i ']","['78', '  ']","['598', '  ']","['62', '  ']","['143', '  ']","['9', 'i ']","['105', '  ']","['571', ' ']"
1391,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['68,515', '  ']","['41,261', '  ']","['5,464', '  ']","['1,476', '  ']","['1,363', '  ']","['3,899', '  ']","['1,425', '  ']","['3,507', '  ']","['406', '  ']","['2,525', '  ']","['7,188', ' ']"
1391,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['11,293', '  ']","['6,589', '  ']","['775', '  ']","['332', '  ']","['150', '  ']","['288', '  ']","['925', '  ']","['522', '  ']","['13', '  ']","['576', 'i ']","['1,122', ' ']"
1391,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['29,176', '  ']","['18,752', 'i ']","['2,253', 'i ']","['550', '  ']","['321', 'i ']","['1,492', 'i ']","['272', 'i ']","['1,605', 'i ']","['108', 'i ']","['908', 'i ']","['2,915', 'i']"
1391,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['10,131', '  ']","['6,501', '  ']","['197', '  ']","['395', '  ']","['173', '  ']","['833', '  ']","['140', '  ']","['262', '  ']","['6', '  ']","['295', '  ']","['1,330', ' ']"
1391,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and radiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and radiation apparatuses ",5,"334510, 334517","['2,466', '  ']","['1,445', 'i ']","['72', 'i ']","['81', 'i ']","['15', 'i ']","['204', '  ']","['27', 'i ']","['78', 'i ']","['3', 'i ']","['97', '  ']","['445', ' ']"
1391,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['3,121', '  ']","['2,170', '  ']","['21', '  ']","['124', '  ']","['16', '  ']","['273', '  ']","['11', '  ']","['70', '  ']","['D', '  ']","['87', '  ']","['D', ' ']"
