table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_additive_manufacturing_number_yes,field_additive_manufacturing_number_no,field_additive_manufacturing_percent_yes,field_additive_manufacturing_percent_no
11522,r001,All companies,All companies,,,1,"['4,874,928', '&nbsp;']","['36,663', '&nbsp;']","['4,838,265', '&nbsp;']","['0.8', '&nbsp;']","['99.2', '&nbsp;']"
11522,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11522,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,734,191', '&nbsp;']","['14,785', '&nbsp;']","['2,719,406', '&nbsp;']","['0.5', '&nbsp;']","['99.5', '&nbsp;']"
11522,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['950,548', '&nbsp;']","['8,043', '&nbsp;']","['942,505', '&nbsp;']","['0.8', '&nbsp;']","['99.2', '&nbsp;']"
11522,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11522,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['577,397', '&nbsp;']","['4,952', '&nbsp;']","['572,445', '&nbsp;']","['0.9', '&nbsp;']","['99.1', '&nbsp;']"
11522,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['399,566', '&nbsp;']","['4,677', '&nbsp;']","['394,889', '&nbsp;']","['1.2', '&nbsp;']","['98.8', '&nbsp;']"
11522,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11522,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['115,591', '&nbsp;']","['1,764', '&nbsp;']","['113,827', '&nbsp;']","['1.5', '&nbsp;']","['98.5', '&nbsp;']"
11522,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['63,969', '&nbsp;']","['1,562', '&nbsp;']","['62,407', '&nbsp;']","['2.4', '&nbsp;']","['97.6', '&nbsp;']"
11522,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11522,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['18,124', '&nbsp;']","['342', '&nbsp;']","['17,782', '&nbsp;']","['1.9', '&nbsp;']","['98.1', '&nbsp;']"
11522,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,668', '&nbsp;']","['165', '&nbsp;']","['7,503', '&nbsp;']","['2.2', '&nbsp;']","['97.8', '&nbsp;']"
11522,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,010', '&nbsp;']","['240', '&nbsp;']","['5,770', '&nbsp;']","['4.0', '&nbsp;']","['96.0', '&nbsp;']"
11522,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['982', '&nbsp;']","['74', '&nbsp;']","['908', '&nbsp;']","['7.5', '&nbsp;']","['92.5', 'r']"
11522,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['516', '&nbsp;']","['50', '&nbsp;']","['466', '&nbsp;']","['9.6', '&nbsp;']","['90.4', '&nbsp;']"
11522,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['372', '&nbsp;']","['39', '&nbsp;']","['333', '&nbsp;']","['10.4', '&nbsp;']","['89.6', '&nbsp;']"
