table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total
9808,r001,All states,All states,,1,"['2,835', '  ']"
9808,r002,All states -> Alabama,All states,Alabama,2,"['24', '  ']"
9808,r003,All states -> Alaska,All states,Alaska,2,"['18', '  ']"
9808,r004,All states -> Arizona,All states,Arizona,2,"['28', '  ']"
9808,r005,All states -> Arkansas,All states,Arkansas,2,"['8', '  ']"
9808,r006,All states -> California,All states,California,2,"['391', '  ']"
9808,r007,All states -> Colorado,All states,Colorado,2,"['60', '  ']"
9808,r008,All states -> Connecticut,All states,Connecticut,2,"['51', '  ']"
9808,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']"
9808,r010,All states -> District of Columbia,All states,District of Columbia,2,"['252', '  ']"
9808,r011,All states -> Florida,All states,Florida,2,"['101', '  ']"
9808,r012,All states -> Georgia,All states,Georgia,2,"['27', '  ']"
9808,r013,All states -> Hawaii,All states,Hawaii,2,"['13', '  ']"
9808,r014,All states -> Idaho,All states,Idaho,2,"['11', '  ']"
9808,r015,All states -> Illinois,All states,Illinois,2,"['145', '  ']"
9808,r016,All states -> Indiana,All states,Indiana,2,"['32', '  ']"
9808,r017,All states -> Iowa,All states,Iowa,2,"['7', '  ']"
9808,r018,All states -> Kansas,All states,Kansas,2,"['13', '  ']"
9808,r019,All states -> Kentucky,All states,Kentucky,2,"['20', '  ']"
9808,r020,All states -> Louisiana,All states,Louisiana,2,"['18', '  ']"
9808,r021,All states -> Maine,All states,Maine,2,"['25', '  ']"
9808,r022,All states -> Maryland,All states,Maryland,2,"['91', '  ']"
9808,r023,All states -> Massachusetts,All states,Massachusetts,2,"['169', '  ']"
9808,r024,All states -> Michigan,All states,Michigan,2,"['73', '  ']"
9808,r025,All states -> Minnesota,All states,Minnesota,2,"['41', '  ']"
9808,r026,All states -> Mississippi,All states,Mississippi,2,"['9', '  ']"
9808,r027,All states -> Missouri,All states,Missouri,2,"['29', '  ']"
9808,r028,All states -> Montana,All states,Montana,2,"['9', '  ']"
9808,r029,All states -> Nebraska,All states,Nebraska,2,"['16', '  ']"
9808,r030,All states -> Nevada,All states,Nevada,2,"['13', '  ']"
9808,r031,All states -> New Hampshire,All states,New Hampshire,2,"['S', '&nbsp;']"
9808,r032,All states -> New Jersey,All states,New Jersey,2,"['108', '  ']"
9808,r033,All states -> New Mexico,All states,New Mexico,2,"['21', '  ']"
9808,r034,All states -> New York,All states,New York,2,"['298', '  ']"
9808,r035,All states -> North Carolina,All states,North Carolina,2,"['43', '  ']"
9808,r036,All states -> North Dakota,All states,North Dakota,2,"['S', '&nbsp;']"
9808,r037,All states -> Ohio,All states,Ohio,2,"['46', '  ']"
9808,r038,All states -> Oklahoma,All states,Oklahoma,2,"['18', '  ']"
9808,r039,All states -> Oregon,All states,Oregon,2,"['55', '  ']"
9808,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['100', '  ']"
9808,r041,All states -> Rhode Island,All states,Rhode Island,2,"['13', '  ']"
9808,r042,All states -> South Carolina,All states,South Carolina,2,"['13', '  ']"
9808,r043,All states -> South Dakota,All states,South Dakota,2,"['8', '  ']"
9808,r044,All states -> Tennessee,All states,Tennessee,2,"['24', '  ']"
9808,r045,All states -> Texas,All states,Texas,2,"['122', '  ']"
9808,r046,All states -> Utah,All states,Utah,2,"['4', '  ']"
9808,r047,All states -> Vermont,All states,Vermont,2,"['16', '  ']"
9808,r048,All states -> Virginia,All states,Virginia,2,"['111', '  ']"
9808,r049,All states -> Washington,All states,Washington,2,"['81', '  ']"
9808,r050,All states -> West Virginia,All states,West Virginia,2,"['6', '  ']"
9808,r051,All states -> Wisconsin,All states,Wisconsin,2,"['49', '  ']"
9808,r052,All states -> Wyoming,All states,Wyoming,2,"['4', '  ']"
