table_id,row_id,program_level_and_field_full_path,program_level_and_field_level_1,program_level_and_field_level_2,program_level_and_field_hierarchy_depth,field_2012,field_2016
10077,r001,Certificate,Certificate,,1,"['', '']","['', '']"
10077,r002,"Certificate -> Science, engineering, and mathematics",Certificate,"Science, engineering, and mathematics",2,"['4.7', '&#160; !&#160;']","['8.1', '&#160;']"
10077,r003,Certificate -> Psychology and other social sciences,Certificate,Psychology and other social sciences,2,"['s', '&#160;']","['s', '&#160;']"
10077,r004,Certificate -> Health and medicine,Certificate,Health and medicine,2,"['2.2', '&#160;']","['9.2', '&#160;']"
10077,r005,Certificate -> Other fields,Certificate,Other fields,2,"['3.3', '&#160;']","['7.1', '&#160;']"
10077,r006,Associate's degree,Associate's degree,,1,"['', '']","['', '']"
10077,r007,"Associate's degree -> Science, engineering, and mathematics",Associate's degree,"Science, engineering, and mathematics",2,"['5.3', '&#160;']","['8.0', '&#160;']"
10077,r008,Associate's degree -> Psychology and other social sciences,Associate's degree,Psychology and other social sciences,2,"['6.7', '&#160;']","['9.3', '&#160;']"
10077,r009,Associate's degree -> Health and medicine,Associate's degree,Health and medicine,2,"['6.3', '&#160;']","['11.2', '&#160;']"
10077,r010,Associate's degree -> Other fields,Associate's degree,Other fields,2,"['5.5', '&#160;']","['10.0', '&#160;']"
10077,r011,Bachelor's degree,Bachelor's degree,,1,"['', '']","['', '']"
10077,r012,"Bachelor's degree -> Science, engineering, and mathematics",Bachelor's degree,"Science, engineering, and mathematics",2,"['6.8', '&#160;']","['11.2', '&#160;']"
10077,r013,Bachelor's degree -> Psychology and other social sciences,Bachelor's degree,Psychology and other social sciences,2,"['7.2', '&#160;']","['10.6', '&#160;']"
10077,r014,Bachelor's degree -> Health and medicine,Bachelor's degree,Health and medicine,2,"['10.3', '&#160;']","['14.1', '&#160;']"
10077,r015,Bachelor's degree -> Other fields,Bachelor's degree,Other fields,2,"['8.6', '&#160;']","['13.4', '&#160;']"
10077,r016,Master's degree,Master's degree,,1,"['', '']","['', '']"
10077,r017,"Master's degree -> Science, engineering, and mathematics",Master's degree,"Science, engineering, and mathematics",2,"['19.8', '&#160;']","['26.5', '&#160;']"
10077,r018,Master's degree -> Psychology and other social sciences,Master's degree,Psychology and other social sciences,2,"['24.3', '&#160;']","['36.1', '&#160;']"
10077,r019,Master's degree -> Health and medicine,Master's degree,Health and medicine,2,"['21.9', '&#160;']","['35.9', '&#160;']"
10077,r020,Master's degree -> Other fields,Master's degree,Other fields,2,"['23.5', '&#160;']","['31.6', '&#160;']"
10077,r021,Doctoral degree,Doctoral degree,,1,"['', '']","['', '']"
10077,r022,"Doctoral degree -> Science, engineering, and mathematics",Doctoral degree,"Science, engineering, and mathematics",2,"['1.8', '&#160;']","['5.0', '&#160;']"
10077,r023,Doctoral degree -> Psychology and other social sciences,Doctoral degree,Psychology and other social sciences,2,"['8.1', '&#160;']","['24.1', '&#160;']"
10077,r024,Doctoral degree -> Health and medicine,Doctoral degree,Health and medicine,2,"['11.3', '&#160;']","['27.5', '&#160;']"
10077,r025,Doctoral degree -> Other fields,Doctoral degree,Other fields,2,"['11.2', '&#160;']","['26.5', '&#160;']"
