table_id,row_id,business_activity,companies_number_,collected_primarily_in_digital_format,collected_but_not_digitally,did_not_collect,don_t_know,did_not_answer
9014,r001,Personnel,"['4,865,616', '&nbsp;']","['29.8', '&nbsp;']","['21.9', '&nbsp;']","['30.0', '&nbsp;']","['18.2', '&nbsp;']","['0.1', '&nbsp;']"
9014,r002,Financial,"['4,865,616', '&nbsp;']","['46.4', '&nbsp;']","['15.4', '&nbsp;']","['21.6', '&nbsp;']","['16.4', '&nbsp;']","['0.2', '&nbsp;']"
9014,r003,Customer feedback,"['4,865,616', '&nbsp;']","['24.8', '&nbsp;']","['11.8', '&nbsp;']","['45.7', '&nbsp;']","['17.5', '&nbsp;']","['0.2', '&nbsp;']"
9014,r004,Marketing,"['4,865,616', '&nbsp;']","['29.2', '&nbsp;']","['7.8', '&nbsp;']","['44.8', '&nbsp;']","['18.1', '&nbsp;']","['0.2', '&nbsp;']"
9014,r005,Supply chain,"['4,865,616', '&nbsp;']","['16.6', '&nbsp;']","['9.5', '&nbsp;']","['49.7', '&nbsp;']","['24.0', '&nbsp;']","['0.2', '&nbsp;']"
9014,r006,Production,"['4,865,616', '&nbsp;']","['16.7', '&nbsp;']","['9.8', '&nbsp;']","['48.9', '&nbsp;']","['24.3', '&nbsp;']","['0.2', '&nbsp;']"
9014,r007,Other,"['4,865,616', '&nbsp;']","['3.8', '&nbsp;']","['2.0', '&nbsp;']","['42.7', '&nbsp;']","['50.2', '&nbsp;']","['1.2', '&nbsp;']"
