table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
9590,r001,Cumulative debt,Cumulative debt,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
9590,r002,Cumulative debt -> All reporting education-related debt (number),Cumulative debt,All reporting education-related debt (number),,2,"['27,743', '']","['24,399', '']","['33,390', '']","['18,488', '']","['3,196', '']","['83', '']","['3,415', '']","['2,511', '']","['22,523', '']","['1,188', '']","['296', '']","['178', '']"
9590,r003,Cumulative debt -> Median debt (dollars),Cumulative debt,Median debt (dollars),,2,"['35,000', '']","['50,000', '']","['45,000', '']","['15,000', '']","['45,000', '']","['60,000', '']","['25,000', '']","['100,000', '']","['45,000', '']","['45,000', '']","['50,000', '']","['60,000', '']"
9590,r004,Cumulative debt -> ,Cumulative debt,,,2,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
9590,r005,Cumulative debt -> No debt,Cumulative debt,No debt,,2,"['18,011', '64.9']","['14,370', '58.9']","['17,206', '51.5']","['15,001', '81.1']","['1,308', '40.9']","['20', '24.1']","['2,410', '70.6']","['526', '20.9']","['12,061', '53.5']","['629', '52.9']","['161', '54.4']","['91', '51.1']"
9590,r006,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",,2,"['1,993', '7.2']","['1,545', '6.3']","['2,234', '6.7']","['1,293', '7.0']","['301', '9.4']","['7', '8.4']","['230', '6.7']","['148', '5.9']","['1,439', '6.4']","['79', '6.6']","['18', '6.1']","['12', '6.7']"
9590,r007,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",,2,"['1,429', '5.2']","['1,210', '5.0']","['2,058', '6.2']","['567', '3.1']","['227', '7.1']","['9', '10.8']","['171', '5.0']","['124', '4.9']","['1,438', '6.4']","['60', '5.1']","['20', '6.8']","['9', '5.1']"
9590,r008,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",,2,"['1,224', '4.4']","['1,082', '4.4']","['1,897', '5.7']","['394', '2.1']","['221', '6.9']","['6', '7.2']","['146', '4.3']","['126', '5.0']","['1,313', '5.8']","['62', '5.2']","['11', '3.7']","['12', '6.7']"
9590,r009,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",,2,"['889', '3.2']","['804', '3.3']","['1,449', '4.3']","['237', '1.3']","['150', '4.7']","['D', 'D']","['75', '2.2']","['120', '4.8']","['1,023', '4.5']","['D', 'D']","['10', '3.4']","['5', '2.8']"
9590,r010,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",,2,"['601', '2.2']","['615', '2.5']","['1,023', '3.1']","['189', '1.0']","['102', '3.2']","['D', 'D']","['60', '1.8']","['94', '3.7']","['711', '3.2']","['D', 'D']","['10', '3.4']","['5', '2.8']"
9590,r011,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,2,"['511', '1.8']","['523', '2.1']","['880', '2.6']","['146', '0.8']","['93', '2.9']","['D', 'D']","['43', '1.3']","['89', '3.5']","['617', '2.7']","['D', 'D']","['6', '2.0']","['2', '1.1']"
