table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_stimulus,field_non_stimulus,field_total
7241,r001,All agencies,All agencies,,1,1352369,37769783,39122152
7241,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,2,0,1047286,1047286
7241,r003,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,20958,394708,415665
7241,r004,All agencies -> Department of Defense,All agencies,Department of Defense,2,0,2751585,2751585
7241,r005,All agencies -> Department of Education,All agencies,Department of Education,2,0,208385,208385
7241,r006,All agencies -> Department of Energy,All agencies,Department of Energy,2,0,1672535,1672535
7241,r007,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,1262856,23620498,24883354
7241,r008,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,0,26130,26130
7241,r009,All agencies -> Department of Justice,All agencies,Department of Justice,2,0,800,800
7241,r010,All agencies -> Department of the Interior,All agencies,Department of the Interior,2,0,94448,94448
7241,r011,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,1000,430269,431269
7241,r012,All agencies -> Agency for International Development,All agencies,Agency for International Development,2,0,50494,50494
7241,r013,All agencies -> Appalachian Regional Comm,All agencies,Appalachian Regional Comm,2,0,134,134
7241,r014,All agencies -> Environmental Protection Agency,All agencies,Environmental Protection Agency,2,0,32792,32792
7241,r015,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,0,1324030,1324030
7241,r016,All agencies -> National Science Foundation,All agencies,National Science Foundation,2,67555,6102897,6170452
7241,r017,All agencies -> Nuclear Regulatory Commission,All agencies,Nuclear Regulatory Commission,2,0,3465,3465
7241,r018,All agencies -> Social Security Administration,All agencies,Social Security Administration,2,0,9328,9328
