table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_r_d,field_r_d_plant
10853,r001,All locations,All locations,,,1,195776853,189604388,6172465
10853,r002,All locations -> Alabama,All locations,Alabama,,2,4157173,4086585,70588
10853,r003,All locations -> Alaska,All locations,Alaska,,2,284895,272508,12386
10853,r004,All locations -> Arizona,All locations,Arizona,,2,2447858,2387850,60008
10853,r005,All locations -> Arkansas,All locations,Arkansas,,2,288415,268319,20096
10853,r006,All locations -> California,All locations,California,,2,24160971,23272011,888960
10853,r007,All locations -> Colorado,All locations,Colorado,,2,4714230,4638849,75381
10853,r008,All locations -> Connecticut,All locations,Connecticut,,2,2655974,2642331,13644
10853,r009,All locations -> Delaware,All locations,Delaware,,2,341922,340648,1275
10853,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,34079836,33916947,162890
10853,r011,All locations -> Florida,All locations,Florida,,2,4327886,4249966,77920
10853,r012,All locations -> Georgia,All locations,Georgia,,2,1831186,1821438,9749
10853,r013,All locations -> Hawaii,All locations,Hawaii,,2,376594,371193,5401
10853,r014,All locations -> Idaho,All locations,Idaho,,2,1520496,702352,818143
10853,r015,All locations -> Illinois,All locations,Illinois,,2,4181681,3468724,712957
10853,r016,All locations -> Indiana,All locations,Indiana,,2,1277739,1277050,689
10853,r017,All locations -> Iowa,All locations,Iowa,,2,799976,760960,39016
10853,r018,All locations -> Kansas,All locations,Kansas,,2,455154,445052,10103
10853,r019,All locations -> Kentucky,All locations,Kentucky,,2,427146,413477,13669
10853,r020,All locations -> Louisiana,All locations,Louisiana,,2,570193,512246,57947
10853,r021,All locations -> Maine,All locations,Maine,,2,230149,229928,220
10853,r022,All locations -> Maryland,All locations,Maryland,,2,20736955,20258939,478016
10853,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,8586984,8495312,91672
10853,r024,All locations -> Michigan,All locations,Michigan,,2,2400169,2389976,10193
10853,r025,All locations -> Minnesota,All locations,Minnesota,,2,1240304,1239047,1257
10853,r026,All locations -> Mississippi,All locations,Mississippi,,2,1165024,1149978,15045
10853,r027,All locations -> Missouri,All locations,Missouri,,2,1857963,1837946,20017
10853,r028,All locations -> Montana,All locations,Montana,,2,292700,291606,1094
10853,r029,All locations -> Nebraska,All locations,Nebraska,,2,349336,325071,24265
10853,r030,All locations -> Nevada,All locations,Nevada,,2,686986,519765,167221
10853,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,450456,444718,5738
10853,r032,All locations -> New Jersey,All locations,New Jersey,,2,3463235,3386124,77111
10853,r033,All locations -> New Mexico,All locations,New Mexico,,2,3629746,3484393,145352
10853,r034,All locations -> New York,All locations,New York,,2,7259774,6726319,533455
10853,r035,All locations -> North Carolina,All locations,North Carolina,,2,3736840,3724189,12651
10853,r036,All locations -> North Dakota,All locations,North Dakota,,2,153360,153360,0
10853,r037,All locations -> Ohio,All locations,Ohio,,2,8316234,8242542,73692
10853,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,472973,458390,14583
10853,r039,All locations -> Oregon,All locations,Oregon,,2,878691,812145,66546
10853,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,4931824,4911808,20016
10853,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,914036,894706,19330
10853,r042,All locations -> South Carolina,All locations,South Carolina,,2,1186262,1162399,23864
10853,r043,All locations -> South Dakota,All locations,South Dakota,,2,141293,134466,6827
10853,r044,All locations -> Tennessee,All locations,Tennessee,,2,4352380,3385285,967095
10853,r045,All locations -> Texas,All locations,Texas,,2,5516030,5475314,40716
10853,r046,All locations -> Utah,All locations,Utah,,2,3201680,3196264,5416
10853,r047,All locations -> Vermont,All locations,Vermont,,2,161740,161740,0
10853,r048,All locations -> Virginia,All locations,Virginia,,2,10331888,10144002,187885
10853,r049,All locations -> Washington,All locations,Washington,,2,3632223,3576461,55761
10853,r050,All locations -> West Virginia,All locations,West Virginia,,2,212372,212282,90
10853,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,1163330,1115331,47999
10853,r052,All locations -> Wyoming,All locations,Wyoming,,2,80466,80466,0
10853,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,149501,142474,7027
10853,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,107845,101838,6008
10853,r055,All locations -> Outlying areas -> Other areas<sup>a</sup>,All locations,Outlying areas,Other areas<sup>a</sup>,3,41655,40636,1019
10853,r056,All locations -> Offices abroad<sup>b</sup>,All locations,Offices abroad<sup>b</sup>,,2,20507,20507,0
10853,r057,All locations -> Undistributed<sup>c</sup>,All locations,Undistributed<sup>c</sup>,,2,4974119,4972632,1486
