table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
5395,r001,All R&D fields,All R&D fields,,,,1,46143829,7080598,2037915,25397976,1758375,5414611,1244633,3209721
5395,r002,All R&D fields -> Science,All R&D fields,Science,,,2,36778903,3498772,1162091,24178402,1240545,3753051,1131680,1814362
5395,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,2000937,942322,48280,126088,18865,746405,6186,112791
5395,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2109065,248527,92962,51293,438075,665890,32505,579813
5395,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,471158,55455,20986,2048,148271,80696,1567,162135
5395,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,696991,40074,58667,5407,222067,231574,18676,120526
5395,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,713086,139961,6731,7623,44068,309197,2665,202841
5395,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,227830,13037,6578,36215,23669,44423,9597,94311
5395,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,26254002,1332269,234655,22249750,93502,716140,1022353,605333
5395,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,1072057,20692,40477,139918,5776,76048,691183,97963
5395,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,9339917,394172,132678,7948302,33105,501548,172972,157140
5395,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,14733751,816468,17158,13540664,45156,61821,38031,214453
5395,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,410120,85043,37198,20785,8440,52741,100145,105768
5395,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,698157,15894,7144,600081,1025,23982,20022,30009
5395,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,486259,139892,9124,65383,3004,225661,6034,37161
5395,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,3789237,636550,753512,599475,636982,1069626,3737,89355
5395,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,542725,15842,13783,1590,397617,109402,17,4474
5395,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1166743,134989,151890,511568,18030,329356,2377,18533
5395,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,156894,61472,24813,7744,3762,50143,155,8805
5395,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,1736916,381911,533889,62000,185140,526027,904,47045
5395,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,185959,42336,29137,16573,32433,54698,284,10498
5395,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,808565,49265,1148,578882,20927,81117,6330,70896
5395,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,969278,81961,5930,404318,23654,150122,46934,256359
5395,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,38847,4197,914,6388,56,16416,2559,8317
5395,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,121461,3211,1448,28466,32,25090,30835,32379
5395,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,78462,14078,1390,16579,2826,18319,1005,24265
5395,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,253213,22171,29,133713,345,32519,5220,59216
5395,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,477295,38304,2149,219172,20395,57778,7315,132182
5395,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,361560,67986,16480,103213,5536,98090,7601,62654
5395,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,8120891,3524858,869885,936241,510515,1362626,74101,842665
5395,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,957795,616586,24891,4492,186586,38584,477,86179
5395,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,906145,158736,18258,582665,8809,90978,18288,28411
5395,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,521758,93188,142913,80932,8921,144497,7622,43685
5395,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,606519,68539,78222,27321,15197,148763,10368,258109
5395,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,2143397,1258392,161982,81429,119467,398138,4098,119891
