table_id,row_id,field,reported_research_assistantship,did_not_report_research_assistantship
9768,r001,Biological sciences,46.03,43.58
9768,r002,Computer sciences,47.81,33.02
9768,r003,Engineering,46.16,41.39
9768,r004,"Fields, not elsewhere classified",23.88,12.2
9768,r005,Health,44.86,24.16
9768,r006,Mathematics and statistics,53.19,33.88
9768,r007,Physical sciences and geosciences,56.59,54.19
9768,r008,Psychology,34.13,25.04
9768,r009,Social sciences,24.62,13.11
9768,r010,Total,42.13,26.27
