table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_doe,field_dot,field_hhs,field_nsf
4325,r001,All states and outlying areas,All states and outlying areas,,,1,593658.8,75000.0,293.9,70486.2,447878.7
4325,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,2089.0,0.0,0.0,0.0,2089.0
4325,r003,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,1523.6,0.0,0.0,0.0,1523.6
4325,r004,"All states and outlying areas -> Alabama -> U. Alabama, Birmingham",All states and outlying areas,Alabama,"U. Alabama, Birmingham",3,16.5,0.0,0.0,0.0,16.5
4325,r005,"All states and outlying areas -> Alabama -> U. Alabama, Tuscaloosa",All states and outlying areas,Alabama,"U. Alabama, Tuscaloosa",3,532.9,0.0,0.0,0.0,532.9
4325,r006,All states and outlying areas -> Alabama -> U. South Alabama,All states and outlying areas,Alabama,U. South Alabama,3,16.0,0.0,0.0,0.0,16.0
4325,r007,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,306.4,0.0,0.0,0.0,306.4
4325,r008,"All states and outlying areas -> Alaska -> U. Alaska, Fairbanks, Fairbanks Campus",All states and outlying areas,Alaska,"U. Alaska, Fairbanks, Fairbanks Campus",3,306.4,0.0,0.0,0.0,306.4
4325,r009,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,11490.7,0.0,0.0,5045.7,6445.1
4325,r010,All states and outlying areas -> Arizona -> Arizona State U.,All states and outlying areas,Arizona,Arizona State U.,3,4398.0,0.0,0.0,0.0,4398.0
4325,r011,All states and outlying areas -> Arizona -> Northern Arizona U.,All states and outlying areas,Arizona,Northern Arizona U.,3,486.7,0.0,0.0,0.0,486.7
4325,r012,All states and outlying areas -> Arizona -> U. Arizona,All states and outlying areas,Arizona,U. Arizona,3,6606.1,0.0,0.0,5045.7,1560.4
