table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_federal_number,field_federal_percent,field_institutional_number,field_institutional_percent,field_nonfederal_domestic_number,field_nonfederal_domestic_percent,field_foreign_number,field_foreign_percent,field_self_support_number,field_self_support_percent,field_unknown_number,field_unknown_percent
6082,r001,All surveyed fields,All surveyed fields,,,1,65681,33374,50.8,14796,22.5,9698,14.8,1442,2.2,628,1.0,5743,8.7
6082,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,38741,20150,52.0,8815,22.8,5293,13.7,732,1.9,261,0.7,3490,9.0
6082,r003,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,3,1678,721,43.0,479,28.5,198,11.8,20,1.2,1,0.1,259,15.4
6082,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,21902,12084,55.2,4088,18.7,3128,14.3,373,1.7,99,0.5,2130,9.7
6082,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,823,407,49.5,205,24.9,126,15.3,20,2.4,10,1.2,55,6.7
6082,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,1790,927,51.8,453,25.3,214,12.0,52,2.9,22,1.2,122,6.8
6082,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,1076,319,29.6,533,49.5,103,9.6,17,1.6,4,0.4,100,9.3
6082,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science,Multidisciplinary and interdisciplinary studies,3,832,328,39.4,293,35.2,119,14.3,3,0.4,15,1.8,74,8.9
6082,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,845,397,47.0,249,29.5,103,12.2,17,2.0,16,1.9,63,7.5
6082,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,6937,3936,56.7,1447,20.9,895,12.9,174,2.5,65,0.9,420,6.1
6082,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,1312,705,53.7,333,25.4,144,11.0,21,1.6,16,1.2,93,7.1
6082,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,1546,326,21.1,735,47.5,263,17.0,35,2.3,13,0.8,174,11.3
6082,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,8462,4234,50.0,1965,23.2,1320,15.6,286,3.4,78,0.9,579,6.8
6082,r014,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,233,117,50.2,44,18.9,32,13.7,12,5.2,5,2.1,23,9.9
6082,r015,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",3,1696,976,57.5,333,19.6,269,15.9,37,2.2,5,0.3,76,4.5
6082,r016,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,1157,519,44.9,260,22.5,232,20.1,43,3.7,5,0.4,98,8.5
6082,r017,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,1006,377,37.5,349,34.7,157,15.6,39,3.9,2,0.2,82,8.2
6082,r018,"All surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Engineering,"Electrical, electronics, communications and computer engineering",3,1302,739,56.8,246,18.9,186,14.3,32,2.5,26,2.0,73,5.6
6082,r019,"All surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,194,65,33.5,65,33.5,39,20.1,3,1.5,2,1.0,20,10.3
6082,r020,All surveyed fields -> Engineering -> Mechanical engineering,All surveyed fields,Engineering,Mechanical engineering,3,1149,575,50.0,292,25.4,159,13.8,41,3.6,6,0.5,76,6.6
6082,r021,"All surveyed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,630,328,52.1,124,19.7,92,14.6,26,4.1,6,1.0,54,8.6
6082,r022,All surveyed fields -> Engineering -> Other engineering,All surveyed fields,Engineering,Other engineering,3,1095,538,49.1,252,23.0,154,14.1,53,4.8,21,1.9,77,7.0
6082,r023,All surveyed fields -> Health,All surveyed fields,Health,,2,18478,8990,48.7,4016,21.7,3085,16.7,424,2.3,289,1.6,1674,9.1
6082,r024,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,16287,7936,48.7,3502,21.5,2638,16.2,404,2.5,287,1.8,1520,9.3
6082,r025,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,2191,1054,48.1,514,23.5,447,20.4,20,0.9,2,0.1,154,7.0
