table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
11393,r001,All agencies,All agencies,,,1,45392702,2297975,3441026,19051906,608303,9449069,2287935,765995,3738817,3751677
11393,r002,All agencies -> Departments,All agencies,Departments,,2,,,,,,,,,,
11393,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,3,1417114,7031,11619,1198472,3343,73097,311,33980,54998,34263
11393,r004,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,3,273297,11617,1000,14202,4034,199003,0,0,43442,0
11393,r005,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,3,3149547,471897,171672,299038,70378,194370,38702,26950,1034268,842272
11393,r006,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,3,6107867,1012161,272035,527670,53106,3741232,0,0,40103,461560
11393,r007,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,3,22410508,2403,300648,15404442,210184,534395,2214757,472698,1701044,1569937
11393,r008,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,3,69204,17003,10007,2118,0,5358,0,0,25707,9010
11393,r009,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,3,93945,0,58354,34386,0,748,0,0,458,0
11393,r010,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,3,665094,0,0,665094,0,0,0,0,0,0
11393,r011,All agencies -> Departments -> National Aeronautics and Space Administration,All agencies,Departments,National Aeronautics and Space Administration,3,5057913,0,1574702,45611,0,3350331,0,0,73525,13744
11393,r012,All agencies -> Departments -> National Science Foundation,All agencies,Departments,National Science Foundation,3,5863175,775841,1016339,786642,267259,1307231,33164,184250,716932,775516
11393,r013,All agencies -> Departments -> Smithsonian Institution,All agencies,Departments,Smithsonian Institution,3,227400,0,24650,74230,0,42360,0,25420,47500,13240
