table_id,row_id,organization_and_program_by_fy_2018_rank_order_full_path,organization_and_program_by_fy_2018_rank_order_level_1,organization_and_program_by_fy_2018_rank_order_level_2,organization_and_program_by_fy_2018_rank_order_level_3,organization_and_program_by_fy_2018_rank_order_hierarchy_depth,field_2018_actual,field_2019_preliminary,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1701,r001,R&D and R&D plant,R&D and R&D plant,,,1,35379,37198,32758,5.1,-11.9
1701,r002,R&D and R&D plant -> National Cancer Institute,R&D and R&D plant,National Cancer Institute,,2,5861,6055,5162,3.3,-14.7
1701,r003,R&D and R&D plant -> National Institute of Allergy and Infectious Diseases,R&D and R&D plant,National Institute of Allergy and Infectious Diseases,,2,5204,5457,4745,4.9,-13.0
1701,r004,"R&D and R&D plant -> National Heart, Lung, and Blood Institute",R&D and R&D plant,"National Heart, Lung, and Blood Institute",,2,3257,3371,2909,3.5,-13.7
1701,r005,R&D and R&D plant -> National Institute on Aging,R&D and R&D plant,National Institute on Aging,,2,2543,3049,2626,19.9,-13.9
1701,r006,R&D and R&D plant -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,National Institute of Diabetes and Digestive and Kidney Diseases,,2,2048,2113,1840,3.2,-12.9
1701,r007,R&D and R&D plant -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,National Institute of Neurological Disorders and Stroke,,2,2113,2241,1992,6.1,-11.1
1701,r008,R&D and R&D plant -> Office of the Director,R&D and R&D plant,Office of the Director,,2,1881,2079,1899,10.5,-8.7
1701,r009,R&D and R&D plant -> National Institute of Mental Health,R&D and R&D plant,National Institute of Mental Health,,2,1713,1828,1588,6.7,-13.1
1701,r010,R&D and R&D plant -> National Institute of General Medical Sciences,R&D and R&D plant,National Institute of General Medical Sciences,,2,1644,1505,1527,-8.4,1.4
1701,r011,R&D and R&D plant -> National Institute of Child Health and Human Development,R&D and R&D plant,National Institute of Child Health and Human Development,,2,1422,1465,1261,3.0,-13.9
1701,r012,R&D and R&D plant -> National Institute on Drug Abuse,R&D and R&D plant,National Institute on Drug Abuse,,2,1349,1394,1273,3.3,-8.7
1701,r013,R&D and R&D plant -> National Institute of Environmental Health Sciences<sup>a</sup>,R&D and R&D plant,National Institute of Environmental Health Sciences<sup>a</sup>,,2,806,833,717,3.4,-13.9
1701,r014,R&D and R&D plant -> National Eye Institute,R&D and R&D plant,National Eye Institute,,2,759,784,674,3.4,-14.1
1701,r015,R&D and R&D plant -> National Center for Advancing Translational Sciences,R&D and R&D plant,National Center for Advancing Translational Sciences,,2,729,774,667,6.2,-13.9
1701,r016,R&D and R&D plant -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,2,569,587,504,3.1,-14.2
1701,r017,R&D and R&D plant -> National Human Genome Research Institute,R&D and R&D plant,National Human Genome Research Institute,,2,547,565,486,3.3,-13.9
1701,r018,R&D and R&D plant -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,National Institute on Alcohol Abuse and Alcoholism,,2,492,509,439,3.5,-13.9
1701,r019,R&D and R&D plant -> National Institute on Deafness and Other Communication Disorders,R&D and R&D plant,National Institute on Deafness and Other Communication Disorders,,2,444,459,394,3.4,-14.2
1701,r020,R&D and R&D plant -> National Institute of Dental and Craniofacial Research,R&D and R&D plant,National Institute of Dental and Craniofacial Research,,2,434,449,386,3.4,-13.9
