table_id,row_id,highest_award_conferred_full_path,highest_award_conferred_level_1,highest_award_conferred_level_2,highest_award_conferred_hierarchy_depth,field_all_institutions,field_public,field_private_nonprofit,field_private_for_profit
9788,r001,All institutions,All institutions,,1,6045,1974,1792,2279
9788,r002,All institutions -> Certificates,All institutions,Certificates,2,1985,303,115,1567
9788,r003,All institutions -> Associate's degrees,All institutions,Associate's degrees,2,1311,850,85,376
9788,r004,All institutions -> Bachelor's degrees,All institutions,Bachelor's degrees,2,687,229,321,137
9788,r005,All institutions -> Master's degrees,All institutions,Master's degrees,2,836,168,534,134
9788,r006,All institutions -> Doctoral degrees,All institutions,Doctoral degrees,2,1226,424,737,65
