table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_other_purchased_services_except_r_d_,field_other
720,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['3,042', '&nbsp;']","['1,830', '&nbsp;']","['14', '&nbsp;']","['82', '&nbsp;']","['46', '&nbsp;']","['257', '&nbsp;']","['65', '&nbsp;']","['252', '&nbsp;']","['90', '&nbsp;']","['405', '&nbsp;']"
720,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,201', '&nbsp;']","['790', '&nbsp;']","['2', '&nbsp;']","['44', '&nbsp;']","['15', '&nbsp;']","['68', '&nbsp;']","['31', '&nbsp;']","['78', '&nbsp;']","['8', '&nbsp;']","['165', '&nbsp;']"
720,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['169', '&nbsp;']","['258', '&nbsp;']"
720,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['58,675', '&nbsp;']","['26,414', '&nbsp;']","['3,166', '&nbsp;']","['2,879', '&nbsp;']","['273', '&nbsp;']","['5,099', '&nbsp;']","['898', '&nbsp;']","['2,346', '&nbsp;']","['1,520', '&nbsp;']","['16,079', '&nbsp;']"
720,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['1,398', '&nbsp;']","['951', '&nbsp;']","['14', '&nbsp;']","['D', '&nbsp;']","['7', 'i']","['52', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['18', '&nbsp;']","['D', '&nbsp;']"
720,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['16', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['49', '&nbsp;']","['14', '&nbsp;']","['D', '&nbsp;']"
720,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,541', '&nbsp;']","['1,361', '&nbsp;']","['25', '&nbsp;']","['46', '&nbsp;']","['136', '&nbsp;']","['480', '&nbsp;']","['15', '&nbsp;']","['61', '&nbsp;']","['27', '&nbsp;']","['392', '&nbsp;']"
720,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,259', '&nbsp;']","['685', 'i']","['1', '&nbsp;']","['55', 'i']","['11', '&nbsp;']","['116', 'i']","['6', 'i']","['55', 'i']","['28', '&nbsp;']","['303', 'i']"
720,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['628', '&nbsp;']","['327', '&nbsp;']","['7', '&nbsp;']","['4', 'i']","['3', '&nbsp;']","['83', '&nbsp;']","['3', '&nbsp;']","['29', '&nbsp;']","['9', '&nbsp;']","['164', '&nbsp;']"
720,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,261', 'i']","['1,495', 'i']","['9', 'i']","['27', 'i']","['13', 'i']","['282', 'i']","['10', 'i']","['37', 'i']","['39', 'i']","['349', 'i']"
720,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['13,426', '&nbsp;']","['7,957', '&nbsp;']","['93', '&nbsp;']","['820', '&nbsp;']","['98', '&nbsp;']","['1,864', '&nbsp;']","['78', '&nbsp;']","['493', '&nbsp;']","['147', '&nbsp;']","['1,876', '&nbsp;']"
