table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_other_purchased_services_except_r_d_,field_other
720,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,607', '&nbsp;']","['2,128', '&nbsp;']","['207', '&nbsp;']","['215', '&nbsp;']","['19', '&nbsp;']","['746', '&nbsp;']","['188', '&nbsp;']","['35', 'i']","['2', '&nbsp;']","['66', '&nbsp;']"
720,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['9,416', '&nbsp;']","['6,871', '&nbsp;']","['700', '&nbsp;']","['341', '&nbsp;']","['174', '&nbsp;']","['100', '&nbsp;']","['123', '&nbsp;']","['224', '&nbsp;']","['44', '&nbsp;']","['839', '&nbsp;']"
720,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['19,144', '&nbsp;']","['9,164', '&nbsp;']","['5,765', '&nbsp;']","['1,189', '&nbsp;']","['787', '&nbsp;']","['84', '&nbsp;']","['752', '&nbsp;']","['815', '&nbsp;']","['22', '&nbsp;']","['567', '&nbsp;']"
720,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['5,366', '&nbsp;']","['3,309', '&nbsp;']","['299', '&nbsp;']","['988', '&nbsp;']","['17', '&nbsp;']","['5', '&nbsp;']","['36', '&nbsp;']","['48', '&nbsp;']","['354', '&nbsp;']","['310', '&nbsp;']"
720,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['301', '&nbsp;']","['228', '&nbsp;']","['11', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['7', '&nbsp;']","['7', '&nbsp;']","['*', 'i']","['40', '&nbsp;']"
720,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['68', '&nbsp;']","['49', '&nbsp;']","['3', '&nbsp;']","['5', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', 'i']","['8', '&nbsp;']"
720,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['233', '&nbsp;']","['179', '&nbsp;']","['8', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['7', '&nbsp;']","['6', '&nbsp;']","['*', '&nbsp;']","['32', '&nbsp;']"
720,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['38,626', '&nbsp;']","['24,396', '&nbsp;']","['732', '&nbsp;']","['1,598', '&nbsp;']","['427', '&nbsp;']","['2,016', '&nbsp;']","['660', 'i']","['937', '&nbsp;']","['1,691', '&nbsp;']","['6,168', '&nbsp;']"
720,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['4,128', 'i']","['2,805', 'i']","['4', 'i']","['182', 'i']","['12', 'i']","['134', 'i']","['36', 'i']","['33', 'i']","['21', 'i']","['902', '&nbsp;']"
720,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['14,333', '&nbsp;']","['9,877', '&nbsp;']","['461', 'i']","['567', '&nbsp;']","['289', '&nbsp;']","['453', '&nbsp;']","['129', 'i']","['412', '&nbsp;']","['130', '&nbsp;']","['2,016', '&nbsp;']"
720,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['16,329', '&nbsp;']","['8,877', '&nbsp;']","['191', '&nbsp;']","['720', '&nbsp;']","['104', '&nbsp;']","['1,369', '&nbsp;']","['374', '&nbsp;']","['354', '&nbsp;']","['1,493', '&nbsp;']","['2,848', '&nbsp;']"
720,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['5,693', 'i']","['2,976', 'i']","['109', '&nbsp;']","['352', 'i']","['23', 'i']","['596', 'i']","['172', 'i']","['86', '&nbsp;']","['710', '&nbsp;']","['668', 'i']"
720,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['9,931', '&nbsp;']","['5,398', '&nbsp;']","['76', '&nbsp;']","['349', '&nbsp;']","['75', '&nbsp;']","['772', '&nbsp;']","['183', '&nbsp;']","['259', '&nbsp;']","['777', '&nbsp;']","['2,043', '&nbsp;']"
720,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['705', '&nbsp;']","['502', '&nbsp;']","['6', '&nbsp;']","['19', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['19', '&nbsp;']","['9', '&nbsp;']","['5', '&nbsp;']","['137', '&nbsp;']"
720,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,835', '&nbsp;']","['2,838', '&nbsp;']","['75', '&nbsp;']","['130', '&nbsp;']","['23', '&nbsp;']","['61', '&nbsp;']","['121', 'i']","['138', 'i']","['47', 'i']","['402', 'i']"
720,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['758', 'i']","['461', 'i']","['18', '&nbsp;']","['24', 'i']","['6', 'i']","['98', 'i']","['10', 'i']","['15', 'i']","['5', 'i']","['121', 'i']"
720,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['930', '&nbsp;']","['665', 'i']","['D', '&nbsp;']","['37', '&nbsp;']","['15', '&nbsp;']","['46', '&nbsp;']","['13', '&nbsp;']","['11', '&nbsp;']","['8', '&nbsp;']","['D', '&nbsp;']"
720,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['355,821', '&nbsp;']","['204,170', '&nbsp;']","['19,579', '&nbsp;']","['14,462', '&nbsp;']","['5,219', '&nbsp;']","['27,018', '&nbsp;']","['5,709', '&nbsp;']","['12,433', '&nbsp;']","['8,352', '&nbsp;']","['58,880', '&nbsp;']"
720,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
720,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['2,988', 'i']","['1,843', 'i']","['55', 'i']","['134', 'i']","['41', 'i']","['228', 'i']","['64', 'i']","['66', 'i']","['76', 'i']","['481', 'i']"
720,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
720,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['5,680', 'i']","['3,448', 'i']","['142', 'i']","['251', 'i']","['57', 'i']","['481', 'i']","['152', 'i']","['153', 'i']","['127', 'i']","['869', 'i']"
720,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['10,249', 'i']","['6,215', 'i']","['272', '&nbsp;']","['470', 'i']","['114', 'i']","['862', 'i']","['219', '&nbsp;']","['265', 'i']","['253', 'i']","['1,578', 'i']"
720,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
720,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['11,509', '&nbsp;']","['7,048', 'i']","['353', '&nbsp;']","['531', '&nbsp;']","['101', 'i']","['901', '&nbsp;']","['273', '&nbsp;']","['284', 'i']","['161', 'i']","['1,858', '&nbsp;']"
720,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['13,602', '&nbsp;']","['8,426', '&nbsp;']","['551', '&nbsp;']","['479', '&nbsp;']","['147', '&nbsp;']","['1,102', '&nbsp;']","['271', '&nbsp;']","['323', '&nbsp;']","['242', '&nbsp;']","['2,060', '&nbsp;']"
720,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
720,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['13,553', '&nbsp;']","['8,563', '&nbsp;']","['556', '&nbsp;']","['530', '&nbsp;']","['188', '&nbsp;']","['1,192', '&nbsp;']","['243', '&nbsp;']","['498', '&nbsp;']","['286', '&nbsp;']","['1,497', '&nbsp;']"
720,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['15,217', '&nbsp;']","['8,941', '&nbsp;']","['837', '&nbsp;']","['636', '&nbsp;']","['214', '&nbsp;']","['1,079', '&nbsp;']","['278', '&nbsp;']","['519', '&nbsp;']","['429', '&nbsp;']","['2,284', '&nbsp;']"
720,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['58,094', '&nbsp;']","['33,306', '&nbsp;']","['3,587', '&nbsp;']","['1,884', '&nbsp;']","['732', '&nbsp;']","['4,030', '&nbsp;']","['862', '&nbsp;']","['2,162', '&nbsp;']","['1,394', '&nbsp;']","['10,137', '&nbsp;']"
720,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['38,838', '&nbsp;']","['21,645', '&nbsp;']","['3,886', '&nbsp;']","['1,750', '&nbsp;']","['561', '&nbsp;']","['2,242', '&nbsp;']","['753', '&nbsp;']","['1,527', '&nbsp;']","['539', '&nbsp;']","['5,936', '&nbsp;']"
720,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['59,328', '&nbsp;']","['33,475', '&nbsp;']","['1,382', '&nbsp;']","['2,200', '&nbsp;']","['492', '&nbsp;']","['6,164', '&nbsp;']","['570', '&nbsp;']","['2,507', '&nbsp;']","['2,167', '&nbsp;']","['10,371', '&nbsp;']"
720,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['126,763', '&nbsp;']","['71,259', '&nbsp;']","['7,959', '&nbsp;']","['5,598', '&nbsp;']","['2,572', '&nbsp;']","['8,737', '&nbsp;']","['2,024', '&nbsp;']","['4,128', '&nbsp;']","['2,677', '&nbsp;']","['21,809', '&nbsp;']"
