table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
9692,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['3,161', '  ']","['2,229', '  ']","['933', '  ']","['2,132', '  ']","['1,536', '  ']","['596', '  ']","['1,029', '  ']","['693', '  ']","['336', '  ']"
9692,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['1,524', '  ']","['1,104', '  ']","['421', '  ']","['1,015', '  ']","['744', '  ']","['270', '  ']","['510', '  ']","['359', '  ']","['150', '  ']"
9692,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['40', '  ']","['23', '  ']","['18', '  ']","['27', '  ']","['16', '  ']","['11', '  ']","['13', '  ']","['7', '  ']","['6', '  ']"
9692,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['8', '  ']","['5', '  ']","['4', '  ']","['5', '  ']","['3', '  ']","['2', '  ']","['3', '  ']","['2', '  ']","['2', '  ']"
9692,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9', '  ']","['5', '  ']","['3', '  ']","['7', '  ']","['4', '  ']","['2', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
9692,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['6', '  ']","['5', '  ']","['1', 'i ']","['6', '  ']","['5', '  ']","['1', 'i ']","['*', '  ']","['*', '  ']","['*', '  ']"
9692,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['8', '  ']","['6', '  ']","['2', '  ']","['6', '  ']","['4', '  ']","['2', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
9692,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['3', '  ']","['2', '  ']","['1', '  ']","['3', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
9692,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['7', '  ']","['5', '  ']","['2', '  ']","['5', '  ']","['4', '  ']","['2', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
9692,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['278', '  ']","['140', '  ']","['137', '  ']","['201', '  ']","['104', '  ']","['96', '  ']","['77', '  ']","['36', '  ']","['41', '  ']"
9692,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['19', '  ']","['12', '  ']","['7', 'i ']","['12', '  ']","['8', '  ']","['4', '  ']","['8', '  ']","['4', '  ']","['4', 'i ']"
9692,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['10', '  ']","['8', '  ']","['3', '  ']","['6', '  ']","['5', '  ']","['2', '  ']","['4', '  ']","['3', '  ']","['1', '  ']"
9692,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['5', '  ']","['3', '  ']","['2', '  ']","['5', '  ']","['3', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['*', '  ']"
