table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percent_of_domestic_sales_of_r_d_performers_or_fundersa,field_percent_of_domestic_sales_of_r_d_performersb
752,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['59,144', '&nbsp;']","['0.7', '&nbsp;']","['0.7', '&nbsp;']"
752,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['40,340', '&nbsp;']","['0.8', '&nbsp;']","['0.8', '&nbsp;']"
752,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['194', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
752,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['117', '&nbsp;']","['0.1', '&nbsp;']","['0.1', '&nbsp;']"
752,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['32', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
752,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['8', 'i']","['*', '&nbsp;']","['*', '&nbsp;']"
752,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['3', 'i']","['*', '&nbsp;']","['*', '&nbsp;']"
752,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['7', 'i']","['*', '&nbsp;']","['*', '&nbsp;']"
752,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['14', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
752,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,427', '&nbsp;']","['0.9', '&nbsp;']","['0.9', '&nbsp;']"
