table_id,row_id,type_of_r_d_full_path,type_of_r_d_level_1,type_of_r_d_level_2,type_of_r_d_hierarchy_depth,field_total,field_federally_funded,field_nonfederally_funded
9729,r001,All R&D,All R&D,,1,27190025,11619826,15570199
9729,r002,All R&D -> Basic research,All R&D,Basic research,2,11926223,4645896,7280327
9729,r003,All R&D -> Applied research,All R&D,Applied research,2,9977233,5080062,4897171
9729,r004,All R&D -> Experimental development ,All R&D,Experimental development ,2,5286569,1893868,3392701
