table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_level_4,_b_ffrdc_b_hierarchy_depth,field_total_r_d,field_funding_agency_dhs,field_funding_agency_dod,field_funding_agency_doe,field_funding_agency_nasa,field_funding_agency_nsf
10816,r001,All agencies sponsoring FFRDCs,All agencies sponsoring FFRDCs,,,,1,3436961,10096,50538,3368327,8000,0.05
10816,r002,All agencies sponsoring FFRDCs -> Departments,All agencies sponsoring FFRDCs,Departments,,,2,,,,,,
10816,r003,All agencies sponsoring FFRDCs -> Departments -> Department of Defense,All agencies sponsoring FFRDCs,Departments,Department of Defense,,3,50781,0,50538,242,0,0
10816,r004,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Aerospace FFRDC,All agencies sponsoring FFRDCs,Departments,Department of Defense,Aerospace FFRDC,4,242,0,0,242,0,0
10816,r005,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Lincoln Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Defense,Lincoln Laboratory,4,50538,0,50538,0,0,0
10816,r006,All agencies sponsoring FFRDCs -> Departments -> Department of Energy,All agencies sponsoring FFRDCs,Departments,Department of Energy,,3,3368084,0,0,3368084,0,0
10816,r007,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Ames Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Ames Laboratory,4,29418,0,0,29418,0,0
10816,r008,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Argonne National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Argonne National Laboratory,4,125703,0,0,125703,0,0
10816,r009,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Brookhaven National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Brookhaven National Laboratory,4,351013,0,0,351013,0,0
10816,r010,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Fermi National Accelerator Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Fermi National Accelerator Laboratory,4,551747,0,0,551747,0,0
10816,r011,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Idaho National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Idaho National Laboratory,4,348252,0,0,348252,0,0
10816,r012,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Lawrence Berkeley National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Lawrence Berkeley National Laboratory,4,307434,0,0,307434,0,0
