table_id,row_id,_b_state_institutional_control_system_and_institution_b_full_path,_b_state_institutional_control_system_and_institution_b_level_1,_b_state_institutional_control_system_and_institution_b_level_2,_b_state_institutional_control_system_and_institution_b_level_3,_b_state_institutional_control_system_and_institution_b_level_4,_b_state_institutional_control_system_and_institution_b_hierarchy_depth,field_all_r_d_expenditures
12653,r001,Alabama,Alabama,,,,1,"['1,582,468', '']"
12653,r002,Alabama -> Public,Alabama,Public,,,2,"['1,556,105', '']"
12653,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,,3,"['15,588', '']"
12653,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,,3,"['3,229', '']"
12653,r005,Alabama -> Public -> Auburn U. System,Alabama,Public,Auburn U. System,,3,"['350,554', '']"
12653,r006,"Alabama -> Public -> Auburn U. System -> Auburn U., Auburn",Alabama,Public,Auburn U. System,"Auburn U., Auburn",4,"['349,273', '']"
12653,r007,"Alabama -> Public -> Auburn U. System -> Auburn U., Montgomery",Alabama,Public,Auburn U. System,"Auburn U., Montgomery",4,"['1,281', '']"
12653,r008,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,,3,"['538', '']"
12653,r009,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,,3,"['3,785', '']"
12653,r010,Alabama -> Public -> U. Alabama System,Alabama,Public,U. Alabama System,,3,"['1,128,787', '']"
12653,r011,"Alabama -> Public -> U. Alabama System -> U. Alabama, Birmingham",Alabama,Public,U. Alabama System,"U. Alabama, Birmingham",4,"['780,479', '']"
12653,r012,"Alabama -> Public -> U. Alabama System -> U. Alabama, Huntsville",Alabama,Public,U. Alabama System,"U. Alabama, Huntsville",4,"['163,428', '']"
12653,r013,"Alabama -> Public -> U. Alabama System -> U. Alabama, Tuscaloosa",Alabama,Public,U. Alabama System,"U. Alabama, Tuscaloosa",4,"['184,880', '']"
12653,r014,Alabama -> Public -> U. North Alabama,Alabama,Public,U. North Alabama,,3,"['442', '']"
12653,r015,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,,3,"['53,182', '']"
12653,r016,Alabama -> Private,Alabama,Private,,,2,"['26,363', '']"
12653,r017,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",,3,"['311', '']"
12653,r018,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,,3,"['427', '']"
