table_id,row_id,sex_ethnicity_race_and_disability_status_full_path,sex_ethnicity_race_and_disability_status_level_1,sex_ethnicity_race_and_disability_status_level_2,sex_ethnicity_race_and_disability_status_level_3,sex_ethnicity_race_and_disability_status_hierarchy_depth,field_all_occupations,field_all_managers,field_s_e_managers_all_s_e_managers,field_s_e_managers_computer_manager,field_s_e_managers_engineering_manager,field_s_e_managers_medical_health_manager,field_s_e_managers_natural_sciences_manager,field_non_s_e_managers_all_non_s_e_managers,field_non_s_e_managers_top_level_manager,field_non_s_e_managers_other_mid_level_manager,field_non_manager
1275,r001,Total,Total,,,1,14541000,1975000,696000,207000,303000,155000,31000,1279000,838000,440000,12565000
1275,r002,Total -> Female&#160;,Total,Female&#160;,,2,5611000,436000,153000,42000,30000,69000,13000,282000,183000,99000,5175000
1275,r003,Total -> Male&#160;,Total,Male&#160;,,2,8930000,1539000,543000,165000,273000,85000,19000,996000,655000,341000,7390000
1275,r004,Total -> Hispanic or Latino<sup>a</sup>,Total,Hispanic or Latino<sup>a</sup>,,2,1189000,146000,46000,18000,20000,S,1000,100000,55000,45000,1043000
1275,r005,Total -> Not Hispanic or Latino&#160;,Total,Not Hispanic or Latino&#160;,,2,,,,,,,,,,,
1275,r006,Total -> Not Hispanic or Latino&#160; -> American Indian or Alaska Native,Total,Not Hispanic or Latino&#160;,American Indian or Alaska Native,3,33000,7000,3000,,3000,,,3000,3000,,27000
1275,r007,Total -> Not Hispanic or Latino&#160; -> Asian,Total,Not Hispanic or Latino&#160;,Asian,3,2270000,275000,118000,55000,42000,15000,5000,157000,113000,44000,1995000
1275,r008,Total -> Not Hispanic or Latino&#160; -> Black or African American,Total,Not Hispanic or Latino&#160;,Black or African American,3,873000,85000,38000,9000,17000,10000,S,47000,24000,23000,788000
1275,r009,Total -> Not Hispanic or Latino&#160; -> Native Hawaiian or Other Pacific Islander,Total,Not Hispanic or Latino&#160;,Native Hawaiian or Other Pacific Islander,3,33000,6000,,,,,,S,2000,S,28000
1275,r010,Total -> Not Hispanic or Latino&#160; -> White,Total,Not Hispanic or Latino&#160;,White,3,9903000,1441000,484000,121000,219000,123000,20000,957000,635000,322000,8462000
1275,r011,Total -> Not Hispanic or Latino&#160; -> More than one race,Total,Not Hispanic or Latino&#160;,More than one race,3,241000,17000,7000,3000,2000,0.05,S,10000,6000,4000,224000
1275,r012,Total -> Without disability&#160;,Total,Without disability&#160;,,2,13065000,1759000,625000,192000,267000,139000,27000,1134000,737000,397000,11306000
1275,r013,Total -> With disability&#160;,Total,With disability&#160;,,2,1475000,216000,71000,15000,36000,16000,4000,145000,101000,44000,1259000
