table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_1993_extremely_dangerous_or_very_dangerous,field_1993_somewhat_dangerous,field_1993_not_very_dangerous_or_not_dangerous,field_1993_don_t_know,field_1994_extremely_dangerous_or_very_dangerous,field_1994_somewhat_dangerous,field_1994_not_very_dangerous_or_not_dangerous,field_1994_don_t_know,field_2000_extremely_dangerous_or_very_dangerous,field_2000_somewhat_dangerous,field_2000_not_very_dangerous_or_not_dangerous,field_2000_don_t_know,field_2010_extremely_dangerous_or_very_dangerous,field_2010_somewhat_dangerous,field_2010_not_very_dangerous_or_not_dangerous,field_2010_don_t_know,field_2016_extremely_dangerous_or_very_dangerous,field_2016_somewhat_dangerous,field_2016_not_very_dangerous_or_not_dangerous,field_2016_don_t_know,field_2018_extremely_dangerous_or_very_dangerous,field_2018_somewhat_dangerous,field_2018_not_very_dangerous_or_not_dangerous,field_2018_don_t_know
2273,r001,"All adults (<i>n</i> = 1,557; 1,386; 1,276; 1,430; 911; 785)","All adults (<i>n</i> = 1,557; 1,386; 1,276; 1,430; 911; 785)",,1,61,30,4,4,53,37,5,5,62,29,2,6,63,31,4,2,73,23,2,1,73,22,4,1
2273,r002,Sex,Sex,,1,,,,,,,,,,,,,,,,,,,,,,,,
2273,r003,Sex -> Male (<i>n</i> = 663; 617; 560; 607; 399; 340),Sex,Male (<i>n</i> = 663; 617; 560; 607; 399; 340),2,57,33,6,4,49,40,7,4,59,33,3,5,59,35,6,1,71,25,2,1,66,27,6,1
2273,r004,Sex -> Female (<i>n</i> = 894; 769; 716; 823; 512; 445),Sex,Female (<i>n</i> = 894; 769; 716; 823; 512; 445),2,65,28,3,4,57,34,4,6,65,27,2,7,67,27,2,4,75,22,2,2,79,18,2,2
2273,r005,Formal education<sup>a</sup>,Formal education<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2273,r006,Formal education<sup>a</sup> -> Less than high school diploma (<i>n</i> = 283; 225; 216; 220; 112; 86),Formal education<sup>a</sup>,Less than high school diploma (<i>n</i> = 283; 225; 216; 220; 112; 86),2,52,33,5,9,48,34,7,12,59,27,4,9,68,20,7,5,69,24,5,2,61,28,5,7
2273,r007,Formal education<sup>a</sup> -> High school diploma (<i>n</i> = 496; 466; 397; 412; 260; 253),Formal education<sup>a</sup>,High school diploma (<i>n</i> = 496; 466; 397; 412; 260; 253),2,60,32,4,3,51,39,6,4,61,30,2,7,59,33,5,2,69,27,2,2,75,22,3,0
2273,r008,Formal education<sup>a</sup> -> Some college (<i>n</i> = 410; 346; 354; 390; 258; 211),Formal education<sup>a</sup>,Some college (<i>n</i> = 410; 346; 354; 390; 258; 211),2,70,25,3,2,57,35,4,3,63,28,2,7,65,32,2,2,74,24,2,0.05,74,24,2,0
2273,r009,Formal education<sup>a</sup> -> Bachelor's degree (<i>n</i> = 249; 242; 213; 266; 175; 157),Formal education<sup>a</sup>,Bachelor's degree (<i>n</i> = 249; 242; 213; 266; 175; 157),2,62,31,5,2,54,36,6,4,67,30,2,1,63,33,3,1,76,22,1,0.05,70,20,9,2
2273,r010,Formal education<sup>a</sup> -> Graduate or professional degree (<i>n</i> = 114; 102; 89; 139; 104; 78),Formal education<sup>a</sup>,Graduate or professional degree (<i>n</i> = 114; 102; 89; 139; 104; 78),2,56,37,6,0,57,37,4,3,57,38,2,3,62,34,3,2,83,13,2,1,86,14,0,0
2273,r011,"Science and mathematics education<sup>a,b</sup>","Science and mathematics education<sup>a,b</sup>",,1,,,,,,,,,,,,,,,,,,,,,,,,
2273,r012,"Science and mathematics education<sup>a,b</sup> -> Low (<i>n</i> = na; na; na; 116; 500; 408)","Science and mathematics education<sup>a,b</sup>",Low (<i>n</i> = na; na; na; 116; 500; 408),2,na,na,na,na,na,na,na,na,na,na,na,na,64,30,5,2,71,25,2,2,74,22,2,1
2273,r013,"Science and mathematics education<sup>a,b</sup> -> Middle (<i>n</i> = na; na; na; 52; 180; 154)","Science and mathematics education<sup>a,b</sup>",Middle (<i>n</i> = na; na; na; 52; 180; 154),2,na,na,na,na,na,na,na,na,na,na,na,na,44,51,3,3,77,18,4,1,71,25,3,1
2273,r014,"Science and mathematics education<sup>a,b</sup> -> High (<i>n</i> = na; na; na; 54; 179; 159)","Science and mathematics education<sup>a,b</sup>",High (<i>n</i> = na; na; na; 54; 179; 159),2,na,na,na,na,na,na,na,na,na,na,na,na,57,35,6,3,77,22,1,0,73,18,9,1
2273,r015,Family income (quartile)<sup>a</sup>,Family income (quartile)<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2273,r016,Family income (quartile)<sup>a</sup> -> Bottom (<i>n</i> = na; na; na; na; 211; 184),Family income (quartile)<sup>a</sup>,Bottom (<i>n</i> = na; na; na; na; 211; 184),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,72,23,2,3,75,17,7,1
2273,r017,Family income (quartile)<sup>a</sup> -> Third (<i>n</i> = na; na; na; na; 184; 147),Family income (quartile)<sup>a</sup>,Third (<i>n</i> = na; na; na; na; 184; 147),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,74,23,2,1,69,29,2,0.05
2273,r018,Family income (quartile)<sup>a</sup> -> Second (<i>n</i> = na; na; na; na; 223; 190),Family income (quartile)<sup>a</sup>,Second (<i>n</i> = na; na; na; na; 223; 190),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,75,22,2,0.05,74,24,2,0.05
2273,r019,Family income (quartile)<sup>a</sup> -> Top (<i>n</i> = na; na; na; na; 211; 201),Family income (quartile)<sup>a</sup>,Top (<i>n</i> = na; na; na; na; 211; 201),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,73,24,2,0.05,73,23,4,0
2273,r020,Age (years)<sup>a</sup>,Age (years)<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2273,r021,Age (years)<sup>a</sup> -> 18&#8211;24 (<i>n</i> = 132; 97; 113; 137; 59; 57),Age (years)<sup>a</sup>,18&#8211;24 (<i>n</i> = 132; 97; 113; 137; 59; 57),2,73,19,5,4,54,35,6,6,66,28,1,5,68,27,4,1,76,23,0,1,69,23,7,0
2273,r022,Age (years)<sup>a</sup> -> 25&#8211;34 (<i>n</i> = 325; 330; 256; 246; 160; 148),Age (years)<sup>a</sup>,25&#8211;34 (<i>n</i> = 325; 330; 256; 246; 160; 148),2,68,28,3,1,59,33,4,4,62,29,3,6,63,29,5,4,77,19,2,2,77,20,3,0
2273,r023,Age (years)<sup>a</sup> -> 35&#8211;44 (<i>n</i> = 383; 305; 297; 263; 135; 139),Age (years)<sup>a</sup>,35&#8211;44 (<i>n</i> = 383; 305; 297; 263; 135; 139),2,65,30,3,3,60,31,6,4,66,26,2,5,63,32,3,3,78,19,3,0.05,75,22,2,1
2273,r024,Age (years)<sup>a</sup> -> 45&#8211;54 (<i>n</i> = 251; 261; 245; 260; 158; 130),Age (years)<sup>a</sup>,45&#8211;54 (<i>n</i> = 251; 261; 245; 260; 158; 130),2,61,30,4,5,53,37,5,5,62,31,1,5,67,29,1,3,72,26,1,1,72,22,4,2
2273,r025,Age (years)<sup>a</sup> -> 55&#8211;64 (<i>n</i> = 171; 158; 144; 234; 168; 114),Age (years)<sup>a</sup>,55&#8211;64 (<i>n</i> = 171; 158; 144; 234; 168; 114),2,56,31,9,4,44,44,6,6,59,32,2,7,63,32,4,1,73,22,2,2,72,24,4,0
2273,r026,Age (years)<sup>a</sup> -> 65 or older (<i>n</i> = 291; 233; 220; 287; 228; 195),Age (years)<sup>a</sup>,65 or older (<i>n</i> = 291; 233; 220; 287; 228; 195),2,44,43,6,7,40,47,7,7,54,32,5,9,57,35,6,2,66,28,3,2,71,21,4,4
2273,r027,Correct answers to questions about basic scientific facts<sup>c</sup>,Correct answers to questions about basic scientific facts<sup>c</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2273,r028,Correct answers to questions about basic scientific facts<sup>c</sup> -> Low (<i>n</i> = na; na; na; 60; 168; 150),Correct answers to questions about basic scientific facts<sup>c</sup>,Low (<i>n</i> = na; na; na; 60; 168; 150),2,na,na,na,na,na,na,na,na,na,na,na,na,55,36,1,8,67,23,4,7,61,29,3,7
2273,r029,Correct answers to questions about basic scientific facts<sup>c</sup> -> Middle (<i>n</i> = na; na; na; 134; 397; 345),Correct answers to questions about basic scientific facts<sup>c</sup>,Middle (<i>n</i> = na; na; na; 134; 397; 345),2,na,na,na,na,na,na,na,na,na,na,na,na,61,35,3,1,73,24,2,1,77,20,3,0
2273,r030,Correct answers to questions about basic scientific facts<sup>c</sup> -> High (<i>n</i> = na; na; na; 133; 346; 290),Correct answers to questions about basic scientific facts<sup>c</sup>,High (<i>n</i> = na; na; na; 133; 346; 290),2,na,na,na,na,na,na,na,na,na,na,na,na,55,37,5,2,76,23,1,0,74,21,5,0.05
