table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5393,r001,All R&D fields,All R&D fields,,,,1,23809028,24506142,25586784,27567207,29237972,30703080,32979234,34898347,37163132,39051622,40152349
5393,r002,All R&D fields -> Science,All R&D fields,Science,,,2,18270250,18582380,19417860,20855631,22390105,23548547,25168366,26731245,28499483,29881504,30788904
5393,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,462704,448206,461891,516198,538482,543712,636568,694713,767663,844455,922212
5393,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,977987,971968,969612,1100733,1178558,1181547,1091976,1105550,1111254,1118724,1172186
5393,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,90667,97535,87634,95840,112264,120222,113396,120136,122304,129922,141732
5393,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,348875,342724,350160,395974,418852,414657,393608,398420,433956,444715,462636
5393,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,354927,343778,351584,389199,408333,403054,432824,441832,412190,402367,423173
5393,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,183518,187931,180234,219720,239109,243614,152148,145162,142804,141720,144645
5393,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,13282124,13674114,14446569,15337944,16689123,17610046,19074192,20349430,21743359,22798455,23386506
5393,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,2053440,2074100,2162369,2241442,2307639,2385402,2317228,2296289,2356617,2437010,2554105
5393,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,3367260,3641934,3870192,4076478,4467923,4601339,5330871,5543207,5943763,6129101,6421959
