table_id,row_id,_b_2018_carnegie_classification_b_full_path,_b_2018_carnegie_classification_b_level_1,_b_2018_carnegie_classification_b_level_2,_b_2018_carnegie_classification_b_hierarchy_depth,field_all_title_iv_postsecondary_institutions_count,field_all_title_iv_postsecondary_institutions_percent_of_institutions,field_bachelor_s_degrees_conferred_count,field_bachelor_s_degrees_conferred_percent_of_bachelor_s_degrees
5994,r001,All Institutions,All Institutions,,1,2414,100.0,2059095,100.0
5994,r002,All Institutions -> R1: doctoral universities,All Institutions,R1: doctoral universities,2,131,5.4,673485,32.7
5994,r003,All Institutions -> Other doctoral universities,All Institutions,Other doctoral universities,2,270,11.2,503908,24.5
5994,r004,All Institutions -> Master's colleges and universities,All Institutions,Master's colleges and universities,2,649,26.9,632799,30.7
5994,r005,All Institutions -> Baccalaureate colleges: arts and sciences focus,All Institutions,Baccalaureate colleges: arts and sciences focus,2,230,9.5,77975,3.8
5994,r006,All Institutions -> Other baccalaureate colleges,All Institutions,Other baccalaureate colleges,2,378,15.7,93867,4.6
5994,r007,All Institutions -> Special focus and tribal colleges,All Institutions,Special focus and tribal colleges,2,544,22.5,68177,3.3
5994,r008,All Institutions -> Associate's and 2-year colleges,All Institutions,Associate's and 2-year colleges,2,148,6.1,6944,0.3
5994,r009,All Institutions -> Not in Carnegie classification,All Institutions,Not in Carnegie classification,2,64,2.7,1940,0.1
