table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_performed_by_the_company,field_performed_by_others
717,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['75,749', '&nbsp;']","['65,012', '&nbsp;']","['10,736', '&nbsp;']"
717,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['50,165', '&nbsp;']","['41,643', '&nbsp;']","['8,522', '&nbsp;']"
717,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['206', '&nbsp;']","['196', '&nbsp;']","['10', '&nbsp;']"
717,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '&nbsp;']","['119', '&nbsp;']","['D', '&nbsp;']"
717,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['35', '&nbsp;']","['32', '&nbsp;']","['3', '&nbsp;']"
717,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['9', '&nbsp;']","['8', 'i']","['1', 'i']"
717,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['4', '&nbsp;']","['3', 'i']","['1', 'i']"
717,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['10', '&nbsp;']","['7', 'i']","['3', 'i']"
717,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['15', '&nbsp;']","['14', '&nbsp;']","['*', '&nbsp;']"
717,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['14,257', '&nbsp;']","['9,654', '&nbsp;']","['4,603', '&nbsp;']"
717,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['484', '&nbsp;']","['471', '&nbsp;']","['13', '&nbsp;']"
717,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['31', '&nbsp;']","['30', 'i']","['2', 'i']"
717,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
717,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['13,184', '&nbsp;']","['8,637', '&nbsp;']","['4,547', '&nbsp;']"
717,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['148', '&nbsp;']","['116', '&nbsp;']","['31', '&nbsp;']"
717,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
717,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['D', '&nbsp;']","['153', 'i']","['D', '&nbsp;']"
717,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['25', '&nbsp;']","['24', '&nbsp;']","['1', '&nbsp;']"
717,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['50', '&nbsp;']","['49', '&nbsp;']","['1', '&nbsp;']"
717,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['256', '&nbsp;']","['223', 'i']","['34', 'i']"
717,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['D', '&nbsp;']","['973', 'i']","['D', '&nbsp;']"
717,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['19', '&nbsp;']","['19', 'i']","['*', 'i']"
717,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['414', '&nbsp;']","['373', 'i']","['41', 'i']"
717,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['159', '&nbsp;']","['156', '&nbsp;']","['3', '&nbsp;']"
717,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['D', '&nbsp;']","['425', '&nbsp;']","['D', '&nbsp;']"
717,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,928', '&nbsp;']","['8,657', '&nbsp;']","['270', '&nbsp;']"
717,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,473', '&nbsp;']","['1,435', 'i']","['38', 'i']"
717,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['1,963', '&nbsp;']","['1,933', '&nbsp;']","['30', '&nbsp;']"
717,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['5,237', '&nbsp;']","['5,038', '&nbsp;']","['198', '&nbsp;']"
717,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['248', '&nbsp;']","['236', '&nbsp;']","['12', '&nbsp;']"
717,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['4,773', '&nbsp;']","['4,589', '&nbsp;']","['183', '&nbsp;']"
717,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['216', '&nbsp;']","['213', '&nbsp;']","['3', '&nbsp;']"
717,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['255', '&nbsp;']","['251', '&nbsp;']","['4', '&nbsp;']"
717,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['498', 'i']","['485', 'i']","['13', 'i']"
717,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['D', '&nbsp;']","['20,686', 'i']","['D', '&nbsp;']"
