table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2022,field_2023_preliminary_
10834,r001,All fields,All fields,,,1,96614768,86967076
10834,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,2441587,3071243
10834,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,724394,814607
10834,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,161652,NA
10834,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,98794,NA
10834,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,97043,NA
10834,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,366905,NA
10834,r008,All fields -> Life sciences,All fields,Life sciences,,2,30408047,5768626
10834,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,69277,NA
10834,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,27943626,NA
10834,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,2126858,NA
10834,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,60942,NA
10834,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,207343,NA
10834,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,225671,289090
10834,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,3415031,4324792
10834,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,649952,NA
10834,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,500846,NA
10834,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,29435,NA
10834,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,645248,NA
10834,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,1589550,NA
10834,r021,All fields -> Psychology,All fields,Psychology,,2,383043,493460
10834,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,0,NA
10834,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,1951,NA
10834,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,381092,NA
10834,r025,All fields -> Social sciences,All fields,Social sciences,,2,149433,209299
10834,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,5546,NA
10834,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,15792,NA
10834,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,237,NA
10834,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,18548,NA
10834,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,109310,NA
10834,r031,All fields -> Engineering,All fields,Engineering,,2,44427376,54070111
10834,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,18949433,NA
10834,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,419323,NA
10834,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,590148,NA
10834,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,484504,NA
10834,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,2374835,NA
10834,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,2952700,NA
10834,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,848194,NA
10834,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,825654,NA
10834,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,16982585,NA
10834,r041,All fields -> Other fields,All fields,Other fields,,2,14440187,17925849
10834,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,636755,NA
10834,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,472638,NA
10834,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,109816,NA
10834,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,0,NA
10834,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,151,NA
10834,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0,NA
10834,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0,NA
10834,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,13220827,NA
