table_id,row_id,primary_source_of_support,ay_2014,ay_2015,ay_2016,ay_2017
9766,r001,Research assistantship or traineeship,38.39,47.91,51.23,51.43
9766,r002,"Fellowships, scholarships or dissertation grants",28.06,35.05,37.49,40.16
9766,r003,Unknown,25.63,41.33,42.97,46.02
9766,r004,Teaching assistantships,23.07,26.29,29.74,31.5
9766,r005,Own resources,12.45,15.26,18.22,21.1
9766,r006,Other,12.7,20.06,20.26,20.8
9766,r007,Total,28.7,36.3,38.92,40.87
