table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_hierarchy_depth,field_1992_number,field_1992_percent,field_1997_number,field_1997_percent,field_2002_number,field_2002_percent,field_2007_number,field_2007_percent,field_2012_number,field_2012_percent,field_2017_number,field_2017_percent,field_2022_number,field_2022_percent
9462,r011,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,3,869,2.2,909,2.1,809,2.0,1654,3.4,1793,3.5,1998,3.7,2606,4.5
9462,r012,All fields -> Mathematics and computer sciences -> Mathematics and statistics,All fields,Mathematics and computer sciences,Mathematics and statistics,3,1058,2.7,1123,2.6,920,2.3,1388,2.9,1703,3.3,1844,3.4,2248,3.9
9462,r013,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6562,16.9,7369,17.3,6925,17.3,7309,15.2,8498,16.7,9034,16.6,9235,16.0
9462,r014,All fields -> Psychology and social sciences -> Psychology,All fields,Psychology and social sciences,Psychology,3,3262,8.4,3557,8.4,3207,8.0,3276,6.8,3599,7.1,3925,7.2,3990,6.9
9462,r015,All fields -> Psychology and social sciences -> Anthropology,All fields,Psychology and social sciences,Anthropology,3,320,0.8,434,1.0,496,1.2,512,1.1,547,1.1,446,0.8,415,0.7
9462,r016,All fields -> Psychology and social sciences -> Economics,All fields,Psychology and social sciences,Economics,3,910,2.3,1030,2.4,908,2.3,1004,2.1,1243,2.4,1239,2.3,1287,2.2
9462,r017,All fields -> Psychology and social sciences -> Political science and government,All fields,Psychology and social sciences,Political science and government,3,513,1.3,665,1.6,606,1.5,588,1.2,724,1.4,743,1.4,678,1.2
9462,r018,All fields -> Psychology and social sciences -> Sociology,All fields,Psychology and social sciences,Sociology,3,495,1.3,577,1.4,547,1.4,576,1.2,633,1.2,683,1.3,611,1.1
9462,r019,All fields -> Psychology and social sciences -> Other social sciences,All fields,Psychology and social sciences,Other social sciences,3,1062,2.7,1106,2.6,1161,2.9,1353,2.8,1752,3.4,1998,3.7,2254,3.9
9462,r020,All fields -> Engineering,All fields,Engineering,,2,5438,14.0,6114,14.4,5081,12.7,7749,16.1,8469,16.6,9776,17.9,11530,20.0
9462,r021,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,234,0.6,273,0.6,209,0.5,267,0.6,307,0.6,379,0.7,374,0.6
9462,r022,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,147,0.4,211,0.5,246,0.6,637,1.3,943,1.9,1032,1.9,1228,2.1
9462,r023,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,607,1.6,662,1.6,607,1.5,817,1.7,840,1.6,931,1.7,1142,2.0
9462,r024,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,540,1.4,592,1.4,540,1.3,703,1.5,495,1.0,713,1.3,898,1.6
9462,r025,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,1278,3.3,1460,3.4,1212,3.0,1967,4.1,1938,3.8,1879,3.4,2193,3.8
9462,r026,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,196,0.5,246,0.6,230,0.6,279,0.6,226,0.4,249,0.5,381,0.7
9462,r027,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,3,365,0.9,483,1.1,364,0.9,646,1.3,743,1.5,937,1.7,1136,2.0
9462,r028,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,855,2.2,929,2.2,771,1.9,1071,2.2,1220,2.4,1398,2.6,1676,2.9
9462,r029,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1216,3.1,1258,3.0,902,2.3,1362,2.8,1757,3.4,2258,4.1,2502,4.3
9462,r030,All fields -> Education,All fields,Education,,2,6677,17.2,6577,15.5,6508,16.3,6448,13.4,4802,9.4,4826,8.8,4509,7.8
9462,r031,All fields -> Education -> Education administration,All fields,Education,Education administration,3,1984,5.1,2050,4.8,2351,5.9,2161,4.5,1057,2.1,922,1.7,734,1.3
9462,r032,All fields -> Education -> Education research,All fields,Education,Education research,3,2503,6.4,2695,6.3,2776,6.9,2671,5.5,2516,4.9,2373,4.3,2289,4.0
