table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
8818,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['466,162', '  ']","['4,019', '  ']","['10,970', '  ']","['11,177', '  ']","['22,132', '  ']","['18,067', '  ']","['18,458', '  ']","['75,917', '  ']","['42,451', '  ']","['72,827', '  ']","['190,145', '  ']"
8818,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['264,596', '  ']","['1,556', '  ']","['5,814', '  ']","['6,349', '  ']","['12,053', '  ']","['8,999', '  ']","['11,309', '  ']","['38,379', '  ']","['31,160', '  ']","['59,081', '  ']","['89,896', '  ']"
8818,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,985', '  ']","['18', '  ']","['79', '  ']","['93', '  ']","['114', '  ']","['181', '  ']","['233', '  ']","['461', '  ']","['976', '  ']","['1,939', '  ']","['891', 'i ']"
8818,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,056', '  ']","['7', '  ']","['8', '  ']","['23', '  ']","['18', '  ']","['14', '  ']","['16', '  ']","['41', '  ']","['330', '  ']","['74', '  ']","['524', '  ']"
8818,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['812', '  ']","['5', '  ']","['6', '  ']","['11', '  ']","['34', '  ']","['8', '  ']","['50', '  ']","['138', '  ']","['278', '  ']","['94', 'i ']","['188', '  ']"
8818,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['183', '  ']","['0', '  ']","['8', '  ']","['13', '  ']","['11', '  ']","['11', '  ']","['9', '  ']","['38', '  ']","['89', '  ']","['5', '  ']","['0', '  ']"
8818,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['927', '  ']","['0', '  ']","['5', '  ']","['6', '  ']","['33', '  ']","['12', '  ']","['6', '  ']","['182', '  ']","['67', '  ']","['338', '  ']","['279', '  ']"
8818,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['282', '  ']","['* ', '  ']","['8', '  ']","['14', '  ']","['65', 'i ']","['18', '  ']","['14', '  ']","['58', '  ']","['33', '  ']","['72', 'i ']","['0', '  ']"
8818,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,222', '  ']","['8', '  ']","['15', '  ']","['119', '  ']","['15', '  ']","['14', '  ']","['37 - 55', '  ']","['71', '  ']","['15', '  ']","['0 - 327', '  ']","['582 - 931', '  ']"
8818,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['89,403', '  ']","['827', '  ']","['2,973', '  ']","['2,852', '  ']","['6,431', '  ']","['3,628', '  ']","['4,220', '  ']","['11,840', '  ']","['10,978', '  ']","['27,624', '  ']","['18,030', '  ']"
8818,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,523', '  ']","['4', '  ']","['173', '  ']","['165', '  ']","['214', '  ']","['94', '  ']","['156', '  ']","['1,040', '  ']","['281', '  ']","['378', '  ']","['18', '  ']"
8818,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,161', '  ']","['1', '  ']","['16 - 27', '  ']","['39', '  ']","['77', '  ']","['67', '  ']","['90', '  ']","['87 - 97', '  ']","['0', '  ']","['771', '  ']","['0', '  ']"
8818,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['775', '  ']","['17', '  ']","['17', '  ']","['31', '  ']","['27', '  ']","['11', '  ']","['5', '  ']","['224 - 232', '  ']","['0', '  ']","['432 - 445', '  ']","['0', '  ']"
8818,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['80,858', '  ']","['776', '  ']","['2,655', '  ']","['2,528', '  ']","['5,910', '  ']","['3,296', '  ']","['3,837', '  ']","['9,592', '  ']","['10,509', '  ']","['24,072', '  ']","['17,684', '  ']"
