table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5398,r001,All institutions,All institutions,,,,,,1,,,,,,,,,,,
5398,r002,All institutions -> All R&D,All institutions,All R&D,,,,,2,61286610,65274393,65729007,67013138,67199090,68549882,71767849,75147144,79026269,83534148,86296178
5398,r003,All institutions -> All R&D -> Direct costs,All institutions,All R&D,Direct costs,,,,3,46159649,49311567,49897854,51089463,51564673,52612168,55281411,57935304,60777579,64388205,66514804
5398,r004,"All institutions -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,,4,25929799,27860610,28339070,28802181,29118462,29894812,31455447,33229973,34678293,36598736,38703867
5398,r005,All institutions -> All R&D -> Direct costs -> Software,All institutions,All R&D,Direct costs,Software,,,4,105970,116422,103456,107685,96522,117011,113524,109635,121867,136568,158145
5398,r006,All institutions -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,All R&D,Direct costs,Software,Noncapitalized software,,5,88456,98438,93250,95652,84279,93207,95136,98610,110804,121014,144023
5398,r007,All institutions -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,All R&D,Direct costs,Software,Capitalized software,,5,17514,17984,10206,12033,12243,23804,18388,11025,11063,15554,14122
5398,r008,All institutions -> All R&D -> Direct costs -> Capitalized equipment,All institutions,All R&D,Direct costs,Capitalized equipment,,,4,2148421,2256025,2040534,2254429,2036393,2119860,2169465,2193911,2148659,2440045,2588624
5398,r009,All institutions -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,All R&D,Direct costs,Passed through to subrecipients,,,4,4956929,5436850,5531421,5689087,5702916,5633830,5697047,5915408,6315524,6716738,7053612
5398,r010,All institutions -> All R&D -> Direct costs -> Other direct costs,All institutions,All R&D,Direct costs,Other direct costs,,,4,13018530,13641660,13883373,14236081,14610380,14846655,15845928,16486377,17513236,18496118,18010556
5398,r011,All institutions -> All R&D -> Indirect costs,All institutions,All R&D,Indirect costs,,,,3,15126961,15962826,15831153,15923675,15634417,15937714,16486438,17211840,18248690,19145943,19781374
5398,r012,All institutions -> All R&D -> Indirect costs -> Recovered,All institutions,All R&D,Indirect costs,Recovered,,,4,10465893,11352339,11221624,11220177,10873879,11101007,11452294,12021637,12746295,13611514,14038278
5398,r013,All institutions -> All R&D -> Indirect costs -> Unrecovered,All institutions,All R&D,Indirect costs,Unrecovered,,,4,4661068,4610487,4609529,4703498,4760538,4836707,5034144,5190203,5502395,5534429,5743096
5398,r014,All institutions -> Doctorate,All institutions,Doctorate,,,,,2,,,,,,,,,,,
5398,r015,All institutions -> Doctorate -> All R&D,All institutions,Doctorate,All R&D,,,,3,60266691,64064133,64700201,66217717,66447854,67890206,70718154,74440312,78357182,82849208,85607541
5398,r016,All institutions -> Doctorate -> All R&D -> Direct costs,All institutions,Doctorate,All R&D,Direct costs,,,4,45266156,48282499,49022847,50398617,50915499,52041028,54363455,57313046,60195881,63796585,65922218
5398,r017,"All institutions -> Doctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Doctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,25494721,27357645,27906910,28462160,28785382,29604060,31105634,32911906,34366799,36289351,38392902
5398,r018,All institutions -> Doctorate -> All R&D -> Direct costs -> Software,All institutions,Doctorate,All R&D,Direct costs,Software,,5,98119,110285,95627,102523,91341,111645,108637,107211,119973,134828,155774
5398,r019,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Noncapitalized software,6,80940,92808,86115,90658,79637,88079,90540,96567,109051,119428,141979
5398,r020,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Capitalized software,6,17179,17477,9512,11865,11704,23566,18097,10644,10922,15400,13795
5398,r021,All institutions -> Doctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Doctorate,All R&D,Direct costs,Capitalized equipment,,5,2086956,2192296,1995345,2219549,2011006,2095638,2039262,2166650,2124751,2418507,2565531
5398,r022,All institutions -> Doctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Doctorate,All R&D,Direct costs,Passed through to subrecipients,,5,4901412,5371178,5469627,5647933,5663439,5609210,5659469,5884082,6286022,6688592,7025460
5398,r023,All institutions -> Doctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Doctorate,All R&D,Direct costs,Other direct costs,,5,12684948,13251095,13555338,13966452,14364331,14620475,15450453,16243197,17298336,18265307,17782551
5398,r024,All institutions -> Doctorate -> All R&D -> Indirect costs,All institutions,Doctorate,All R&D,Indirect costs,,,4,15000535,15781634,15677354,15819100,15532355,15849178,16354699,17127266,18161301,19052623,19685323
5398,r025,All institutions -> Doctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Doctorate,All R&D,Indirect costs,Recovered,,5,10382463,11236113,11125166,11147825,10808902,11041072,11383623,11965812,12686665,13550676,13975782
5398,r026,All institutions -> Doctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Doctorate,All R&D,Indirect costs,Unrecovered,,5,4618072,4545521,4552188,4671275,4723453,4808106,4971076,5161454,5474636,5501947,5709541
5398,r027,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,,,2,,,,,,,,,,,
5398,r028,All institutions -> Nondoctorate -> All R&D,All institutions,Nondoctorate,All R&D,,,,3,1019919,1210260,1028806,795421,751236,659676,1049695,706832,669087,684940,688637
5398,r029,All institutions -> Nondoctorate -> All R&D -> Direct costs,All institutions,Nondoctorate,All R&D,Direct costs,,,4,893493,1029068,875007,690846,649174,571140,917956,622258,581698,591620,592586
5398,r030,"All institutions -> Nondoctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Nondoctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,435078,502965,432160,340021,333080,290752,349813,318067,311494,309385,310965
