table_id,row_id,_b_survey_population_and_type_of_pass_through_entity_b_full_path,_b_survey_population_and_type_of_pass_through_entity_b_level_1,_b_survey_population_and_type_of_pass_through_entity_b_level_2,_b_survey_population_and_type_of_pass_through_entity_b_level_3,_b_survey_population_and_type_of_pass_through_entity_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
5361,r001,Standard form institutions,Standard form institutions,,,1,,,,,,
5361,r002,Standard form institutions -> All pass-through entities<sup>a</sup>,Standard form institutions,All pass-through entities<sup>a</sup>,,2,7825942,1150403,14.0,6619717,58714,0.9
5361,r003,Standard form institutions -> All pass-through entities<sup>a</sup> -> From educational pass-through entities,Standard form institutions,All pass-through entities<sup>a</sup>,From educational pass-through entities,3,3821399,468295,11.3,3420556,23737,0.7
5361,r004,Standard form institutions -> All pass-through entities<sup>a</sup> -> From business,Standard form institutions,All pass-through entities<sup>a</sup>,From business,3,1209172,187978,14.8,950588,11020,1.2
5361,r005,Standard form institutions -> All pass-through entities<sup>a</sup> -> From nonprofit organizations,Standard form institutions,All pass-through entities<sup>a</sup>,From nonprofit organizations,3,1496831,191672,12.5,1158578,13376,1.2
5361,r006,Standard form institutions -> All pass-through entities<sup>a</sup> -> From other pass-through entities,Standard form institutions,All pass-through entities<sup>a</sup>,From other pass-through entities,3,1298540,186183,14.0,1089995,16993,1.6
5361,r007,Short form institutions<sup>b</sup>,Short form institutions<sup>b</sup>,,,1,,,,,,
5361,r008,Short form institutions<sup>b</sup> -> From educational pass-through entities,Short form institutions<sup>b</sup>,From educational pass-through entities,,2,17819,568,3.2,15574,552,3.5
