table_id,row_id,_b_federal_agency_b_full_path,_b_federal_agency_b_level_1,_b_federal_agency_b_level_2,_b_federal_agency_b_hierarchy_depth,field_r_d_expenditures
5367,r001,All other federal agencies,All other federal agencies,,1,3209721
5367,r002,All other federal agencies -> Agency for International Development,All other federal agencies,Agency for International Development,2,201771
5367,r003,All other federal agencies -> Appalachian Regional Commission,All other federal agencies,Appalachian Regional Commission,2,703
5367,r004,All other federal agencies -> Central Intelligence Agency,All other federal agencies,Central Intelligence Agency,2,5349
5367,r005,All other federal agencies -> Consumer Product Safety Commission,All other federal agencies,Consumer Product Safety Commission,2,295
5367,r006,All other federal agencies -> Corporation for National and Community Service,All other federal agencies,Corporation for National and Community Service,2,7660
5367,r007,All other federal agencies -> Consumer Financial Protection Bureau,All other federal agencies,Consumer Financial Protection Bureau,2,41
5367,r008,All other federal agencies -> Department of Commerce,All other federal agencies,Department of Commerce,2,691861
5367,r009,All other federal agencies -> Department of Defensea,All other federal agencies,Department of Defensea,2,1109
5367,r010,All other federal agencies -> Department of Education,All other federal agencies,Department of Education,2,612213
5367,r011,All other federal agencies -> Department of Homeland Security,All other federal agencies,Department of Homeland Security,2,156020
5367,r012,All other federal agencies -> Department of Housing and Urban Development,All other federal agencies,Department of Housing and Urban Development,2,14403
5367,r013,All other federal agencies -> Department of Justice,All other federal agencies,Department of Justice,2,130297
5367,r014,All other federal agencies -> Department of Labor,All other federal agencies,Department of Labor,2,24914
5367,r015,All other federal agencies -> Department of State,All other federal agencies,Department of State,2,60579
5367,r016,All other federal agencies -> Department of the Interior,All other federal agencies,Department of the Interior,2,289177
5367,r017,All other federal agencies -> Department of the Treasury,All other federal agencies,Department of the Treasury,2,7261
5367,r018,All other federal agencies -> Department of Transportation,All other federal agencies,Department of Transportation,2,385441
5367,r019,All other federal agencies -> Department of Veterans Affairs,All other federal agencies,Department of Veterans Affairs,2,94386
5367,r020,All other federal agencies -> Environmental Protection Agency,All other federal agencies,Environmental Protection Agency,2,81127
5367,r021,All other federal agencies -> Executive Office of the President,All other federal agencies,Executive Office of the President,2,8032
5367,r022,All other federal agencies -> Federal Communications Commission,All other federal agencies,Federal Communications Commission,2,1417
5367,r023,All other federal agencies -> Federal Trade Commission,All other federal agencies,Federal Trade Commission,2,14
5367,r024,All other federal agencies -> General Services Administration,All other federal agencies,General Services Administration,2,56298
5367,r025,All other federal agencies -> Gulf Coast Ecosystem Restoration Council,All other federal agencies,Gulf Coast Ecosystem Restoration Council,2,12
5367,r026,All other federal agencies -> Institute of Museum and Library Services,All other federal agencies,Institute of Museum and Library Services,2,8496
5367,r027,All other federal agencies -> Library of Congress,All other federal agencies,Library of Congress,2,137
5367,r028,All other federal agencies -> Medicare Payment Advisory Commission,All other federal agencies,Medicare Payment Advisory Commission,2,36
5367,r029,All other federal agencies -> Millennium Challenge Corporation,All other federal agencies,Millennium Challenge Corporation,2,60
5367,r030,All other federal agencies -> National Archives and Records Administration,All other federal agencies,National Archives and Records Administration,2,1424
5367,r031,All other federal agencies -> National Endowment for the Arts,All other federal agencies,National Endowment for the Arts,2,1666
5367,r032,All other federal agencies -> National Endowment for the Humanities,All other federal agencies,National Endowment for the Humanities,2,14119
5367,r033,All other federal agencies -> National Science Foundation<sup>a</sup>,All other federal agencies,National Science Foundation<sup>a</sup>,2,8
5367,r034,All other federal agencies -> Northern Border Regional Commission,All other federal agencies,Northern Border Regional Commission,2,15
5367,r035,All other federal agencies -> Nuclear Regulatory Commission,All other federal agencies,Nuclear Regulatory Commission,2,7018
5367,r036,All other federal agencies -> Office of Personnel Management,All other federal agencies,Office of Personnel Management,2,3002
5367,r037,All other federal agencies -> Office of the Director of National Intelligence,All other federal agencies,Office of the Director of National Intelligence,2,36245
5367,r038,All other federal agencies -> Small Business Administration,All other federal agencies,Small Business Administration,2,21212
5367,r039,All other federal agencies -> Smithsonian Institution,All other federal agencies,Smithsonian Institution,2,3538
5367,r040,All other federal agencies -> Social Security Administration,All other federal agencies,Social Security Administration,2,8491
5367,r041,All other federal agencies -> Tennessee Valley Authority,All other federal agencies,Tennessee Valley Authority,2,906
5367,r042,All other federal agencies -> U.S. Agency for Global Media,All other federal agencies,U.S. Agency for Global Media,2,65
5367,r043,All other federal agencies -> U.S. Institute of Peace,All other federal agencies,U.S. Institute of Peace,2,257
5367,r044,All other federal agencies -> U.S. Postal Service,All other federal agencies,U.S. Postal Service,2,425
5367,r045,All other federal agencies -> U.S. Securities and Exchange Commission,All other federal agencies,U.S. Securities and Exchange Commission,2,1164
5367,r046,All other federal agencies -> Other agencies not listed<sup>b</sup>,All other federal agencies,Other agencies not listed<sup>b</sup>,2,271057
