table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_energy_companiesb_number_,field_energy_amount,field_environmental_protection_companiesb_number_,field_environmental_protection_amount
2059,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['19,514', '  ']","['339,036', '  ']","['3,276', 'i ']","['20,981', '  ']","['2,252', 'i ']","['6,976', '  ']"
2059,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['11,581', '  ']","['216,155', '  ']","['2,387', 'i ']","['16,667', '  ']","['1,712', 'i ']","['6,194', '  ']"
2059,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['554', '  ']","['4,453', 'i ']","['10', '  ']","['14', '  ']","['70', 'i ']","['47', 'i ']"
2059,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,730', '  ']","['63,285', '  ']","['227', 'i ']","['524', '  ']","['290', 'i ']","['418', '  ']"
2059,r005,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['253', '  ']","['2,393', '  ']","['85', 'i ']","['344', '  ']","['107', 'i ']","['258', '  ']"
2059,r006,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['755', '  ']","['55,229', '  ']","['3', '  ']","['18', '  ']","['4', '  ']","['11', '  ']"
2059,r007,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['723', '  ']","['5,664', '  ']","['140', 'i ']","['162', '  ']","['179', 'i ']","['149', '  ']"
2059,r008,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['624', '  ']","['3,637', '  ']","['126', 'i ']","['235', '  ']","['89', 'i ']","['145', '  ']"
2059,r009,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['175', '  ']","['1,303', '  ']","['57', 'i ']","['173', 'i ']","['53', 'i ']","['166', 'i ']"
2059,r010,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['1,168', '  ']","['2,099', '  ']","['315', 'i ']","['274', '  ']","['212', 'i ']","['150', '  ']"
2059,r011,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,662', '  ']","['12,257', '  ']","['458', 'i ']","['2,066', '  ']","['364', 'i ']","['995', 'i ']"
2059,r012,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['181', '  ']","['1,511', '  ']","['35', 'i ']","['42', '  ']","['30', 'i ']","['104', '  ']"
2059,r013,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['33', '  ']","['3,228', '  ']","['6', '  ']","['86', 'i ']","['0', '  ']","['0', '  ']"
2059,r014,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['97', '  ']","['1,921', '  ']","['68', 'i ']","['730', '  ']","['51', 'i ']","['502', 'i ']"
2059,r015,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,352', '  ']","['5,596', '  ']","['350', 'i ']","['1,209', '  ']","['283', 'i ']","['389', 'i ']"
2059,r016,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,726', '  ']","['69,942', '  ']","['369', 'i ']","['6,421', 'i ']","['226', 'i ']","['769', 'i ']"
2059,r017,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['422', '  ']","['27,859', '  ']","['96', 'i ']","['4,127', 'i ']","['41', 'i ']","['331', 'i ']"
2059,r018,All industries -> Manufacturing industries -> Computer and electronic products -> Other electronic products,All industries,Manufacturing industries,Computer and electronic products,Other electronic products,,4,other 334,"['1,304', '  ']","['42,083', '  ']","['273', 'i ']","['2,294', 'i ']","['184', 'i ']","['439', 'i ']"
2059,r019,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['709', '  ']","['4,110', '  ']","['433', 'i ']","['1,213', '  ']","['120', 'i ']","['130', '  ']"
2059,r020,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['807', '  ']","['34,629', '  ']","['190', 'i ']","['5,383', '  ']","['90', '  ']","['3,090', '  ']"
2059,r021,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['367', '  ']","['21,137', '  ']","['77', '  ']","['4,459', '  ']","['73', '  ']","['3,023', '  ']"
2059,r022,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['441', '  ']","['13,492', '  ']","['113', 'i ']","['925', '  ']","['17', '  ']","['67', '  ']"
2059,r023,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['1,386', '  ']","['15,410', '  ']","['29', '  ']","['92', '  ']","['22', '  ']","['52', '  ']"
2059,r024,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['1,050', '  ']","['5,029', '  ']","['172', 'i ']","['272', '  ']","['177', 'i ']","['232', '  ']"
2059,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['7,935', '  ']","['122,881', '  ']","['888', 'i ']","['4,314', 'i ']","['540', 'i ']","['781', '  ']"
2059,r026,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['104', '  ']","['2,841', '  ']","['51', 'i ']","['1,935', 'i ']","['38', '  ']","['200', 'i ']"
2059,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['36', '  ']","['281', '  ']","['34', '  ']","['261', '  ']","['13', '  ']","['80', 'i ']"
2059,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['662', '  ']","['503', '  ']","['51', 'i ']","['86', 'i ']","['39', 'i ']","['16', 'i ']"
2059,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['2,486', '  ']","['78,898', '  ']","['118', '  ']","['908', 'i ']","['40', '  ']","['124', '  ']"
2059,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,056', '  ']","['33,276', '  ']","['66', 'i ']","['813', 'i ']","['D', '  ']","['81', '  ']"
2059,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['101', '  ']","['3,643', '  ']","['D', '  ']","['1', '  ']","['D', '  ']","['*', '  ']"
2059,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,114', '  ']","['16,037', '  ']","['39', '  ']","['80', '  ']","['18', '  ']","['39', '  ']"
2059,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['216', '  ']","['25,943', '  ']","['D', '  ']","['14', '  ']","['D', '  ']","['3', '  ']"
2059,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['3,679', '  ']","['18,972', '  ']","['598', 'i ']","['1,017', '  ']","['385', 'i ']","['324', '  ']"
2059,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,124', '  ']","['1,561', '  ']","['401', 'i ']","['459', 'i ']","['309', 'i ']","['191', 'i ']"
2059,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['689', '  ']","['2,817', '  ']","['131', 'i ']","['354', '  ']","['53', 'i ']","['113', '  ']"
2059,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['160', '  ']","['795', '  ']","['3', 'i ']","['*', 'i ']","['D', '  ']","['*', '  ']"
2059,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['529', '  ']","['2,022', '  ']","['128', 'i ']","['353', '  ']","['D', '&nbsp;']","['113', '  ']"
2059,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['1,865', '  ']","['14,594', '  ']","['66', '  ']","['204', 'i ']","['23', '  ']","['20', '  ']"
2059,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['108', '  ']","['958', 'i ']","['D', '  ']","['9', '  ']","['0', '  ']","['0', '  ']"
2059,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81","['863', '  ']","['20,429', '  ']","['D', '  ']","['100', '  ']","['25', '  ']","['38', '  ']"
2059,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['19,514', '  ']","['339,036', '  ']","['3,276', 'i ']","['20,981', '  ']","['2,252', 'i ']","['6,976', '  ']"
2059,r043,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2059,r044,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['3,283', '  ']","['2,402', '  ']","['521', 'i ']","['215', 'i ']","['341', 'i ']","['118', '  ']"
2059,r045,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['6,001', '  ']","['7,593', '  ']","['931', 'i ']","['508', 'i ']","['612', 'i ']","['186', 'i ']"
2059,r046,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2059,r047,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['3,569', '  ']","['8,070', '  ']","['556', 'i ']","['621', '  ']","['399', 'i ']","['229', 'i ']"
2059,r048,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['2,986', '  ']","['13,514', '  ']","['514', 'i ']","['935', '  ']","['332', 'i ']","['259', '  ']"
2059,r049,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2059,r050,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,390', '  ']","['11,773', '  ']","['258', '  ']","['532', '  ']","['169', '  ']","['184', '  ']"
2059,r051,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['887', '  ']","['16,295', '  ']","['157', '  ']","['822', '  ']","['114', '  ']","['250', '  ']"
2059,r052,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['947', '  ']","['52,341', '  ']","['205', '  ']","['3,023', '  ']","['177', '  ']","['985', '  ']"
2059,r053,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['198', '  ']","['32,701', '  ']","['56', '  ']","['1,862', 'i ']","['46', '  ']","['541', '  ']"
2059,r054,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['149', '  ']","['63,415', '  ']","['48', '  ']","['3,886', 'i ']","['42', '  ']","['1,151', 'i ']"
2059,r055,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['105', '  ']","['130,931', '  ']","['28', '  ']","['8,579', '  ']","['20', '  ']","['3,072', '  ']"
