table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_hierarchy_depth,value
8269,r001,"Fall 2021, all surveyed fields",Total in survey,Postdoctoral appointees,2,63328
8269,r002,"Fall 2021, all surveyed fields",Total in survey,Doctorate nonfaculty researchers,2,30548
8269,r003,"Fall 2021, all surveyed fields",Number imputed,Postdoctoral appointees,2,1947
8269,r004,"Fall 2021, all surveyed fields",Number imputed,Doctorate nonfaculty researchers,2,1431
8269,r005,"Fall 2021, all surveyed fields",Imputation rate (%),Postdoctoral appointees,2,3.1
8269,r006,"Fall 2021, all surveyed fields",Imputation rate (%),Doctorate nonfaculty researchers,2,4.7
8269,r007,"Fall 2021, all surveyed fields -> Science",Total in survey,Postdoctoral appointees,2,37189
8269,r008,"Fall 2021, all surveyed fields -> Science",Total in survey,Doctorate nonfaculty researchers,2,18728
8269,r009,"Fall 2021, all surveyed fields -> Science",Number imputed,Postdoctoral appointees,2,1456
8269,r010,"Fall 2021, all surveyed fields -> Science",Number imputed,Doctorate nonfaculty researchers,2,1160
8269,r011,"Fall 2021, all surveyed fields -> Science",Imputation rate (%),Postdoctoral appointees,2,3.9
8269,r012,"Fall 2021, all surveyed fields -> Science",Imputation rate (%),Doctorate nonfaculty researchers,2,6.2
8269,r013,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Postdoctoral appointees,2,1595
8269,r014,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Doctorate nonfaculty researchers,2,902
8269,r015,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Postdoctoral appointees,2,5
8269,r016,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Doctorate nonfaculty researchers,2,9
8269,r017,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Postdoctoral appointees,2,0.3
8269,r018,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Doctorate nonfaculty researchers,2,1.0
8269,r019,"Fall 2021, all surveyed fields -> Science -> Biological and biomedical sciences",Total in survey,Postdoctoral appointees,2,20245
8269,r020,"Fall 2021, all surveyed fields -> Science -> Biological and biomedical sciences",Total in survey,Doctorate nonfaculty researchers,2,8187
