table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10835,r001,All agencies,All agencies,,,,,1,96614768,2441587,724394,30408047,225671,3415031,383043,149433,44427376,14440187
10835,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10835,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,275287,4944,1390,55055,0,1546,0,11517,3090,197745
10835,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,165057,0,0,0,0,0,0,0,0,165057
10835,r005,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,21194,0,0,21194,0,0,0,0,0,0
10835,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,83850,0,1390,33619,0,1546,0,11517,3090,32688
10835,r007,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,4944,4944,0,0,0,0,0,0,0,0
10835,r008,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,241,0,0,241,0,0,0,0,0,0
10835,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,321077,1254,153440,15995,1780,6016,0,56313,79479,6799
10835,r010,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,51488,780,0,0,1283,0,0,49424,0,0
10835,r011,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,82083,0.05,0,0,260,3410,0,0,78413,0
10835,r012,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,187505,474,153440,15995,237,2606,0,6889,1066,6799
10835,r013,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,62185981,2319798,264545,4264468,219884,1598629,383043,68364,39853083,13214168
10835,r014,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1810599,139852,1797,130,0,196988,0,0,730789,741043
10835,r015,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,1990983,66770,0,1910470,0,0,8787,0,0,4956
10835,r016,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,10972525,113671,279,2949,215,76806,0,0,8023260,2755346
10835,r017,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,10255864,1332808,96860,2042442,216529,782540,367046,49142,816389,4552109
10835,r018,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,15749004,173995,112010,15336,1233,178177,6183,12633,15164359,85077
10835,r019,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,4775577,2651,0,0,0,13544,0,0,1922611,2836771
10835,r020,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,16631430,490051,53598,293141,1907,350574,1027,6589,13195676,2238868
10835,r021,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,102437,0,0,0,0,0,0,0,0,102437
10835,r022,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,2588711,36078,30620,10819,3101,98478,0,0,2352986,56629
10835,r023,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,201482,6122,823,10697,0,23559,0,0,160281,0
10835,r024,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,52512,0,0,0,0,0,0,0,52512,0
10835,r025,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,931357,0,0,0,0,0,0,0,931357,0
10835,r026,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,23973,0,23973,0,0,0,0,0,0,0
10835,r027,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,1217262,14584,5824,123,3101,74920,0,0,1062081,56629
10835,r028,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,500653,0,0,0,0,948,0,0,499705,0
10835,r029,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,616255,0,0,0,0,0,0,0,560676,55579
10835,r030,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,100354,14584,5824,123,3101,73972,0,0,1700,1050
10835,r031,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,146754,0,0,0,0,0,0,0,146754,0
