table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dod,field_doe,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_ssa,field_usda
7315,r027,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,26,4462.6,0.0,0.0,0.0,0.0,0.0,1298.2,0.0,0.0,0.0,3164.4
7315,r028,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,27,4429.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.8,0.0,3802.1
7315,r029,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,28,4376.5,0.0,0.0,0.0,0.0,0.0,3132.2,0.0,1244.2,0.0,0.0
7315,r030,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,29,4193.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1858.0,0.0,2335.4
7315,r031,All HBCUs -> Elizabeth City State U.,All HBCUs,Elizabeth City State U.,2,30,4107.5,0.0,0.0,0.0,1536.2,0.0,121.1,0.0,2450.2,0.0,0.0
7315,r032,All HBCUs -> Morehouse C.,All HBCUs,Morehouse C.,2,31,3909.0,0.0,0.0,0.0,0.0,0.0,633.4,0.0,3275.7,0.0,0.0
7315,r033,All HBCUs -> Fisk U.,All HBCUs,Fisk U.,2,32,3736.5,0.0,0.0,0.0,0.0,0.0,520.2,0.0,3216.4,0.0,0.0
7315,r034,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,33,3037.0,0.0,0.0,0.0,0.0,0.0,1879.4,0.0,1157.5,0.0,0.0
7315,r035,All HBCUs -> Norfolk State U.,All HBCUs,Norfolk State U.,2,34,2813.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2813.7,0.0,0.0
7315,r036,All HBCUs -> Benedict C.,All HBCUs,Benedict C.,2,35,2407.6,0.0,0.0,0.0,1844.0,0.0,97.4,0.0,466.2,0.0,0.0
7315,r037,All HBCUs -> Savannah State U.,All HBCUs,Savannah State U.,2,36,2317.5,0.0,0.0,0.0,81.4,0.0,833.6,0.0,1402.4,0.0,0.0
7315,r038,All HBCUs -> Alabama State U.,All HBCUs,Alabama State U.,2,37,2259.9,0.0,0.0,0.0,0.0,0.0,1608.0,0.0,651.9,0.0,0.0
7315,r039,All HBCUs -> Bowie State U.,All HBCUs,Bowie State U.,2,38,2255.8,0.0,0.0,0.0,200.6,0.0,0.0,0.0,1556.6,0.0,498.6
7315,r040,All HBCUs -> Harris-Stowe State U.,All HBCUs,Harris-Stowe State U.,2,39,1791.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.5,0.0,0.0
7315,r041,All HBCUs -> West Virginia State U.,All HBCUs,West Virginia State U.,2,40,1697.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,1657.6
7315,r042,All HBCUs -> Winston-Salem State U.,All HBCUs,Winston-Salem State U.,2,41,1615.5,0.0,0.0,0.0,0.0,0.0,1006.9,0.0,608.6,0.0,0.0
7315,r043,All HBCUs -> Tougaloo C.,All HBCUs,Tougaloo C.,2,42,1582.5,0.0,0.0,0.0,0.0,0.0,1270.0,0.0,312.5,0.0,0.0
7315,r044,All HBCUs -> Dillard U.,All HBCUs,Dillard U.,2,43,1447.7,0.0,0.0,0.0,1447.7,0.0,0.0,0.0,0.0,0.0,0.0
7315,r045,All HBCUs -> LeMoyne-Owen C.,All HBCUs,LeMoyne-Owen C.,2,44,1399.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.1,0.0,0.0
7315,r046,All HBCUs -> Spelman C.,All HBCUs,Spelman C.,2,45,1389.3,0.0,0.0,0.0,0.0,0.0,511.4,0.0,848.0,0.0,30.0
7315,r047,All HBCUs -> Fayetteville State U.,All HBCUs,Fayetteville State U.,2,46,1343.3,0.0,0.0,0.0,0.0,0.0,107.0,0.0,1236.3,0.0,0.0
7315,r048,All HBCUs -> Lane C.,All HBCUs,Lane C.,2,47,816.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.8,0.0,0.0
7315,r049,All HBCUs -> Florida Memorial U.,All HBCUs,Florida Memorial U.,2,48,781.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.9,0.0,0.0
7315,r050,All HBCUs -> Claflin U.,All HBCUs,Claflin U.,2,49,643.0,0.0,0.0,0.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0
7315,r051,"All HBCUs -> Lawson State Community C., Birmingham",All HBCUs,"Lawson State Community C., Birmingham",2,50,521.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.1,0.0,0.0
7315,r052,All HBCUs -> Grambling State U.,All HBCUs,Grambling State U.,2,51,448.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.9,0.0,0.0
7315,r053,All HBCUs -> Albany State U.,All HBCUs,Albany State U.,2,52,426.6,0.0,0.0,0.0,226.7,0.0,0.0,0.0,200.0,0.0,0.0
7315,r054,"All HBCUs -> Southern U. and A&M C., System Office",All HBCUs,"Southern U. and A&M C., System Office",2,53,418.4,0.0,0.0,0.0,218.4,200.0,0.0,0.0,0.0,0.0,0.0
7315,r055,All HBCUs -> Lincoln U. Commonwealth of Pennsylvania,All HBCUs,Lincoln U. Commonwealth of Pennsylvania,2,54,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0
7315,r056,All HBCUs -> Virginia Union U.,All HBCUs,Virginia Union U.,2,55,344.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.1,0.0,0.0
7315,r057,All HBCUs -> Coppin State U.,All HBCUs,Coppin State U.,2,56,334.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.5,0.0,0.0
7315,r058,All HBCUs -> Bethune-Cookman U.,All HBCUs,Bethune-Cookman U.,2,57,301.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.4,0.0,0.0
7315,r059,All HBCUs -> Stillman C.,All HBCUs,Stillman C.,2,58,249.9,0.0,0.0,0.0,249.9,0.0,0.0,0.0,0.0,0.0,0.0
7315,r060,All HBCUs -> Paine C.,All HBCUs,Paine C.,2,59,202.4,0.0,0.0,0.0,202.4,0.0,0.0,0.0,0.0,0.0,0.0
7315,r061,All HBCUs -> Voorhees C.,All HBCUs,Voorhees C.,2,60,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
7315,r062,All HBCUs -> Oakwood U.,All HBCUs,Oakwood U.,2,61,183.7,0.0,0.0,0.0,183.7,0.0,0.0,0.0,0.0,0.0,0.0
7315,r063,All HBCUs -> Edward Waters C.,All HBCUs,Edward Waters C.,2,62,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0
7315,r064,All HBCUs -> Texas C.,All HBCUs,Texas C.,2,63,149.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.5,0.0,0.0
