table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6239,r001,World,World,,,,1,476117,537099,573567,594904,623659,690219,679734,552393,740792,815003,856616,876462,944011,925748,984792,1060968,1105874,1060766
6239,r002,World -> North America,World,North America,,,2,161856,168460,164448,162876,163256,154941,117043,68069,118516,137453,153719,162149,175311,188391,196809,204479,205649,208339
6239,r003,World -> North America -> Canada,World,North America,Canada,,3,19641,20287,19388,19473,18311,18505,13511,9733,14078,14577,16080,15502,15908,14593,15253,14456,14309,13768
6239,r004,World -> North America -> Mexico,World,North America,Mexico,,3,15505,13855,14662,15926,19034,20078,19947,14171,21055,24910,28910,31265,34759,36177,35373,40909,43133,45180
6239,r005,World -> North America -> United States,World,North America,United States,,3,126710,134318,130398,127477,125912,116358,83586,44165,83384,97966,108729,115383,124645,137621,146182,149114,148207,149391
6239,r006,World -> Central and South America,World,Central and South America,,,2,11850,13765,17430,22515,28110,37628,49638,44350,56202,65299,54388,54134,43196,28518,22792,31028,29269,26747
6239,r007,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,1033,1317,1712,2292,3126,4323,5606,4784,5096,5871,5315,5312,3181,2579,2439,2900,3226,2368
6239,r008,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,8707,10542,13324,17315,21537,28956,39110,33949,47090,54602,43660,43547,35429,20195,18027,24918,22198,21566
6239,r009,World -> Central and South America -> Chile,World,Central and South America,Chile,,3,106,110,164,167,208,206,174,158,189,241,263,318,153,251,236,244,222,149
6239,r010,World -> Central and South America -> Colombia,World,Central and South America,Colombia,,3,393,338,388,508,615,900,692,524,758,902,984,838,861,701,655,614,672,672
6239,r011,World -> Central and South America -> Peru,World,Central and South America,Peru,,3,64,72,89,106,119,171,257,281,391,454,543,601,623,618,655,830,882,828
6239,r012,World -> Central and South America -> Other Central and South America,World,Central and South America,Other Central and South America,,3,1546,1386,1753,2128,2505,3072,3800,4654,2679,3229,3622,3518,2948,4174,779,1523,2069,1165
6239,r013,World -> Europe,World,Europe,,,2,138301,169782,191259,190807,207981,241862,240633,177073,223617,255628,237820,256570,283399,256804,275628,291781,307727,269710
6239,r014,World -> Europe -> EU,World,Europe,EU,,3,120676,151268,170842,168603,184968,215463,212394,157326,198494,227472,208051,221278,245406,222870,241984,257194,272320,236346
6239,r015,World -> Europe -> EU -> France,World,Europe,EU,France,4,17499,20362,23637,21600,20360,22195,21834,17249,19011,19640,16490,16668,16697,14679,14880,15011,14680,12971
6239,r016,World -> Europe -> EU -> Germany,World,Europe,EU,Germany,4,62261,79462,86619,85650,97283,114024,108133,80174,110419,132578,126070,132780,150399,134306,147421,155937,165271,137307
6239,r017,World -> Europe -> EU -> Italy,World,Europe,EU,Italy,4,9962,11633,13498,13058,14750,17586,17121,12856,14375,14868,11920,13277,13812,13227,15263,17234,17601,14766
6239,r018,World -> Europe -> EU -> Spain,World,Europe,EU,Spain,4,9877,12489,14100,13525,14491,16228,15642,12753,11783,11816,9535,11322,12948,11912,12433,13283,14543,13431
6239,r019,World -> Europe -> EU -> Other EU,World,Europe,EU,Other EU,4,21076,27321,32987,34770,38085,45430,49665,34295,42907,48570,44035,47231,51551,48746,51986,55729,60224,57873
6239,r020,World -> Europe -> Non-EU,World,Europe,Non-EU,,3,17625,18514,20417,22204,23013,26399,28239,19747,25123,28156,29770,35292,37993,33935,33645,34587,35407,33364
6239,r021,World -> Europe -> Non-EU -> United Kingdom,World,Europe,Non-EU,United Kingdom,4,12706,13589,14316,14544,14573,15837,15637,10620,14338,15146,16039,20302,24585,23158,22118,21730,22348,19392
