table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
9645,r001,All business activities,All business activities,,1,21100–81000,"['709,663', '  ']"
9645,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['950', '  ']"
9645,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['102', 'i ']"
9645,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['660', '  ']"
9645,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['0 - 5,917', '  ']"
9645,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['780', '  ']"
9645,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['6,512', '  ']"
9645,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['941', '  ']"
9645,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['999', '  ']"
9645,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['942', '  ']"
9645,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['506', '  ']"
9645,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,841', '  ']"
9645,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['371', '  ']"
9645,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['537', '  ']"
9645,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['174', '  ']"
9645,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['220', '  ']"
9645,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['4,033', '  ']"
9645,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,756', '  ']"
9645,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['1,830', '  ']"
