table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_federal_number,field_federal_percent,field_institutional_number,field_institutional_percent,field_nonfederal_domestic_number,field_nonfederal_domestic_percent,field_foreign_number,field_foreign_percent,field_self_support_number,field_self_support_percent,field_unknown_number,field_unknown_percent
8315,r001,All surveyed fields,All surveyed fields,,,1,63328,32429,51.2,13633,21.5,9537,15.1,1354,2.1,754,1.2,5621,8.9
8315,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,37189,19606,52.7,7962,21.4,5238,14.1,660,1.8,318,0.9,3405,9.2
8315,r003,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,3,1595,741,46.5,409,25.6,261,16.4,11,0.7,2,0.1,171,10.7
8315,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,20245,11372,56.2,3408,16.8,2925,14.4,380,1.9,105,0.5,2055,10.2
8315,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,880,407,46.3,230,26.1,149,16.9,25,2.8,11,1.3,58,6.6
8315,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,1797,906,50.4,408,22.7,225,12.5,43,2.4,64,3.6,151,8.4
8315,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,1112,333,29.9,544,48.9,108,9.7,10,0.9,9,0.8,108,9.7
8315,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science,Multidisciplinary and interdisciplinary studies,3,878,402,45.8,282,32.1,120,13.7,7,0.8,9,1.0,58,6.6
8315,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,889,440,49.5,264,29.7,96,10.8,16,1.8,18,2.0,55,6.2
8315,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,6823,3943,57.8,1344,19.7,927,13.6,125,1.8,65,1.0,419,6.1
8315,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,1325,711,53.7,297,22.4,161,12.2,20,1.5,21,1.6,115,8.7
8315,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,1645,351,21.3,776,47.2,266,16.2,23,1.4,14,0.9,215,13.1
8315,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,8340,4235,50.8,1923,23.1,1352,16.2,262,3.1,98,1.2,470,5.6
8315,r014,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,277,122,44.0,65,23.5,39,14.1,13,4.7,3,1.1,35,12.6
8315,r015,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",3,1616,952,58.9,321,19.9,236,14.6,38,2.4,7,0.4,62,3.8
8315,r016,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,1167,521,44.6,276,23.7,245,21.0,39,3.3,6,0.5,80,6.9
8315,r017,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,968,371,38.3,310,32.0,168,17.4,37,3.8,10,1.0,72,7.4
8315,r018,"All surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Engineering,"Electrical, electronics, communications and computer engineering",3,1275,720,56.5,240,18.8,192,15.1,25,2.0,37,2.9,61,4.8
8315,r019,"All surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,127,41,32.3,52,40.9,26,20.5,4,3.1,0,0.0,4,3.1
8315,r020,All surveyed fields -> Engineering -> Mechanical engineering,All surveyed fields,Engineering,Mechanical engineering,3,1200,615,51.3,293,24.4,175,14.6,51,4.3,12,1.0,54,4.5
8315,r021,"All surveyed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,562,298,53.0,116,20.6,90,16.0,18,3.2,8,1.4,32,5.7
8315,r022,All surveyed fields -> Engineering -> Other engineering,All surveyed fields,Engineering,Other engineering,3,1148,595,51.8,250,21.8,181,15.8,37,3.2,15,1.3,70,6.1
8315,r023,All surveyed fields -> Health,All surveyed fields,Health,,2,17799,8588,48.2,3748,21.1,2947,16.6,432,2.4,338,1.9,1746,9.8
8315,r024,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,15561,7529,48.4,3210,20.6,2507,16.1,420,2.7,330,2.1,1565,10.1
8315,r025,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,2238,1059,47.3,538,24.0,440,19.7,12,0.5,8,0.4,181,8.1
