table_id,row_id,field_citizenship_ethnicity_and_race_full_path,field_citizenship_ethnicity_and_race_level_1,field_citizenship_ethnicity_and_race_level_2,field_citizenship_ethnicity_and_race_level_3,field_citizenship_ethnicity_and_race_level_4,field_citizenship_ethnicity_and_race_level_5,field_citizenship_ethnicity_and_race_level_6,field_citizenship_ethnicity_and_race_level_7,field_citizenship_ethnicity_and_race_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1138,r011,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,,,4,na,na,na,na,na,10487,13726,18278,21431,24290,27732
1138,r012,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,,,,4,40987,43360,49781,52901,60515,67385,73246,57882,53992,48088,41651
1138,r013,All degrees -> Temporary resident,All degrees,Temporary resident,,,,,,2,13432,13827,14445,15224,16160,16632,17106,16872,17113,17984,19404
1138,r014,All degrees -> All S&E,All degrees,All S&E,,,,,,2,49850,47485,49166,54284,62211,76021,84785,85798,87976,90589,88832
1138,r015,All degrees -> All S&E -> U.S. citizen and permanent resident,All degrees,All S&E,U.S. citizen and permanent resident,,,,,3,48751,46590,48212,53128,60911,74500,83187,84211,86261,88653,86661
1138,r016,All degrees -> All S&E -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,4,6006,6118,6376,7157,8412,9845,12375,14526,16963,19046,21328
1138,r017,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,,4,42745,40472,41836,45971,52499,64655,70812,69685,69298,69607,65333
1138,r018,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,,5,801,851,870,835,909,1051,1048,1096,1117,1077,961
1138,r019,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian,,,5,na,na,na,na,na,3952,4474,5235,5466,6206,6741
1138,r020,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,5,2769,2715,2877,3314,3706,na,na,na,na,na,na
