table_id,row_id,_b_industry_naics_code_and_company_size_b_full_path,_b_industry_naics_code_and_company_size_b_level_1,_b_industry_naics_code_and_company_size_b_level_2,_b_industry_naics_code_and_company_size_b_level_3,_b_industry_naics_code_and_company_size_b_level_4,_b_industry_naics_code_and_company_size_b_hierarchy_depth,field_domestic_net_sales_millions_a,field_all_r_d_millions_b,field_r_d_intensity_c,field_domestic_employment_thousands_d_total,field_domestic_employment_thousands_d_r_de
7363,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,11296552,"['537,619', '&#160;']",4.8,"['22,034', '']","['1,936', '&nbsp;']"
7363,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,5694734,"['308,445', '&#160;']",5.4,"['10,065', '']","['985', '&nbsp;']"
7363,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,1117545,"['101,079', '&#160;']",9.0,"['1,459', '']","['193', '&nbsp;']"
7363,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,551305,"['91,776', '&#160;']",16.6,"['606', '']","['146', '&nbsp;']"
7363,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,566240,"['9,303', '&nbsp;']",1.6,"['853', '&nbsp;']","['47', '&nbsp;']"
7363,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,356214,"['16,223', '&#160;']",4.6,"['899', '']","['101', '&nbsp;']"
7363,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,757047,"['99,535', '&#160;']",13.1,"['1,337', '']","['264', '&nbsp;']"
7363,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Electrical equipment, appliance, and components, 335","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Electrical equipment, appliance, and components, 335",,3,153123,"['4,998', '&#160;']",3.3,"['296', '']","['27', '&nbsp;']"
7363,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",,3,917847,"['48,796', '&#160;']",5.3,"['1,638', '']","['174', '&nbsp;']"
7363,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Motor vehicles, bodies, trailers, and parts, 3361&#8211;63","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Motor vehicles, bodies, trailers, and parts, 3361&#8211;63",4,578503,"['23,121', '&#160;']",4.0,"['832', '']","['101', '&nbsp;']"
7363,r011,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Aerospace products and parts, 3364","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Aerospace products and parts, 3364",4,268261,"['22,914', 'i']",8.5,"['636', '']","['62', '&nbsp;']"
7363,r012,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Other 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",Other 336,4,71083,"['2,761', '&nbsp;']",3.9,"['170', '&nbsp;']","['11', '&nbsp;']"
7363,r013,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Manufacturing nec, other 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Manufacturing nec, other 31&#8211;33",,3,2392958,"['37,814', '&nbsp;']",1.6,"['4,436', '&nbsp;']","['226', '&nbsp;']"
7363,r014,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,5601818,"['229,174', '&#160;']",4.1,"['11,970', '']","['952', '&nbsp;']"
7363,r015,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,1653526,"['129,463', '&#160;']",7.8,"['2,244', '']","['422', '&nbsp;']"
7363,r016,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Software publishers, 5112","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Software publishers, 5112",4,251461,"['34,965', '&#160;']",13.9,"['447', '']","['113', '&nbsp;']"
7363,r017,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Other 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",Other 51,4,1402065,"['94,498', '&#160;']",6.7,"['1,797', '&#160;']","['309', '&nbsp;']"
7363,r018,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Finance and insurance, 52","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Finance and insurance, 52",,3,1447133,"['12,296', '&#160;']",0.8,"['1,751', '']","['66', '&nbsp;']"
7363,r019,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",,3,417867,"['54,367', '&#160;']",13.0,"['1,308', '']","['300', '&nbsp;']"
7363,r020,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Computer systems design and related services, 5415","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Computer systems design and related services, 5415",4,167910,"['17,935', '&#160;']",10.7,"['428', '']","['94', '&nbsp;']"
7363,r021,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Scientific research and development services, 5417","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Scientific research and development services, 5417",4,70334,"['25,600', '&#160;']",36.4,"['257', '']","['107', '&nbsp;']"
7363,r022,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Other 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",Other 54,4,179623,"['10,832', '&#160;']",6.0,"['623', '&#160;']","['99', '&nbsp;']"
7363,r023,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81",,3,2083292,"['33,048', '&#160;']",1.6,"['6,667', '&#160;']","['164', '&nbsp;']"
7363,r024,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,,"['&#160;', '&#160;']",,"['&#160;', '&#160;']","['&#160;', '&nbsp;']"
7363,r025,Size of company (number of domestic employees) -> Small companies<sup>f</sup>,Size of company (number of domestic employees),Small companies<sup>f</sup>,,,2,,"['&#160;', '&#160;']",,"['&#160;', '&#160;']","['&#160;', '&nbsp;']"
7363,r026,Size of company (number of domestic employees) -> Small companies<sup>f</sup> -> 10&#8211;19,Size of company (number of domestic employees),Small companies<sup>f</sup>,10&#8211;19,,3,23576,"['5,047', '&#160;']",21.4,"['75', '']","['32', '&nbsp;']"
7363,r027,Size of company (number of domestic employees) -> Small companies<sup>f</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>f</sup>,20&#8211;49,,3,101277,"['12,994', '&#160;']",12.8,"['319', '']","['94', '&nbsp;']"
7363,r028,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,,"['&nbsp;', '&#160;']",,"['', '']","['', '&nbsp;']"
7363,r029,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,128409,"['12,993', '&#160;']",10.1,"['394', '']","['89', '&nbsp;']"
7363,r030,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,406650,"['25,411', '&#160;']",6.2,"['789', '']","['145', '&nbsp;']"
7363,r031,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,,"['&nbsp;', '&#160;']",,"['', '']","['', '&nbsp;']"
7363,r032,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,299155,"['20,878', '&#160;']",7.0,"['750', '']","['112', '&nbsp;']"
7363,r033,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,411894,"['21,264', '&#160;']",5.2,"['910', '']","['96', '&nbsp;']"
7363,r034,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,1517137,"['88,238', '&#160;']",5.8,"['2,899', '']","['327', '&nbsp;']"
7363,r035,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,1177564,"['48,397', '&#160;']",4.1,"['1,815', '']","['169', '&nbsp;']"
7363,r036,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,2071049,"['88,567', '&#160;']",4.3,"['3,345', '']","['277', '&nbsp;']"
7363,r037,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,5159841,"['213,829', '&#160;']",4.1,"['10,739', '']","['595', '&nbsp;']"
