table_id,row_id,subfield_of_study_full_path,subfield_of_study_level_1,subfield_of_study_level_2,subfield_of_study_level_3,subfield_of_study_level_4,subfield_of_study_level_5,subfield_of_study_hierarchy_depth,field_totala,field_male,field_female,field__female
1751,r001,All fields,All fields,,,,,1,55195,29798,25368,46.0
1751,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,12780,5659,7114,55.7
1751,r003,All fields -> Life sciences -> Agricultural sciences and natural resources ,All fields,Life sciences,Agricultural sciences and natural resources ,,,3,1445,746,696,48.2
1751,r004,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,,4,875,458,416,47.5
1751,r005,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,Agricultural economics,5,108,65,43,39.8
1751,r006,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",5,349,209,140,40.1
1751,r007,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal nutrition, poultry science",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal nutrition, poultry science",5,68,36,31,45.6
1751,r008,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal sciences, other",5,121,48,73,60.3
1751,r009,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Food science, food technology-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Food science, food technology-other",5,163,67,96,58.9
1751,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Soil chemistry and microbiology, soil sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Soil chemistry and microbiology, soil sciences-other",5,66,33,33,50.0
1751,r011,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,,4,503,255,246,48.9
1751,r012,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Environmental science,5,223,98,125,56.1
