table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_published_papers_in_conference_proceedings,field_authored_or_co_authored_conference_papers,field_submitted_articles_for_publication_in_a_peer_reviewed_journal,field_published_books_or_book_chapters,field_mentored_or_supervised_students,field_taught_courses,field_named_as_an_inventor_on_a_patent_application,field_provided_service_to_department_institution_or_professional_society
3827,r001,All early career doctorates,All early career doctorates,,,,,1,186700,56.1,82.6,87.4,39.2,89.2,82.5,7.6,90.3
3827,r002,All early career doctorates -> Doctoral degree type,All early career doctorates,Doctoral degree type,,,,2,,,,,,,,,
3827,r003,All early career doctorates -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>a</sup>,All early career doctorates,Doctoral degree type,Professional degree or doctoral equivalent<sup>a</sup>,,,3,15700,42.7,59.2,58.6,28.4,91.2,89.9,0.9,89.1
3827,r004,All early career doctorates -> Doctoral degree type -> Research degree,All early career doctorates,Doctoral degree type,Research degree,,,3,171100,57.4,84.7,90.0,40.1,89.0,81.9,8.3,90.4
3827,r005,All early career doctorates -> Years since doctoral degree,All early career doctorates,Years since doctoral degree,,,,2,,,,,,,,,
3827,r006,All early career doctorates -> Years since doctoral degree -> 1 year or less,All early career doctorates,Years since doctoral degree,1 year or less,,,3,36900,46.9,73.6,82.8,21.7,82.8,70.6,6.0,83.7
3827,r007,All early career doctorates -> Years since doctoral degree -> 2&#8211;5 years,All early career doctorates,Years since doctoral degree,2&#8211;5 years,,,3,82800,55.2,82.9,87.2,37.7,89.3,82.2,7.9,90.1
3827,r008,All early career doctorates -> Years since doctoral degree -> 6&#8211;10 years,All early career doctorates,Years since doctoral degree,6&#8211;10 years,,,3,67000,62.4,87.2,90.2,50.5,92.7,89.6,8.2,94.0
3827,r009,All early career doctorates -> Origin of doctoral degree,All early career doctorates,Origin of doctoral degree,,,,2,,,,,,,,,
3827,r010,All early career doctorates -> Origin of doctoral degree -> U.S. degree,All early career doctorates,Origin of doctoral degree,U.S. degree,,,3,161800,54.9,82.7,86.3,39.7,90.4,86.2,6.4,92.0
3827,r011,All early career doctorates -> Origin of doctoral degree -> Non-U.S. degree,All early career doctorates,Origin of doctoral degree,Non-U.S. degree,,,3,24900,63.9,81.9,94.7,35.8,81.7,58.7,15.3,78.7
3827,r012,All early career doctorates -> Field of doctoral degree,All early career doctorates,Field of doctoral degree,,,,2,,,,,,,,,
3827,r013,All early career doctorates -> Field of doctoral degree -> Science and engineering,All early career doctorates,Field of doctoral degree,Science and engineering,,,3,112600,57.6,82.3,91.8,34.1,87.7,74.7,11.8,88.1
3827,r014,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",,4,28900,52.6,78.8,94.9,26.4,89.1,66.8,10.9,83.2
3827,r015,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Agricultural and environmental life sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Agricultural and environmental life sciences,5,3900,66.0,91.9,95.2,40.8,93.2,77.5,7.5,92.0
3827,r016,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Biological and biomedical sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Biological and biomedical sciences,5,24900,50.5,76.8,94.9,24.1,88.4,65.1,11.5,81.8
3827,r017,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Engineering,All early career doctorates,Field of doctoral degree,Science and engineering,Engineering,,4,17200,78.6,83.1,92.5,27.9,88.7,66.1,29.8,88.2
3827,r018,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,,4,12100,67.1,72.8,88.4,28.8,80.4,83.4,12.5,91.8
