table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
6399,r001,All agencies surveyed,All agencies surveyed,,,,1,1935726.2,12788.5,14206.7,1908731.0
6399,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,
6399,r003,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,18515.4,2290.9,5312.2,10912.3
6399,r004,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,7317.4,0.0,0.0,7317.4
6399,r005,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,704.3,0.0,0.0,704.3
6399,r006,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,4568.9,0.0,3021.1,1547.8
6399,r007,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,5924.8,2290.9,2291.1,1342.9
6399,r008,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,1880578.8,0.0,0.0,1880578.8
6399,r009,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,1880578.8,0.0,0.0,1880578.8
6399,r010,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,
6399,r011,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,36632.0,10497.6,8894.5,17239.8
