table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10846,r001,All agencies,All agencies,,,,,1,22260098,974835,1438969,10607163,404997,3347125,1508304,568185,2148585,1261936
10846,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10846,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,554375,4488,6857,439371,918,21285,105,21157,35099,25095
10846,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,115150,150,507,105789,0,7393,0,276,1036,0
10846,r005,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,7231,0,0,7231,0,0,0,0,0,0
10846,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,3012,75,1117,1456,0,125,0,73,166,0
10846,r007,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,428868,4263,5233,324782,918,13768,105,20808,33897,25095
10846,r008,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,114,0,0,114,0,0,0,0,0,0
10846,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,32162,1527,1000,45,174,22123,0,0,7293,0
10846,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,32162,1527,1000,45,174,22123,0,0,7293,0
10846,r011,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,1531224,192084,94815,136801,33029,128380,22788,20039,564044,339246
10846,r012,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,201279,102951,4085,56594,1040,17816,2399,0,16394,0
10846,r013,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,1743,0,0,1743,0,0,0,0,0,0
10846,r014,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,528832,7999,0,2515,1685,12124,110,648,388390,115361
10846,r015,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,249573,32433,2357,49702,5269,19043,8932,1196,19867,110774
10846,r016,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,382598,29440,79786,8018,10755,52384,7009,5558,88441,101207
