table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11233,r001,All HBCUs,All HBCUs,,1,-,658390,497724,12307,0,110622,37737
11233,r002,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,1,52340,39458,680,0,8932,3271
11233,r003,All HBCUs -> West Virginia State U.,All HBCUs,West Virginia State U.,2,2,46249,42709,0,0,2893,647
11233,r004,All HBCUs -> Howard U.<sup>a</sup>,All HBCUs,Howard U.<sup>a</sup>,2,3,36586,32312,0,0,3867,407
11233,r005,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,4,32333,14298,8163,0,7067,2805
11233,r006,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,5,29280,29280,0,0,0,0
11233,r007,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,6,28400,22483,0,0,2869,3048
11233,r008,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,7,28128,22998,0,0,3654,1477
11233,r009,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,8,27700,22288,373,0,4097,942
11233,r010,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,9,25920,20111,0,0,3623,2185
11233,r011,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,10,23531,10671,2000,0,10860,0
11233,r012,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,11,23410,21869,0,0,1324,217
11233,r013,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,12,21046,12053,0,0,2595,6398
11233,r014,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,13,20277,14867,0,0,3110,2300
11233,r015,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,14,18257,12179,0,0,3463,2615
11233,r016,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,15,17931,10916,0,0,5961,1054
11233,r017,All HBCUs -> Fort Valley State U.,All HBCUs,Fort Valley State U.,2,16,15759,11016,0,0,3737,1006
11233,r018,All HBCUs -> Virginia State U.<sup>a</sup>,All HBCUs,Virginia State U.<sup>a</sup>,2,17,15416,13203,0,0,1516,697
11233,r019,All HBCUs -> Lincoln U.,All HBCUs,Lincoln U.,2,18,15042,11915,0,0,1865,1262
11233,r020,All HBCUs -> U. Virgin Islands,All HBCUs,U. Virgin Islands,2,19,14644,10796,841,0,939,2069
11233,r021,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,20,14313,8769,0,0,5544,0
11233,r022,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,21,13906,10898,0,0,1491,1517
11233,r023,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,22,13255,13044,0,0,211,0
11233,r024,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,23,12002,8295,0,0,3631,76
11233,r025,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,24,11966,9669,0,0,1458,839
11233,r026,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,25,11380,9553,0,0,1827,0
11233,r027,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,26,11216,6301,0,0,4576,339
11233,r028,All HBCUs -> U. District of Columbia,All HBCUs,U. District of Columbia,2,27,8671,5569,0,0,1730,1371
11233,r029,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,28,8536,7607,0,0,929,0
11233,r030,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,29,7437,6686,0,0,750,0
11233,r031,All HBCUs -> Morehouse C.,All HBCUs,Morehouse C.,2,30,6060,5371,0,0,689,0
11233,r032,All HBCUs -> Bowie State U.,All HBCUs,Bowie State U.,2,31,5233,4971,0,0,12,250
11233,r033,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,32,5100,3273,0,0,1827,0
11233,r034,All HBCUs -> Spelman C.,All HBCUs,Spelman C.,2,33,4284,3582,0,0,703,0
11233,r035,All HBCUs -> Norfolk State U.,All HBCUs,Norfolk State U.,2,34,4175,2003,251,0,1922,0
11233,r036,All HBCUs -> Oakwood U.,All HBCUs,Oakwood U.,2,35,3437,386,0,0,2804,247
11233,r037,All HBCUs -> Alabama State U.,All HBCUs,Alabama State U.,2,36,2955,2457,0,0,499,0
11233,r038,All HBCUs -> Voorhees C.,All HBCUs,Voorhees C.,2,37,2813,2813,0,0,0,0
11233,r039,All HBCUs -> Albany State U.<sup>a</sup>,All HBCUs,Albany State U.<sup>a</sup>,2,38,2352,1227,0,0,1125,0
11233,r040,All HBCUs -> Fisk U.,All HBCUs,Fisk U.,2,39,2281,1544,0,0,737,0
11233,r041,All HBCUs -> Tougaloo C.,All HBCUs,Tougaloo C.,2,40,1772,1326,0,0,446,0
11233,r042,All HBCUs -> Dillard U.,All HBCUs,Dillard U.,2,41,1769,1066,0,0,453,250
11233,r043,All HBCUs -> Savannah State U.,All HBCUs,Savannah State U.,2,42,1756,871,0,0,885,0
11233,r044,All HBCUs -> Winston-Salem State U.,All HBCUs,Winston-Salem State U.,2,43,1585,549,0,0,1037,0
11233,r045,All HBCUs -> Fayetteville State U.,All HBCUs,Fayetteville State U.,2,44,1469,845,0,0,624,0
11233,r046,All HBCUs -> Claflin U.,All HBCUs,Claflin U.,2,45,987,629,0,0,358,0
11233,r047,All HBCUs -> Harris-Stowe State U.,All HBCUs,Harris-Stowe State U.,2,46,902,180,0,0,722,0
11233,r048,All HBCUs -> Elizabeth City State U.,All HBCUs,Elizabeth City State U.,2,47,841,717,0,0,123,0
11233,r049,All HBCUs -> Lane C.,All HBCUs,Lane C.,2,48,691,138,0,0,553,0
11233,r050,All HBCUs -> Benedict C.,All HBCUs,Benedict C.,2,49,590,590,0,0,0,0
11233,r051,All HBCUs -> Stillman C.,All HBCUs,Stillman C.,2,50,570,342,0,0,31,198
11233,r052,All HBCUs -> Alcorn State U.<sup>a</sup>,All HBCUs,Alcorn State U.<sup>a</sup>,2,51,398,398,0,0,0,0
11233,r053,All HBCUs -> Edward Waters U.,All HBCUs,Edward Waters U.,2,52,346,0,0,0,346,0
11233,r054,"All HBCUs -> Bennett C., Greensboro",All HBCUs,"Bennett C., Greensboro",2,53,293,293,0,0,0,0
11233,r055,All HBCUs -> Johnson C. Smith U.,All HBCUs,Johnson C. Smith U.,2,54,250,0,0,0,0,250
11233,r056,All HBCUs -> Shaw U.,All HBCUs,Shaw U.,2,55,200,40,0,0,160,0
11233,r057,All HBCUs -> Virginia Union U.,All HBCUs,Virginia Union U.,2,56,125,125,0,0,0,0
11233,r058,All HBCUs -> Texas C.,All HBCUs,Texas C.,2,57,100,100,0,0,0,0
11233,r059,All HBCUs -> Florida Memorial U.,All HBCUs,Florida Memorial U.,2,58,100,50,0,0,50,0
11233,r060,All HBCUs -> Saint Augustine's U.,All HBCUs,Saint Augustine's U.,2,59,27,27,0,0,0,0
