table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_did_not_use,field_tested_but_notused_inproduction_orservice,field_low_use,field_moderate_use,field_high_use,field_don_t_know
5705,r001,All companies,All companies,,,1,"['    4,805,151 ', '&nbsp;']","['    93.7 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    4.3 ', '&nbsp;']"
5705,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5705,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,667,724 ', '&nbsp;']","['    94.6 ', '&nbsp;']","['    0.1 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    4.1 ', '&nbsp;']"
5705,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    936,576 ', '&nbsp;']","['    93.8 ', '&nbsp;']","['    0.1 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    4.3 ', '&nbsp;']"
5705,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5705,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    579,513 ', '&nbsp;']","['    93.1 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    4.2 ', '&nbsp;']"
5705,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    402,199 ', '&nbsp;']","['    92.4 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    1.2 ', '&nbsp;']","['    1.0 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    4.5 ', '&nbsp;']"
5705,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5705,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    119,497 ', '&nbsp;']","['    89.9 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    2.5 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    4.7 ', '&nbsp;']"
5705,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    65,565 ', '&nbsp;']","['    86.8 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    2.7 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    5.6 ', '&nbsp;']"
5705,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5705,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    18,897 ', '&nbsp;']","['    83.0 ', '&nbsp;']","['    0.5 ', 'r']","['    4.0 ', '&nbsp;']","['    4.6 ', '&nbsp;']","['    1.8 ', '&nbsp;']","['    6.1 ', '&nbsp;']"
5705,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    7,289 ', '&nbsp;']","['    82.3 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    3.7 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    1.8 ', '&nbsp;']","['    8.5 ', '&nbsp;']"
5705,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    6,199 ', '&nbsp;']","['    71.8 ', '&nbsp;']","['    1.2 ', '&nbsp;']","['    6.5 ', 'r']","['    5.8 ', 'r']","['    1.9 ', '&nbsp;']","['    12.8 ', '&nbsp;']"
5705,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    823 ', '&nbsp;']","['    58.9 ', '&nbsp;']","['    1.0 ', '&nbsp;']","['    9.8 ', '&nbsp;']","['    6.2 ', '&nbsp;']","['    2.7 ', '&nbsp;']","['    21.3 ', '&nbsp;']"
5705,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    514 ', '&nbsp;']","['    48.7 ', '&nbsp;']","['    3.5 ', '&nbsp;']","['    9.5 ', '&nbsp;']","['    8.2 ', '&nbsp;']","['    4.5 ', '&nbsp;']","['    25.6 ', '&nbsp;']"
5705,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    358 ', '&nbsp;']","['    31.7 ', '&nbsp;']","['    3.9 ', '&nbsp;']","['    13.0 ', '&nbsp;']","['    8.1 ', '&nbsp;']","['    5.0 ', '&nbsp;']","['    38.3 ', 'r']"
