table_id,row_id,2019_broad_field,2020_broad_field,2019
6029,r001,Agricultural sciences,Agricultural and veterinary sciences,Name changed to reflect move of Veterinary biomedical and clinical sciences into this broad field (from Other health).
6029,r002,Biological and biomedical sciences,Biological and biomedical sciences,None.
6029,r003,Computer and information sciences,Computer and information sciences,"Several GSS codes in this broad field split; in 2019 there were three GSS codes, and there are seven in 2020. "
6029,r004,"Geoscience, atmospheric, and ocean sciences ","Geoscience, atmospheric, and ocean sciences ",None.
6029,r005,Mathematics and statistics,Mathematics and statistics,One code split into two.
6029,r006,Multidisciplinary and interdisciplinary studies,Multidisciplinary and interdisciplinary studies,Multidisciplinary and interdisciplinary studies was split into four fields; the new CIP codes related to Data science and data analytics were added as their own GSS code in this broad field. 
6029,r007,Natural resources and conservation,Natural resources and conservation,None.
6029,r008,Physical sciences,Physical sciences,None.
6029,r009,Psychology,Psychology,Human development was moved from Social sciences to Psychology; one GSS code was split. 
6029,r010,Social sciences,Social sciences,Human development was moved from Social sciences to Psychology; several GSS codes were split out of Social sciences nec; reporting changes. 
6029,r011,Engineering,"Aerospace, aeronautical, and astronautical engineering",Added broad fields within Engineering for the first time. See table A-18b for field level changes in Engineering. 
6029,r012,,"Biological, biomedical, and biosystems engineering",
6029,r013,,"Chemical, petroleum, and chemical-related engineering",
6029,r014,,"Civil, environmental, transportation and related engineering fields",
6029,r015,,"Electrical, electronics, communications and computer engineering",
6029,r016,,"Industrial, manufacturing, systems engineering and operations research",
6029,r017,,Mechanical engineering,
6029,r018,,"Metallurgical, mining, materials and related engineering fields",
6029,r019,,"Engineering, other",
6029,r020,Clinical medicine,Clinical medicine,New CIP codes related to Clinical medical sciences were added as a new GSS code; changes to which codes can include graduate students. 
6029,r021,Other health,Other health,"Veterinary biomedical and clinical sciences moved from Other health to Agricultural and veterinary sciences. New GSS code split out of Other health, nec. "
