table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_isic_rev_4_industry_code,field_total,field_stem_without_bachelor_s_degree_stw_,field_stem_with_bachelor_s_degree_or_above,field_non_stem
6247,r001,All industries (including KTI industries),All industries (including KTI industries),,,,1,,155423,19853,16241,119329
6247,r002,All industries (including KTI industries) -> All KTI industries,All industries (including KTI industries),All KTI industries,,,2,,11667,2243,3427,5997
6247,r003,All industries (including KTI industries) -> All KTI industries -> Manufacturing ,All industries (including KTI industries),All KTI industries,Manufacturing ,,3,,7062,1568,1432,4062
6247,r004,All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Chemicals and chemical products,All industries (including KTI industries),All KTI industries,Manufacturing ,Chemicals and chemical products,4,20,852,266,136,451
6247,r005,All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Pharmaceuticals,All industries (including KTI industries),All KTI industries,Manufacturing ,Pharmaceuticals,4,21,536,85,167,284
6247,r006,"All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Computer, electronic, and optical products",All industries (including KTI industries),All KTI industries,Manufacturing ,"Computer, electronic, and optical products",4,26,1169,214,357,598
6247,r007,All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Electrical equipment,All industries (including KTI industries),All KTI industries,Manufacturing ,Electrical equipment,4,27,435,89,60,286
6247,r008,All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Machinery and equipment nec,All industries (including KTI industries),All KTI industries,Manufacturing ,Machinery and equipment nec,4,28,1122,289,146,686
6247,r009,"All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Motor vehicles, trailers, and semi-trailers",All industries (including KTI industries),All KTI industries,Manufacturing ,"Motor vehicles, trailers, and semi-trailers",4,29,1428,314,185,929
6247,r010,All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Air and spacecraft and related machinery,All industries (including KTI industries),All KTI industries,Manufacturing ,Air and spacecraft and related machinery,4,303,820,190,250,380
6247,r011,"All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Railroad, military vehicles, and transport nec",All industries (including KTI industries),All KTI industries,Manufacturing ,"Railroad, military vehicles, and transport nec",4,"302, 304, and 309",66,12,8,45
6247,r012,All industries (including KTI industries) -> All KTI industries -> Manufacturing  -> Medical and dental instruments,All industries (including KTI industries),All KTI industries,Manufacturing ,Medical and dental instruments,4,325,634,109,122,402
6247,r013,All industries (including KTI industries) -> All KTI industries -> Services,All industries (including KTI industries),All KTI industries,Services,,3,,4605,675,1995,1935
6247,r014,All industries (including KTI industries) -> All KTI industries -> Services -> IT and other information services,All industries (including KTI industries),All KTI industries,Services,IT and other information services,4,62 - 63,3767,593,1586,1588
6247,r015,All industries (including KTI industries) -> All KTI industries -> Services -> Software publishing,All industries (including KTI industries),All KTI industries,Services,Software publishing,4,582,131,11,54,65
6247,r016,All industries (including KTI industries) -> All KTI industries -> Services -> Scientific research and development,All industries (including KTI industries),All KTI industries,Services,Scientific research and development,4,72,708,71,355,282
