table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
2558,r001,All companies,All companies,,,1,"['    18,395 ', '&nbsp;']","['    6,655,717 ', '&nbsp;']","['    13,003 ', '&nbsp;']","['    3,525,771 ', '&nbsp;']","['    5,392 ', '&nbsp;']","['    3,129,946 ', '&nbsp;']"
2558,r002,All companies -> Race,All companies,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2558,r003,All companies -> Race -> White,All companies,Race,White,3,"['    13,470 ', '&nbsp;']","['    4,385,532 ', '&nbsp;']","['    9,459 ', '&nbsp;']","['    2,394,629 ', '&nbsp;']","['    4,011 ', '&nbsp;']","['    1,990,903 ', '&nbsp;']"
2558,r004,All companies -> Race -> Asian,All companies,Race,Asian,3,"['    3,556 ', '&nbsp;']","['    1,166,418 ', '&nbsp;']","['    2,733 ', '&nbsp;']","['    710,073 ', '&nbsp;']","['    823 ', '&nbsp;']","['    456,345 ', '&nbsp;']"
2558,r005,All companies -> Race -> Black or African American,All companies,Race,Black or African American,3,"['    218 ', '&nbsp;']","['    44,676 ', '&nbsp;']","['    146 ', '&nbsp;']","['    28,620 ', '&nbsp;']","['    72 ', '&nbsp;']","['    16,056 ', '&nbsp;']"
2558,r006,All companies -> Race -> American Indian or Alaska Native,All companies,Race,American Indian or Alaska Native,3,"['    93 ', '&nbsp;']","['    15,064 ', '&nbsp;']","['    74 ', '&nbsp;']","['    13,062 ', '&nbsp;']","['    19 ', 'r']","['    2,002 ', '&nbsp;']"
2558,r007,All companies -> Race -> Native Hawaiian or Other Pacific Islander,All companies,Race,Native Hawaiian or Other Pacific Islander,3,"['    4 ', '&nbsp;']","['    1,089 ', '&nbsp;']","['    3 ', '&nbsp;']","['    691 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
2558,r008,All companies -> Ethnicity,All companies,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2558,r009,All companies -> Ethnicity -> Hispanic or Latino,All companies,Ethnicity,Hispanic or Latino,3,"['    403 ', '&nbsp;']","['    100,872 ', '&nbsp;']","['    329 ', '&nbsp;']","['    78,948 ', '&nbsp;']","['    74 ', '&nbsp;']","['    21,924 ', '&nbsp;']"
2558,r010,All companies -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    110 ', '&nbsp;']","['    34,681 ', '&nbsp;']","['    86 ', '&nbsp;']","['    24,633 ', '&nbsp;']","['    25 ', 'r']","['    10,048 ', '&nbsp;']"
2558,r011,All companies -> Ethnicity -> Not Hispanic or Latino,All companies,Ethnicity,Not Hispanic or Latino,3,"['    16,973 ', '&nbsp;']","['    5,550,029 ', '&nbsp;']","['    12,109 ', '&nbsp;']","['    3,069,594 ', '&nbsp;']","['    4,864 ', '&nbsp;']","['    2,480,435 ', '&nbsp;']"
2558,r012,All companies -> Minority status,All companies,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2558,r013,All companies -> Minority status -> Minority,All companies,Minority status,Minority,3,"['    4,284 ', '&nbsp;']","['    1,353,643 ', '&nbsp;']","['    3,312 ', '&nbsp;']","['    854,566 ', '&nbsp;']","['    972 ', '&nbsp;']","['    499,077 ', '&nbsp;']"
2558,r014,All companies -> Minority status -> Equally minority/ nonminority,All companies,Minority status,Equally minority/ nonminority,3,"['    417 ', '&nbsp;']","['    188,775 ', '&nbsp;']","['    281 ', '&nbsp;']","['    62,757 ', '&nbsp;']","['    136 ', '&nbsp;']","['    126,017 ', '&nbsp;']"
2558,r015,All companies -> Minority status -> Nonminority,All companies,Minority status,Nonminority,3,"['    12,785 ', '&nbsp;']","['    4,143,165 ', '&nbsp;']","['    8,931 ', '&nbsp;']","['    2,255,851 ', '&nbsp;']","['    3,854 ', '&nbsp;']","['    1,887,313 ', '&nbsp;']"
2558,r016,All companies -> Unclassifiable,All companies,Unclassifiable,,2,"['    909 ', 'i']","['    970,134 ', 'i']","['    479 ', 'i']","['    352,596 ', 'i']","['    430 ', 'i']","['    617,539 ', 'i']"
