table_id,row_id,field_and_sex_full_path,field_and_sex_level_1,field_and_sex_level_2,field_and_sex_level_3,field_and_sex_level_4,field_and_sex_level_5,field_and_sex_level_6,field_and_sex_level_7,field_and_sex_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1155,r048,"Both sexes   -> Female -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",Both sexes  ,Female,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,7,69,80,62,63,87,103,106,119,122,109,132
1155,r049,Both sexes   -> Female -> All fields -> S&E -> Science -> Mathematics and statistics,Both sexes  ,Female,All fields,S&E,Science,Mathematics and statistics,,6,6875,6827,6957,6971,7248,7745,8536,9297,9511,9922,10302
1155,r050,Both sexes   -> Female -> All fields -> S&E -> Science -> Physical sciences,Both sexes  ,Female,All fields,S&E,Science,Physical sciences,,6,6953,6986,7284,7451,7598,7794,8284,8347,8815,8765,8888
1155,r051,Both sexes   -> Female -> All fields -> S&E -> Science -> Physical sciences -> Astronomy,Both sexes  ,Female,All fields,S&E,Science,Physical sciences,Astronomy,7,131,132,120,146,140,136,153,128,170,144,140
1155,r052,Both sexes   -> Female -> All fields -> S&E -> Science -> Physical sciences -> Chemistry,Both sexes  ,Female,All fields,S&E,Science,Physical sciences,Chemistry,7,5634,5614,5909,6106,6162,6328,6730,6718,7097,7108,7120
1155,r053,Both sexes   -> Female -> All fields -> S&E -> Science -> Physical sciences -> Physics,Both sexes  ,Female,All fields,S&E,Science,Physical sciences,Physics,7,945,1024,988,925,1015,1001,1062,1162,1186,1219,1347
1155,r054,Both sexes   -> Female -> All fields -> S&E -> Science -> Physical sciences -> Other,Both sexes  ,Female,All fields,S&E,Science,Physical sciences,Other,7,243,216,267,274,281,329,339,339,362,294,281
1155,r055,Both sexes   -> Female -> All fields -> S&E -> Science -> Psychology,Both sexes  ,Female,All fields,S&E,Science,Psychology,,6,68576,70052,71682,73164,75336,78167,84181,88329,90851,91688,92069
1155,r056,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences,Both sexes  ,Female,All fields,S&E,Science,Social sciences,,6,79538,81019,83247,84780,87626,93314,96989,98385,97123,94135,92816
1155,r057,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences -> Anthropology,Both sexes  ,Female,All fields,S&E,Science,Social sciences,Anthropology,7,5606,5630,6120,6430,6703,7024,7927,8175,8083,7351,6819
1155,r058,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences -> Area and ethnic studies,Both sexes  ,Female,All fields,S&E,Science,Social sciences,Area and ethnic studies,7,4512,4559,4697,4866,4701,5054,5145,4987,4683,4378,4420
1155,r059,Both sexes   -> Female -> All fields -> S&E -> Science -> Social sciences -> Economics,Both sexes  ,Female,All fields,S&E,Science,Social sciences,Economics,7,7664,7630,8044,8346,8895,9187,8780,9185,9762,10660,11113
