table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_all_agencies,field_doc,field_doe,field_doj,field_dot,field_ed,field_epa,field_hhs,field_nsf,field_ssa,field_usda
4320,r001,All states and outlying areas,All states and outlying areas,,1,1802625.2,16680.8,31789.6,7700.0,8006.0,8022.6,1600.0,1083152.7,547490.9,663.8,97518.8
4320,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,39735.3,0.0,562.5,0.0,0.0,0.0,0.0,16444.6,17972.8,0.0,4755.5
4320,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,5400.5,0.0,0.0,0.0,40.5,0.0,0.0,1856.7,2752.1,0.0,751.1
4320,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,23676.1,0.0,0.0,0.0,161.7,246.0,1600.0,8871.7,11638.5,0.0,1158.2
4320,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,10579.4,0.0,0.0,0.0,82.6,0.0,0.0,2655.7,4279.2,0.0,3562.0
4320,r006,All states and outlying areas -> California,All states and outlying areas,California,2,198034.9,0.0,929.6,0.0,855.6,449.7,0.0,134041.6,51482.4,15.2,10260.7
4320,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,49004.9,15628.5,7.5,0.0,155.8,33.4,0.0,15164.1,16354.4,0.0,1661.3
4320,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,24911.1,0.0,0.0,0.0,0.0,0.0,0.0,18679.4,5999.8,0.0,232.0
4320,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,2447.7,0.0,0.0,0.0,0.0,0.0,0.0,940.0,714.2,0.0,793.5
4320,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,11607.5,0.0,0.0,0.0,0.0,0.0,0.0,5530.9,6053.7,23.0,0.0
4320,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,41290.1,0.0,663.6,0.0,560.6,376.3,0.0,17269.4,18572.0,0.0,3848.1
4320,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,50011.1,0.0,392.3,0.0,0.0,0.0,0.0,29348.4,18709.4,0.0,1561.0
4320,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,12409.4,0.0,0.0,0.0,0.0,0.0,0.0,5867.2,6412.1,0.0,130.1
4320,r014,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,2,6995.6,0.0,1102.2,0.0,0.0,0.0,0.0,1033.6,4528.5,0.0,331.2
4320,r015,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,2,76991.2,0.0,2134.7,0.0,0.0,537.6,0.0,45621.3,25313.3,0.0,3384.2
4320,r016,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,2,21700.5,0.0,925.6,0.0,0.0,0.0,0.0,11419.5,7767.0,0.0,1588.4
4320,r017,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,2,18353.2,0.0,0.0,0.0,109.9,0.0,0.0,11579.8,5022.7,0.0,1640.8
4320,r018,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,2,9740.9,0.0,6.2,0.0,0.0,186.0,0.0,3149.7,4875.2,0.0,1523.8
4320,r019,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,2,17909.7,0.0,0.0,0.0,0.0,0.0,0.0,10881.2,5711.7,0.0,1316.9
4320,r020,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,2,13305.9,0.0,0.0,0.0,122.2,0.0,0.0,7077.2,5405.3,0.0,701.2
4320,r021,All states and outlying areas -> Maine,All states and outlying areas,Maine,2,3663.0,0.0,0.0,0.0,419.5,0.0,0.0,0.0,3084.4,0.0,159.1
4320,r022,All states and outlying areas -> Maryland,All states and outlying areas,Maryland,2,54110.1,927.4,0.0,0.0,136.6,242.2,0.0,36409.9,14071.4,0.0,2322.5
4320,r023,All states and outlying areas -> Massachusetts,All states and outlying areas,Massachusetts,2,57650.0,0.0,1066.4,0.0,192.0,946.1,0.0,41018.7,14247.9,0.0,178.9
4320,r024,All states and outlying areas -> Michigan,All states and outlying areas,Michigan,2,43945.0,0.0,1189.3,0.0,73.6,908.6,0.0,33687.1,6365.7,39.2,1681.5
4320,r025,All states and outlying areas -> Minnesota,All states and outlying areas,Minnesota,2,34160.6,0.0,640.0,0.0,0.0,0.0,0.0,18592.4,12703.4,0.0,2224.8
4320,r026,All states and outlying areas -> Mississippi,All states and outlying areas,Mississippi,2,6975.8,0.0,0.0,0.0,0.0,0.0,0.0,324.4,5799.7,0.0,851.8
4320,r027,All states and outlying areas -> Missouri,All states and outlying areas,Missouri,2,32824.0,0.0,109.0,0.0,72.9,92.2,0.0,26444.1,4631.1,0.0,1474.7
4320,r028,All states and outlying areas -> Montana,All states and outlying areas,Montana,2,4852.3,0.0,15.0,0.0,10.0,0.0,0.0,1122.0,2500.5,0.0,1204.8
4320,r029,All states and outlying areas -> Nebraska,All states and outlying areas,Nebraska,2,16695.4,0.0,0.0,0.0,253.7,171.4,0.0,7736.2,8042.5,0.0,491.5
4320,r030,All states and outlying areas -> Nevada,All states and outlying areas,Nevada,2,5354.8,0.0,950.0,0.0,119.3,0.0,0.0,1500.4,2744.8,0.0,40.2
4320,r031,All states and outlying areas -> New Hampshire,All states and outlying areas,New Hampshire,2,6084.6,0.0,0.0,0.0,0.0,0.0,0.0,2726.8,3308.3,0.0,49.6
