table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_level_5,region_country_or_economy_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1992,r001,Exports,Exports,,,,,1,,,,,,,,,,,,,,,,
1992,r002,Exports -> World,Exports,World,,,,2,3682046,4381819,4759861,5476986,6327168,6882108,5467569,6582677,7491711,7499624,7707579,7955273,7377737,7318792,8058857,8587777
1992,r003,Exports -> World -> North America,Exports,World,North America,,,3,682686,724253,791863,958898,1038112,1092118,811948,995146,1103316,1161313,1173856,1219851,1190195,1154174,1208122,1271837
1992,r004,Exports -> World -> North America -> Canada,Exports,World,North America,Canada,,4,116412,132666,146036,154486,164118,153984,114289,136887,151913,159442,155629,159694,156394,154222,153638,159903
1992,r005,Exports -> World -> North America -> Mexico,Exports,World,North America,Mexico,,4,102398,114167,125395,147666,153643,169691,138472,182812,203393,222737,234571,254465,257876,252920,276311,302657
1992,r006,Exports -> World -> North America -> United States,Exports,World,North America,United States,,4,463877,477420,520433,656746,720352,768444,559187,675447,748009,779135,783657,805691,775924,747032,778173,809276
1992,r007,Exports -> World -> Central and South America,Exports,World,Central and South America,,,3,35093,47966,59828,68172,77118,91249,64943,81668,97899,97635,102253,88280,78370,78145,84641,86990
1992,r008,Exports -> World -> Central and South America -> Brazil,Exports,World,Central and South America,Brazil,,4,21604,30264,38133,43003,47373,54923,37328,46296,54385,53776,58885,46819,43251,46282,49838,53320
1992,r009,Exports -> World -> Central and South America -> Other South America,Exports,World,Central and South America,Other South America,,4,13489,17702,21694,25169,29745,36325,27615,35372,43514,43859,43368,41461,35119,31864,34803,33670
1992,r010,Exports -> World -> Europe,Exports,World,Europe,,,3,1813698,2171954,2351330,2662515,3064109,3333831,2602041,2922902,3391267,3247513,3396782,3498982,3142633,3183234,3474972,3670623
1992,r011,Exports -> World -> Europe -> EU,Exports,World,Europe,EU,,4,1699546,2031842,2198432,2485739,2847728,3073400,2396781,2693970,3116947,2966200,3110915,3209308,2877746,2920483,3186279,3359220
1992,r012,Exports -> World -> Europe -> EU -> France,Exports,World,Europe,EU,France,5,212219,244716,254250,277511,308196,334179,267148,296645,327549,317769,323919,323891,287476,288845,310434,336351
1992,r013,Exports -> World -> Europe -> EU -> Germany,Exports,World,Europe,EU,Germany,5,480102,583593,640896,723989,832571,912609,693151,793015,933516,900440,927131,961597,865750,872803,955498,1023769
1992,r014,Exports -> World -> Europe -> EU -> United Kingdom,Exports,World,Europe,EU,United Kingdom,5,173008,191942,212137,265835,232637,231981,170326,206481,233883,228605,232152,257715,245504,234405,244669,252759
1992,r015,Exports -> World -> Europe -> EU -> Other EU,Exports,World,Europe,EU,Other EU,5,834217,1011591,1091150,1218403,1474324,1594631,1266156,1397830,1622000,1519386,1627713,1666105,1479017,1524430,1675678,1746341
1992,r016,Exports -> World -> Europe -> Other Europe,Exports,World,Europe,Other Europe,,4,114152,140113,152897,176777,216381,260430,205260,228932,274319,281313,285868,289674,264886,262751,288693,311403
1992,r017,Exports -> World -> Middle East,Exports,World,Middle East,,,3,30761,38904,50405,58934,71683,94943,91966,105983,125094,172695,185055,191201,135106,124140,168774,118985
1992,r018,Exports -> World -> Asia,Exports,World,Asia,,,3,1104632,1381599,1486935,1708564,2052441,2243988,1875983,2453060,2746902,2791836,2822795,2930735,2807744,2755412,3098464,3414081
1992,r019,Exports -> World -> Asia -> China,Exports,World,Asia,China,,4,224497,309473,393984,492916,616870,734192,630884,832703,966711,1006277,1046073,1131056,1112836,1062585,1196151,1344673
1992,r020,Exports -> World -> Asia -> India,Exports,World,Asia,India,,4,12610,16657,22390,27800,33283,45663,46106,56161,73956,74970,86541,86735,80286,81089,91088,108297
1992,r021,Exports -> World -> Asia -> Indonesia,Exports,World,Asia,Indonesia,,4,13230,15606,18167,19336,21746,24363,22022,27936,33499,33607,33307,33226,28459,29609,31468,34055
1992,r022,Exports -> World -> Asia -> Japan,Exports,World,Asia,Japan,,4,361672,428498,443211,478985,526688,563901,409211,550007,580870,570598,504076,487092,442567,461925,495660,525116
1992,r023,Exports -> World -> Asia -> Malaysia,Exports,World,Asia,Malaysia,,4,65394,76758,85146,93680,97246,78161,83457,100892,104241,102475,103477,108466,99911,97876,112396,132323
1992,r024,Exports -> World -> Asia -> Philippines,Exports,World,Asia,Philippines,,4,27557,30664,31301,33783,36340,34276,27716,24483,21983,33328,34301,38319,40186,38236,47243,47491
1992,r025,Exports -> World -> Asia -> Singapore,Exports,World,Asia,Singapore,,4,118120,145250,93518,105711,199794,205351,171926,222036,242229,243346,245373,245687,229379,221756,238478,258710
1992,r026,Exports -> World -> Asia -> South Korea,Exports,World,Asia,South Korea,,4,139801,186859,210562,239674,275034,300877,268513,344540,390242,378826,399515,410338,393568,369074,428113,444013
1992,r027,Exports -> World -> Asia -> Taiwan,Exports,World,Asia,Taiwan,,4,96906,115932,123050,138210,151573,152914,126954,174022,193591,187107,193309,203365,190067,190994,219532,230566
1992,r028,Exports -> World -> Asia -> Thailand,Exports,World,Asia,Thailand,,4,40675,50012,58531,69290,81470,88695,74951,100012,109403,116972,120748,123839,117062,118613,130870,140001
1992,r029,Exports -> World -> Asia -> Vietnam,Exports,World,Asia,Vietnam,,4,2108,3009,3716,5027,6682,8927,8808,13536,21981,34808,47206,53268,65095,75070,98392,139106
1992,r030,Exports -> World -> Asia -> Other Asia,Exports,World,Asia,Other Asia,,4,2063,2882,3357,4151,5715,6668,5435,6731,8196,9520,8870,9344,8328,8588,9073,9730
1992,r031,Exports -> World -> Oceania,Exports,World,Oceania,,,3,15175,17144,19501,19902,23705,25979,20687,23917,27234,28633,26837,26224,23689,23686,23884,25261
1992,r032,Exports -> World -> Oceania -> Australia,Exports,World,Oceania,Australia,,4,11978,13411,15627,15801,19184,21122,16767,19755,22297,23568,21942,21157,18877,19111,19279,20662
