table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field__,field_2016,field_2017,field_2018
2763,r001,All business activities,All business activities,,1,21100–81000,"['10,976,518', '  ']","['10,221,923', '&nbsp;']","['12,204,773', '&nbsp;']","['12,874,185', '&nbsp;']","['12,975,886', '&nbsp;']","['13,279,075', '&nbsp;']","['13,409,822', '&nbsp;']",12201595,,"['12,246,930', '  ']","['12,878,032', '  ']","['14,458,452', '  ']"
2763,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['271,493', '  ']","['153,939', '&nbsp;']","['212,469', '&nbsp;']","['331,320', '&nbsp;']","['271,983', '&nbsp;']","['250,884', '&nbsp;']","['241,227', '&nbsp;']",141687,,"['117,720', '  ']","['108,940', '  ']","['178,064', '  ']"
2763,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '  ']","['D', '&nbsp;']","['38,302', '&nbsp;']","['57,661', '&nbsp;']","['43,857', '&nbsp;']","['54,531', '&nbsp;']","['D', '&nbsp;']",,,"['29,976', '  ']","['23,057', '  ']","['44,894', '  ']"
2763,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '  ']","['45,184', '&nbsp;']","['61,062', '&nbsp;']","['68,523', '&nbsp;']","['79,788', '&nbsp;']","['100,175', '&nbsp;']","['129,989', '&nbsp;']",74421,,"['44,705', '  ']","['64,412', '  ']","['84,371', '  ']"
2763,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '  ']","['317,243', '&nbsp;']","['310,768', '&nbsp;']","['348,763', '&nbsp;']","['318,893', '&nbsp;']","['324,150', '&nbsp;']","['356,225', '&nbsp;']",346925,,"['309,116', '  ']","['407,052', '  ']","['333,570', '  ']"
2763,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '  ']","['42,287', '&nbsp;']","['93,305', '&nbsp;']","['107,286', '&nbsp;']","['107,685', '&nbsp;']","['94,057', '&nbsp;']","['91,507', '&nbsp;']",64463,,"['52,363', '  ']","['69,900', '  ']","['88,086', '  ']"
2763,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['475,588', '  ']","['630,500', '&nbsp;']","['694,763', '&nbsp;']","['690,698', '&nbsp;']","['688,804', '&nbsp;']","['941,309', '&nbsp;']","['844,673', '&nbsp;']",744318,,"['705,021', '  ']","['789,784', '  ']","['718,232', '  ']"
2763,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['143,008', '  ']","['129,396', '&nbsp;']","['141,259', '&nbsp;']","['180,153', '&nbsp;']","['167,003', '&nbsp;']","['164,270', '&nbsp;']","['166,544', '&nbsp;']",170059,,"['155,459', '  ']","['146,561', '  ']","['138,526', '  ']"
2763,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['28,970', '  ']","['134,972', '&nbsp;']","['133,993', '&nbsp;']","['140,998', '&nbsp;']","['130,759', '&nbsp;']","['69,191', '&nbsp;']","['D', '&nbsp;']",,,"['64,978', '  ']","['72,291', '  ']","['67,551', '  ']"
2763,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['NA', '  ']","['56,131', '&nbsp;']","['68,515', '&nbsp;']","['66,416', '&nbsp;']","['89,086', '&nbsp;']","['70,260', '&nbsp;']","['66,546', '&nbsp;']",83170,,"['109,296', '  ']","['88,817', '  ']","['84,253', '  ']"
2763,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['34,563', '  ']","['27,826', '&nbsp;']","['28,342', '&nbsp;']","['24,165', '&nbsp;']","['32,908', '&nbsp;']","['42,472', '&nbsp;']","['51,879', '&nbsp;']",33713,,"['0 - 373,524', '  ']","['36,180', '  ']","['41,022', '  ']"
2763,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['139,953', '  ']","['110,534', '&nbsp;']","['136,302', '&nbsp;']","['144,064', '&nbsp;']","['142,335', '&nbsp;']","['146,748', '&nbsp;']","['148,797', '&nbsp;']",,,"['129,369', '  ']","['146,927', '  ']","['155,504', '  ']"
2763,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['26,426', '  ']","['37,743', '&nbsp;']","['37,398', '&nbsp;']","['32,823', '&nbsp;']","['32,152', '&nbsp;']","['29,576', '&nbsp;']","['34,227', '&nbsp;']",42885,,"['31,310', '  ']","['47,910', '  ']","['36,023', '  ']"
2763,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['NA', '  ']","['NA', '&nbsp;']","['837,945', '&nbsp;']","['954,108', '&nbsp;']","['911,784', '&nbsp;']","['968,046', '&nbsp;']","['787,825', '&nbsp;']",512224,,"['415,433', '  ']","['325,034 - 733,821', '  ']","['586,677', '  ']"
2763,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['NA', '  ']","['NA', '&nbsp;']","['7,566', '&nbsp;']","['8,872', '&nbsp;']","['8,563', '&nbsp;']","['14,504', '&nbsp;']","['11,150', '&nbsp;']",10324,,"['12,322', '  ']","['16,662', '  ']","['17,795', '  ']"
2763,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['NA', '  ']","['NA', '&nbsp;']","['32,282', '&nbsp;']","['43,514', '&nbsp;']","['D', '&nbsp;']","['23,425', '&nbsp;']","['22,348', '&nbsp;']",20440,,"['15,665', '  ']","['20,790', '  ']","['16,008', '  ']"
