table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_master_s_2017,field_master_s_2018,field_master_s_2019,field_master_s_2020,field_master_s_2021,field_master_s_percent_change_2017_21,field_master_s_percent_change_2020_21,field_doctoral_2017,field_doctoral_2018,field_doctoral_2019,field_doctoral_2020,field_doctoral_2021,field_doctoral_percent_change_2017_21,field_doctoral_percent_change_2020_21
8082,r012,All graduate students -> Science and engineering -> Science -> Psychology,All graduate students,Science and engineering,Science,Psychology,4,29638,35404,40838,47279,51936,75.2,9.9,20395,20303,20231,21115,21445,5.1,1.6
8082,r013,All graduate students -> Science and engineering -> Science -> Social sciences,All graduate students,Science and engineering,Science,Social sciences,4,41208,42726,43607,43919,47624,15.6,8.4,35078,35259,35392,34434,34577,-1.4,0.4
8082,r014,All graduate students -> Science and engineering -> Engineering,All graduate students,Science and engineering,Engineering,,3,96756,93064,91939,86450,95110,-1.7,10.0,68825,70237,72065,71279,72945,6.0,2.3
8082,r015,"All graduate students -> Science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,3322,3342,3701,4326,5065,52.5,17.1,2386,2506,2554,2645,2776,16.3,5.0
8082,r016,"All graduate students -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,4108,4282,4424,4536,5194,26.4,14.5,7008,7481,7934,8239,8879,26.7,7.8
8082,r017,"All graduate students -> Science and engineering -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Science and engineering,Engineering,"Chemical, petroleum, and chemical-related engineering",4,4208,3815,3274,2942,2983,-29.1,1.4,7536,7599,7664,7612,7718,2.4,1.4
8082,r018,"All graduate students -> Science and engineering -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Science and engineering,Engineering,"Civil, environmental, transportation and related engineering fields",4,13506,12729,11873,10819,11730,-13.1,8.4,7626,7732,7752,7485,7880,3.3,5.3
8082,r019,"All graduate students -> Science and engineering -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Science and engineering,Engineering,"Electrical, electronics, communications and computer engineering",4,29816,28108,28177,25312,27687,-7.1,9.4,17936,18119,18577,17720,17572,-2.0,-0.8
8082,r020,"All graduate students -> Science and engineering -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Science and engineering,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,12272,12389,11912,11030,11949,-2.6,8.3,3633,3598,3762,3839,3920,7.9,2.1
8082,r021,All graduate students -> Science and engineering -> Engineering -> Mechanical engineering,All graduate students,Science and engineering,Engineering,Mechanical engineering,4,16279,15434,14861,14305,15710,-3.5,9.8,11149,11159,11247,11477,11539,3.5,0.5
8082,r022,"All graduate students -> Science and engineering -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Science and engineering,Engineering,"Metallurgical, mining, materials and related engineering fields",4,2427,2395,2266,2299,2516,3.7,9.4,4655,4821,4817,4882,4904,5.3,0.5
8082,r023,All graduate students -> Science and engineering -> Engineering -> Other engineering,All graduate students,Science and engineering,Engineering,Other engineering,4,10818,10570,11451,10881,12276,13.5,12.8,6896,7222,7758,7380,7757,12.5,5.1
8082,r024,All graduate students -> Science and engineering -> Health,All graduate students,Science and engineering,Health,,3,52662,56820,56494,60124,65762,24.9,9.4,15301,15931,15928,15314,16660,8.9,8.8
8082,r025,All graduate students -> Science and engineering -> Health -> Clinical medicine,All graduate students,Science and engineering,Health,Clinical medicine,4,25283,27494,26251,29748,34068,34.7,14.5,4410,4508,4571,4796,5623,27.5,17.2
8082,r026,All graduate students -> Science and engineering -> Health -> Other health,All graduate students,Science and engineering,Health,Other health,4,27379,29326,30243,30376,31694,15.8,4.3,10891,11423,11357,10518,11037,1.3,4.9
