table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_land_acquisition,field_domestic_r_d_buildings_and_land_improvement,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
6594,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['781,625', '']","['29,106', '']","['237', '']","['3,739', '']","['15,663', '']","['5,475', '']","['3,992', '']"
6594,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['337,722', '']","['17,674', '']","['230', '']","['2,987', '']","['10,745', '']","['1,669', '']","['2,043', '']"
6594,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['18,408', '']","['432', '']","['102', '']","['77', '']","['180', '']","['42', '']","['31', '']"
6594,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['8,239', '']","['160', '']","['0', '']","['101', '']","['46', '']","['1', '']","['12', 'i']"
6594,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['2,717', '']","['85', '']","['*', 'i']","['14', '']","['38', '']","['19', '']","['15', '']"
6594,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['1,445', '']","['7', '']","['0', '']","['*', '']","['6', '']","['*', '']","['*', '']"
6594,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['6,715', '']","['65', 'i']","['0', '']","['2', 'i']","['59', 'i']","['1', 'i']","['4', 'i']"
6594,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['3,140', 'i']","['11', 'i']","['*', 'i']","['0 - 6', 'i']","['7', 'i']","['0 - 6', '']","['0 - 6', 'i']"
6594,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['29,185', '']","['125', '']","['*', '']","['0 - 14', '']","['91', '']","['0 - 29', '']","['0 - 18', '']"
6594,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['69,379', '']","['5,634', '']","['74', '']","['1,934', '']","['2,763', '']","['309', '']","['554', '']"
6594,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['23,038', '']","['358', '']","['*', '']","['81', '']","['239', '']","['22', '']","['17', '']"
6594,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['8,732', '']","['225', '']","['*', '']","['42', '']","['153', '']","['5', '']","['25', '']"
6594,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['3,978', '']","['57', '']","['0', '']","['0 - 20', '']","['20', '']","['0 - 18', '']","['19', 'i']"
6594,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['24,722', '']","['4,476', '']","['74', '']","['1,603', '']","['2,054', '']","['267', '']","['478', '']"
6594,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['5,528', '']","['170', '']","['0', '']","['40', '']","['114', '']","['0 - 18', 'i']","['0 - 18', 'i']"
6594,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['3,380', '']","['347', 'i']","['0', '']","['143 - 165', 'i']","['184', 'i']","['0 - 18', '']","['0 - 18', '']"
6594,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['12,138', '']","['393', '']","['*', '']","['20', '']","['221', '']","['24', '']","['129', '']"
6594,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['4,445', '']","['69', '']","['0', '']","['10', '']","['42', '']","['1', '']","['16', '']"
6594,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['6,724', '']","['89', '']","['3', 'i']","['9', '']","['58', '']","['1', 'i']","['19', 'i']"
6594,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['6,408', '']","['204', '']","['*', '']","['10', '']","['136', '']","['9', '']","['50', '']"
