table_id,row_id,occupation_and_age_full_path,occupation_and_age_level_1,occupation_and_age_level_2,occupation_and_age_level_3,occupation_and_age_level_4,occupation_and_age_hierarchy_depth,field_all_degrees_total,field_all_degrees_female,field_all_degrees_male,field_bachelor_s_total,field_bachelor_s_female,field_bachelor_s_male,field_master_s_total,field_master_s_female,field_master_s_male,field_doctorate_total,field_doctorate_female,field_doctorate_male,field_professional_total,field_professional_female,field_professional_male
5798,r001,"All occupations, all ages","All occupations, all ages",,,,1,41929000,20577000,21352000,25906000,12287000,13619000,11858000,6570000,5288000,1814000,755000,1059000,2351000,965000,1386000
5798,r002,"All occupations, all ages -> 29 and younger","All occupations, all ages",29 and younger,,,2,6440000,3665000,2775000,4931000,2713000,2218000,1280000,808000,472000,58000,23000,35000,170000,121000,49000
5798,r003,"All occupations, all ages -> 30&#8211;39","All occupations, all ages",30&#8211;39,,,2,11610000,5785000,5825000,6816000,3146000,3670000,3582000,2079000,1503000,503000,212000,291000,709000,349000,360000
5798,r004,"All occupations, all ages -> 40&#8211;49","All occupations, all ages",40&#8211;49,,,2,10315000,5089000,5226000,6076000,2882000,3194000,3131000,1707000,1424000,519000,237000,282000,589000,263000,325000
5798,r005,"All occupations, all ages -> 50&#8211;75","All occupations, all ages",50&#8211;75,,,2,13564000,6038000,7526000,8082000,3546000,4536000,3865000,1977000,1889000,734000,283000,450000,883000,232000,651000
5798,r006,"All occupations, all ages -> S&E occupations","All occupations, all ages",S&E occupations,,,2,6784000,1861000,4922000,3853000,880000,2972000,2037000,638000,1399000,839000,313000,525000,55000,29000,26000
5798,r007,"All occupations, all ages -> S&E occupations -> 29 and younger","All occupations, all ages",S&E occupations,29 and younger,,3,1260000,382000,878000,912000,261000,651000,311000,103000,208000,35000,16000,20000,,,
5798,r008,"All occupations, all ages -> S&E occupations -> 30&#8211;39","All occupations, all ages",S&E occupations,30&#8211;39,,3,2126000,592000,1533000,1105000,227000,878000,709000,236000,473000,299000,122000,177000,13000,7000,6000
5798,r009,"All occupations, all ages -> S&E occupations -> 40&#8211;49","All occupations, all ages",S&E occupations,40&#8211;49,,3,1553000,427000,1126000,864000,170000,695000,449000,148000,301000,226000,100000,125000,14000,8000,5000
5798,r010,"All occupations, all ages -> S&E occupations -> 50&#8211;75","All occupations, all ages",S&E occupations,50&#8211;75,,3,1845000,460000,1385000,972000,222000,749000,569000,151000,418000,279000,76000,203000,25000,11000,15000
5798,r011,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",,3,616000,291000,324000,235000,103000,132000,135000,75000,61000,233000,108000,126000,12000,6000,6000
5798,r012,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,4,137000,61000,76000,103000,43000,60000,21000,11000,11000,13000,8000,5000,,,
5798,r013,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,4,199000,98000,101000,55000,23000,33000,52000,33000,19000,91000,41000,49000,1000,1000,
5798,r014,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,4,129000,68000,61000,30000,16000,14000,33000,16000,16000,61000,33000,29000,4000,S,1000
5798,r015,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,4,151000,64000,87000,47000,21000,26000,30000,14000,15000,68000,26000,42000,6000,2000,4000
5798,r016,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists","All occupations, all ages",S&E occupations,Computer and mathematical scientists,,3,3520000,874000,2647000,2241000,505000,1736000,1086000,306000,781000,179000,56000,123000,14000,6000,8000
5798,r017,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","All occupations, all ages",S&E occupations,Computer and mathematical scientists,29 and younger,4,596000,152000,444000,452000,110000,342000,137000,39000,98000,6000,S,4000,,,
5798,r018,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Computer and mathematical scientists,30&#8211;39,4,1145000,247000,899000,696000,124000,572000,383000,104000,278000,65000,18000,47000,S,,S
5798,r019,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Computer and mathematical scientists,40&#8211;49,4,858000,217000,641000,549000,114000,436000,250000,74000,175000,58000,28000,30000,,,
5798,r020,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Computer and mathematical scientists,50&#8211;75,4,921000,259000,662000,543000,157000,386000,317000,88000,229000,50000,9000,41000,11000,S,6000
5798,r021,"All occupations, all ages -> S&E occupations -> Physical and related scientists","All occupations, all ages",S&E occupations,Physical and related scientists,,3,361000,121000,240000,165000,63000,103000,81000,32000,49000,115000,26000,89000,1000,,
5798,r022,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 29 and younger","All occupations, all ages",S&E occupations,Physical and related scientists,29 and younger,4,88000,36000,52000,57000,26000,31000,25000,9000,S,6000,S,6000,,,
5798,r023,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Physical and related scientists,30&#8211;39,4,112000,45000,67000,48000,18000,30000,25000,12000,14000,38000,16000,23000,,,
5798,r024,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Physical and related scientists,40&#8211;49,4,66000,21000,44000,26000,9000,17000,14000,6000,7000,26000,6000,20000,,,
5798,r025,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Physical and related scientists,50&#8211;75,4,95000,18000,77000,34000,10000,25000,17000,5000,12000,44000,3000,41000,,,
5798,r026,"All occupations, all ages -> S&E occupations -> Social and related scientists","All occupations, all ages",S&E occupations,Social and related scientists,,3,477000,293000,184000,106000,60000,46000,167000,112000,54000,181000,104000,76000,24000,16000,7000
5798,r027,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 29 and younger","All occupations, all ages",S&E occupations,Social and related scientists,29 and younger,4,70000,52000,18000,39000,30000,9000,24000,17000,7000,4000,2000,S,,,
5798,r028,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Social and related scientists,30&#8211;39,4,168000,113000,55000,23000,14000,9000,74000,51000,23000,62000,41000,21000,8000,6000,2000
5798,r029,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Social and related scientists,40&#8211;49,4,115000,69000,46000,30000,10000,20000,31000,26000,5000,48000,29000,18000,6000,4000,2000
5798,r030,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Social and related scientists,50&#8211;75,4,125000,59000,66000,14000,6000,8000,37000,18000,19000,67000,32000,36000,7000,4000,3000
5798,r031,"All occupations, all ages -> S&E occupations -> Engineers","All occupations, all ages",S&E occupations,Engineers,,3,1809000,282000,1527000,1105000,150000,955000,568000,113000,455000,131000,19000,112000,5000,,4000
5798,r032,"All occupations, all ages -> S&E occupations -> Engineers -> 29 and younger","All occupations, all ages",S&E occupations,Engineers,29 and younger,4,369000,81000,288000,261000,52000,209000,103000,27000,76000,6000,3000,3000,,,
5798,r033,"All occupations, all ages -> S&E occupations -> Engineers -> 30&#8211;39","All occupations, all ages",S&E occupations,Engineers,30&#8211;39,4,502000,90000,412000,282000,49000,234000,175000,36000,139000,43000,5000,37000,,,
5798,r034,"All occupations, all ages -> S&E occupations -> Engineers -> 40&#8211;49","All occupations, all ages",S&E occupations,Engineers,40&#8211;49,4,385000,51000,334000,230000,21000,208000,122000,26000,96000,32000,5000,28000,,,
5798,r035,"All occupations, all ages -> S&E occupations -> Engineers -> 50&#8211;75","All occupations, all ages",S&E occupations,Engineers,50&#8211;75,4,553000,60000,493000,333000,29000,304000,169000,25000,143000,50000,6000,44000,,,
5798,r036,"All occupations, all ages -> S&E-related occupations","All occupations, all ages",S&E-related occupations,,,2,7269000,3870000,3399000,3840000,2071000,1769000,1971000,1173000,798000,348000,161000,187000,1110000,465000,645000
5798,r037,"All occupations, all ages -> S&E-related occupations -> 29 and younger","All occupations, all ages",S&E-related occupations,29 and younger,,3,1119000,747000,372000,764000,493000,271000,220000,156000,64000,21000,6000,15000,114000,92000,22000
5798,r038,"All occupations, all ages -> S&E-related occupations -> 30&#8211;39","All occupations, all ages",S&E-related occupations,30&#8211;39,,3,2064000,1106000,958000,1043000,550000,492000,581000,357000,223000,103000,41000,62000,337000,157000,180000
5798,r039,"All occupations, all ages -> S&E-related occupations -> 40&#8211;49","All occupations, all ages",S&E-related occupations,40&#8211;49,,3,1752000,877000,875000,859000,422000,438000,509000,275000,235000,100000,46000,54000,283000,134000,149000
5798,r040,"All occupations, all ages -> S&E-related occupations -> 50&#8211;75","All occupations, all ages",S&E-related occupations,50&#8211;75,,3,2335000,1140000,1195000,1175000,606000,569000,661000,385000,276000,124000,67000,56000,376000,82000,294000
5798,r041,"All occupations, all ages -> Non-S&E occupations","All occupations, all ages",Non-S&E occupations,,,2,27876000,14846000,13030000,18213000,9336000,8877000,7849000,4759000,3090000,628000,281000,347000,1186000,471000,716000
5798,r042,"All occupations, all ages -> Non-S&E occupations -> 29 and younger","All occupations, all ages",Non-S&E occupations,29 and younger,,3,4061000,2536000,1525000,3256000,1959000,1297000,749000,549000,200000,2000,1000,S,54000,26000,27000
5798,r043,"All occupations, all ages -> Non-S&E occupations -> 30&#8211;39","All occupations, all ages",Non-S&E occupations,30&#8211;39,,3,7420000,4087000,3334000,4669000,2368000,2300000,2292000,1485000,807000,101000,49000,52000,359000,184000,174000
5798,r044,"All occupations, all ages -> Non-S&E occupations -> 40&#8211;49","All occupations, all ages",Non-S&E occupations,40&#8211;49,,3,7010000,3785000,3225000,4353000,2291000,2062000,2172000,1284000,889000,193000,90000,103000,292000,121000,171000
5798,r045,"All occupations, all ages -> Non-S&E occupations -> 50&#8211;75","All occupations, all ages",Non-S&E occupations,50&#8211;75,,3,9385000,4438000,4946000,5936000,2718000,3218000,2636000,1441000,1194000,331000,140000,191000,482000,139000,343000
